[2022-12-11 19:31:49,939] multiqc                                            [DEBUG  ]  No MultiQC config found: /opt/conda/envs/nf-core-atacseq-1.2.2/lib/python3.7/site-packages/multiqc_config.yaml
[2022-12-11 19:31:50,723] multiqc                                            [WARNING]  MultiQC Version v1.13 now available!
[2022-12-11 19:31:50,723] multiqc                                            [INFO   ]  This is MultiQC v1.9
[2022-12-11 19:31:50,723] multiqc                                            [DEBUG  ]  Command     : /opt/conda/envs/nf-core-atacseq-1.2.2/bin/multiqc . -f
[2022-12-11 19:31:50,723] multiqc                                            [DEBUG  ]  Working dir : /Volumes/bioinf_1/nve_neur_new/atacseq/work/24/e1ffe9d8937ebe750316c2b0b90b49
[2022-12-11 19:31:50,723] multiqc                                            [INFO   ]  Template    : default
[2022-12-11 19:31:50,723] multiqc                                            [DEBUG  ]  Running Python 3.7.6 | packaged by conda-forge | (default, Jun  1 2020, 18:57:50)  [GCC 7.5.0]
[2022-12-11 19:31:50,723] multiqc                                            [INFO   ]  Searching   : /Volumes/bioinf_1/nve_neur_new/atacseq/work/24/e1ffe9d8937ebe750316c2b0b90b49
[2022-12-11 19:31:50,724] multiqc                                            [INFO   ]  Only using modules custom_content, fastqc, cutadapt, samtools, picard, preseq, featureCounts, deeptools
[2022-12-11 19:31:50,724] multiqc                                            [INFO   ]  Excluding modules 'general_stats'
[2022-12-11 19:31:50,724] multiqc                                            [DEBUG  ]  Analysing modules: custom_content, fastqc, cutadapt, fastqc, samtools, samtools, preseq, samtools, picard, deeptools, featureCounts, samtools, picard, featureCounts
[2022-12-11 19:31:50,724] multiqc                                            [DEBUG  ]  Using temporary directory for creating report: /tmp/tmpbp3i3jix
[2022-12-11 19:31:50,979] multiqc                                            [DEBUG  ]  Ignored 195 search patterns as didn't match running modules.
[2022-12-11 19:32:09,635] multiqc.plots.bargraph                             [DEBUG  ]  Using matplotlib version 3.5.2
[2022-12-11 19:32:09,635] multiqc.plots.linegraph                            [DEBUG  ]  Using matplotlib version 3.5.2
[2022-12-11 19:32:10,326] multiqc.modules.custom_content.custom_content      [INFO   ]  nf-core-atacseq-summary: Found 1 sample (html)
[2022-12-11 19:32:10,330] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_frip_score: Found 22 samples (bargraph)
[2022-12-11 19:32:10,331] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_count: Found 22 samples (bargraph)
[2022-12-11 19:32:10,331] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_peak_annotation: Found 22 samples (bargraph)
[2022-12-11 19:32:10,331] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_pca: Found 22 samples (scatter)
[2022-12-11 19:32:10,332] multiqc.modules.custom_content.custom_content      [INFO   ]  mlib_deseq2_clustering: Found 22 samples (heatmap)
[2022-12-11 19:32:10,332] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_frip_score: Found 6 samples (bargraph)
[2022-12-11 19:32:10,332] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_peak_count: Found 6 samples (bargraph)
[2022-12-11 19:32:10,332] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_peak_annotation: Found 6 samples (bargraph)
[2022-12-11 19:32:10,332] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_deseq2_pca: Found 22 samples (scatter)
[2022-12-11 19:32:10,333] multiqc.modules.custom_content.custom_content      [INFO   ]  mrep_deseq2_clustering: Found 22 samples (heatmap)
[2022-12-11 19:32:10,333] multiqc.modules.custom_content.custom_content      [INFO   ]  software_versions: Found 1 sample (html)
[2022-12-11 19:32:10,346] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,408] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,457] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,516] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,568] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,629] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,691] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R4_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,749] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_neg_R4_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,818] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,879] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,927] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:10,990] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,040] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,104] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,164] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R4_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,224] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Elav_pos_R4_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,285] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,345] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,403] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,466] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,516] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,576] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_neg_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,625] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,687] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,747] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,802] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,855] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,915] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Fox_pos_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:11,975] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,046] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,095] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,156] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,205] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,267] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,319] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R4_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,378] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_neg_R4_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,430] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R1_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,510] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R1_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,561] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R2_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,654] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R2_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,703] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R3_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,756] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R3_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,809] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R4_T1_1_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,864] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Selecting 'Ncol_pos_R4_T1_2_fastqc.zip' as it matched the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R4_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R4_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_pos_R4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_neg_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,922] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Fox_pos_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R4_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_neg_R4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R1_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R1_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R2_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R2_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R3_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R3_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R4_T1_1_val_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Ncol_pos_R4_T1_2_val_2_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (raw)'
[2022-12-11 19:32:12,923] multiqc.modules.fastqc.fastqc                      [INFO   ]  Found 44 reports
[2022-12-11 19:32:13,914] multiqc.modules.cutadapt.cutadapt                  [INFO   ]  Found 44 reports
[2022-12-11 19:32:13,946] multiqc.modules.base_module                        [DEBUG  ]  fastqc/zip - Skipping 'Elav_neg_R1_T1_1_fastqc.zip' as it didn't match the path_filters for 'LIB: FastQC (trimmed)'
