motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	group	name	minuslog10qval	label
ARCH1187_islike_RFX6_RFX3_RFX2_RFX4_Rfx2_Rfx	5.59561350313321	0.0721649484536082	0.0128966999620685	35	612	1.41007379756699e-15	2.12764468566219e-13	G3	RFX4/6/8	12.6721008970257	RFX4/6/8
ARCH1710_RUNX1_RUNX2_RUNX3_Runt_Runx_Runx2_RUNX2_run_Bgb	3.0057774132972	0.238738738738739	0.0794266194438041	53	3790	4.24269711803108e-13	1.64616648179606e-10	G6	""	9.78352624538792	
ARCH7_GATA2_GATA3_Gata4	1.72418973834499	0.472843450479233	0.27424096081972	148	13061	7.4670631450702e-14	2.02805435020107e-10	G1	GATA	9.69292041044515	GATA
ARCH2462_PAX6	1.6881798404641	0.107324147933285	0.063573883161512	148	2960	1.25844835403719e-09	3.13573002712387e-08	G7	""	7.50366133526613	
ARCH2465_POU1F1_POU4F3_POU4F2	3.22836947619556	0.171171171171171	0.0530209359347822	38	2530	2.26506699694759e-10	3.84495122731854e-08	G6	Pou4	7.41510916479383	Pou4
ARCH286_AP_2_Tfap2a_TFAP2C	3.01098435783924	0.137380191693291	0.045626338554571	43	2173	2.09970489375432e-10	8.60057774447519e-08	G1	""	7.0654723740111	
ARCH1157_Homeodomains_Hoxa2_Hoxb4	3.52779623477298	0.2	0.0566926167754897	31	2709	9.14972981169556e-10	5.30513435935796e-07	G4	HoxF/Anthox1	6.27530361255645	HoxF/Anthox1
ARCH982_islike_RFX6_RFX3	3.15738815215895	0.232258064516129	0.0735601875104638	36	3515	6.06018720596125e-10	5.30513435935796e-07	G4	RFX4/6/8	6.27530361255645	RFX4/6/8
ARCH1153_islike_RFX6_RFX5_RFX7_RFX3_RFX2_RFX4_Rfx2_Rfx3_Rfx_RFX1_RFX5	4.45945222154595	0.148387096774194	0.0332747363134103	23	1590	2.66456548691745e-09	9.04619982808475e-07	G4	RFX4/6/8	6.04353382303759	RFX4/6/8
ARCH1154_RFX_RFX2	4.12585480417213	0.161290322580645	0.0390925832914783	25	1868	2.36235140158986e-09	9.04619982808475e-07	G4	RFX4/6/8	6.04353382303759	RFX4/6/8
ARCH1678_POU3F2_POU3F1_POU3F4_POU3F3	2.67412015243219	0.166666666666667	0.0623257958379613	37	2974	5.47998531481355e-08	6.20151671459734e-06	G6	""	5.20750208143337	
ARCH1446_islike_ANTP_BARX1_ANTP_BARX2_LBX2	1.73243218430226	0.0667150108774474	0.0385094501718213	92	1793	7.19761435041868e-07	1.21762102517755e-05	G7	""	4.91448786136214	
ARCH2362_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	1.58167208324555	0.0899202320522118	0.0568513745704467	124	2647	8.25809772310229e-07	1.37601186600895e-05	G7	""	4.86137782095517	
ARCH1610_HLH_Tcf4	2.85483491203286	0.13963963963964	0.0489133851667121	31	2334	1.89808369379187e-07	1.77765355597887e-05	G6	""	4.75015287406718	
ARCH10_GATA2_GATA3_GATA3	2.62218803193971	0.115015974440895	0.0438625960609751	36	2089	2.06893766026005e-07	3.51202167829143e-05	G1	GATA	4.45444281203322	GATA
ARCH11_GATA2_GATA3_GATA4	1.83609414042858	0.223642172523962	0.121803216730357	70	5801	3.86337773130262e-07	5.82940773234328e-05	G1	GATA	4.2343755673064	GATA
ARCH2362_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	2.51118149913331	0.144144144144144	0.057400926294612	32	2739	1.85236435539953e-06	0.000130819075098714	G6	""	3.8833289256898	
ARCH2363_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2_lz	4.00219551424371	0.0765765765765766	0.019133642098204	17	913	1.92664322678518e-06	0.000130819075098714	G6	""	3.8833289256898	
ARCH1711_RUNX1_RUNX2_RUNX3_RUNX3_lz	2.40632499473461	0.153153153153153	0.0636460800134124	34	3037	2.15137986478201e-06	0.000138696493853459	G6	""	3.85793451743675	
ARCH2363_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2_lz	1.95898001965118	0.0369833212472806	0.0188788659793814	51	879	1.12797611306517e-05	0.000156305261381888	G7	""	3.80602640297465	
ARCH2573_bZIP_zip_10	1.38072721141144	0.124728063814358	0.0903350515463917	172	4206	1.76986338809166e-05	0.000236795515372264	G7	""	3.62562652689642	
ARCH824_PRD_PAX2_PRD_PAX5_PRD_PAX8_ey_PAX7_PAX3_prd	1.51666870637833	0.0775924583031182	0.051159793814433	107	2382	2.59590144780914e-05	0.000331007902922517	G7	""	3.48016163717695	
ARCH215_HMGbox_Sox_Sox1	2.28421796595566	0.0232052211747643	0.0101589347079038	32	473	3.3246024865751e-05	0.0004123114316684	G7	""	3.38477462386544	
ARCH63_HOXD11	2.50262737514713	0.0958466453674121	0.0382984084323689	30	1824	5.6225669460579e-06	0.000526582476741147	G1	Islet	3.27853359715028	Islet
ARCH2076_HLH_PTF1A_Ptf1a	2.18026783089741	0.121405750798722	0.0556838701549574	38	2652	7.19923054111702e-06	0.000630745488699156	G1	AshA	3.20014584701739	AshA
ARCH1153_islike_RFX6_RFX5_RFX7_RFX3_RFX2_RFX4_Rfx2_Rfx3_Rfx_RFX1_RFX5	3.85303179579042	0.128571428571429	0.03336889893094	18	1595	1.21437286320225e-06	0.000632100055952144	G2	RFX4/6/8	3.19921417122942	RFX4/6/8
ARCH1157_Homeodomains_Hoxa2_Hoxb4	3.01697875026299	0.171428571428571	0.0568212724115567	24	2716	1.34911330970976e-06	0.000632100055952144	G2	HoxF/Anthox1	3.19921417122942	HoxF/Anthox1
ARCH1746_FOXN1_FOXN4_FOXR1_FOXR2_Foxn4	1.15647511939429	0.798722044728435	0.690652164783942	250	32893	1.24235902358237e-05	0.000911958677851271	G1	""	3.04002483972832	
ARCH2562_NR2E1	1.1410393124607	0.715463917525773	0.627028280018544	347	29755	2.75161773138516e-05	0.000934174219805263	G3	""	3.02957212200949	
ARCH1187_islike_RFX6_RFX3_RFX2_RFX4_Rfx2_Rfx	5.33195374315277	0.0709677419354839	0.0133098945253641	11	636	9.3161853043953e-06	0.00126513796433688	G4	RFX4/6/8	2.89786211173474	RFX4/6/8
ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	4.72871171171171	0.0495495495495496	0.0104784458369135	11	500	3.03720876266589e-05	0.00135230475400009	G6	""	2.86892542520948	
ARCH2462_PAX6	1.76265360081853	0.11340206185567	0.0643359885362667	55	3053	4.35226946802574e-05	0.00137450742734394	G3	""	2.86185290904294	
ARCH260_PB0123.1_Foxl1_2	5.75652592325274	0.117647058823529	0.0204371630375726	10	978	1.0237245151778e-05	0.00151413587398922	G5	FoxL1	2.81983515080952	FoxL1
ARCH2560_NR2E1_Nr2e1	1.13106038192623	0.709278350515464	0.627091499136005	344	29758	9.25747018755153e-05	0.00267481798185	G3	""	2.57270576585498	
ARCH2465_POU1F1_POU4F3_POU4F2	2.66388262423029	0.141935483870968	0.0532814331156873	22	2546	2.91306722746412e-05	0.0030430348422279	G4	Pou4	2.51669307501591	Pou4
ARCH1446_islike_ANTP_BARX1_ANTP_BARX2_LBX2	1.95898379970545	0.0762886597938144	0.0389429763560501	37	1848	0.000113800453491954	0.0030602181354866	G3	""	2.51424761545906	
ARCH2560_NR2E1_Nr2e1	1.26363837722745	0.792857142857143	0.627439904600515	111	29991	1.91121886639733e-05	0.00395093035929924	G2	""	2.40330062530175	
ARCH768_Sox17	3.22453571428571	0.121428571428571	0.0376576915835059	17	1800	2.41932945468572e-05	0.00395093035929924	G2	SoxC	2.40330062530175	SoxC
ARCH1710_RUNX1_RUNX2_RUNX3_Runt_Runx_Runx2_RUNX2_run_Bgb	2.79727418163918	0.223529411764706	0.0799097254148034	19	3824	3.49885678653496e-05	0.00395953959676207	G5	""	2.40235530958208	
ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	2.46158860578434	0.0990990990990991	0.0402581889054216	22	1921	0.000112948977159222	0.00420232084882804	G6	""	2.37651079211189	
ARCH9_GATA2_GATA3_pnr	2.15776654663053	0.0926517571884984	0.042938730945282	29	2045	0.000110835715241737	0.00493491479666489	G1	GATA	2.3067203412026	GATA
ARCH694_XBP1_bZIP_Atf3_ATF2_JUND_JDP2_CREB5	1.66155117792213	0.166134185303514	0.0999874018393315	52	4762	0.000210473885822297	0.00816638676990512	G1	Fos1	2.08797005521662	Fos1
ARCH1398_TBX20	1.40424465705881	0.0659898477157361	0.0469931271477663	91	2188	0.00111435615876092	0.00951758278992035	G7	""	2.02147333673065	
ARCH1922_Forkhead_FOXR2	1.63252556000924	0.0319071791153009	0.0195446735395189	44	910	0.0016827600489976	0.0137248537329654	G7	""	1.86249227516964	
ARCH2159_TBX2_TBX3_TBX20_T_box_TBX2_TBR1	1.380026251378	0.0638143582306019	0.0462414089347079	88	2153	0.00214414181543879	0.0168308935570282	G7	""	1.7738928265919	
ARCH2364_RUNX1_RUNX2_RUNX3_lz	2.92440602285121	0.00797679477882524	0.00272766323024055	11	127	0.00222363006897008	0.0174045512026591	G7	""	1.75933717104224	
ARCH2365_RUNX1_RUNX2_RUNX3_lz	2.25976829038502	0.0123277737490935	0.0054553264604811	17	254	0.00239495571637622	0.0184269114041864	G7	""	1.73454745222137	
ARCH824_PRD_PAX2_PRD_PAX5_PRD_PAX8_ey_PAX7_PAX3_prd	1.67937006812466	0.0865979381443299	0.0515657268091204	42	2447	0.000922351307003154	0.0186948220135863	G3	""	1.72827866524554	
ARCH982_islike_RFX6_RFX3	2.22581997084548	0.164285714285714	0.0738090755036716	23	3528	0.000254939380134841	0.0192337599012841	G2	RFX4/6/8	1.71593580963744	RFX4/6/8
ARCH2253_PTF1A_Fer1	1.27047643651603	0.100797679477883	0.0793384879725086	139	3694	0.00288456119589671	0.0215232643078447	G7	""	1.66709186110166	
ARCH1437_islike_ANTP_BARX1_ANTP_BARX2_LBX2	1.74262554476085	0.0701030927835052	0.0402284317444262	34	1909	0.00155993651438135	0.0282452504870649	G3	""	1.54905456946128	
ARCH413_GATA2_GATA3_GATA1	1.91084330187978	0.0862619808306709	0.0451434090622769	27	2150	0.00118013685516564	0.0286183187377667	G1	GATA	1.54335588365653	GATA
ARCH2224_zf_C4_Nuclear_receptors_NR1H4	1.30665982540486	0.0768672951414068	0.0588273195876289	106	2739	0.0040899749777564	0.0290472321975212	G7	""	1.53689524360449	
ARCH461_GATA2_GATA3_grn	2.51654137708935	0.00870195794053662	0.00345790378006873	12	161	0.00450854810522282	0.0312377975861867	G7	GATA	1.50531959354903	GATA
ARCH1678_POU3F2_POU3F1_POU3F4_POU3F3	2.16520444492394	0.135483870967742	0.0625732462749037	21	2990	0.000733167025162008	0.0349347656200002	G4	""	1.45674216611458	
ARCH2573_bZIP_zip_10	1.58024197978365	0.143769968051118	0.0909797169613237	45	4333	0.0016127668616201	0.0356119902126845	G1	""	1.44840375465391	
ARCH694_XBP1_bZIP_Atf3_ATF2_JUND_JDP2_CREB5	1.92571100301412	0.192857142857143	0.100148538672357	27	4787	0.000692193023096119	0.0375999250145812	G2	Fos1	1.42481302118367	Fos1
ARCH916_GATA2_GATA3_GATA3_GATA5_GATA6	1.87940776942166	0.0830670926517572	0.0441985470121362	26	2105	0.00181883760559543	0.0388973459590329	G1	GATA	1.41008003041386	GATA
ARCH413_GATA2_GATA3_GATA1	1.33828965385407	0.060188542422045	0.0449742268041237	83	2094	0.00597672332523006	0.0396889500032392	G7	GATA	1.40133039048138	GATA
ARCH1610_HLH_Tcf4	1.82305213669255	0.0894568690095847	0.0490698358039726	28	2337	0.00189159831671731	0.0397023554002902	G1	""	1.40118372731738	
ARCH643_islike_EGR1_EGR2_EGR3_Egr3	1.65439628067323	0.118210862619808	0.0714525679250829	37	3403	0.00200547003478649	0.0406383273830434	G1	""	1.39106417531231	
ARCH216_zf_C4_Nuclear_receptors_NR2E3	1.53820634059375	0.0948453608247423	0.0616597125637459	46	2926	0.00294195794865116	0.0464555685380032	G3	""	1.3329622205212	
ARCH2286_FOXN1_FOXN4_FOXR1_FOXR2_jumu	1.29958500562801	0.306709265175719	0.236005543190694	96	11240	0.00259325850695795	0.0485744145165364	G1	""	1.31359242539148	
ARCH1772_zf_C4_Nuclear_receptors_ESRRA_ESRRG	2.32960235640648	0.0288659793814433	0.0123909470223796	14	588	0.00368746274001896	0.0547275890813743	G3	""	1.26179368344379	
ARCH1154_RFX_RFX2	2.54385311335817	0.1	0.0393104458252265	14	1879	0.00134285122787539	0.0557213760803383	G2	RFX4/6/8	1.2539781668942	RFX4/6/8
ARCH1885_HMGbox_Sox_SRY	1.20322248516346	0.118926758520667	0.098840206185567	164	4602	0.00912832435038848	0.0568635984762732	G7	""	1.24516566049259	
ARCH694_XBP1_bZIP_Atf3_ATF2_JUND_JDP2_CREB5	1.80358303115269	0.180645161290323	0.100159049054077	28	4786	0.00158984385073311	0.0599724430359878	G4	Fos1	1.22204825939237	Fos1
ARCH11_GATA2_GATA3_GATA4	1.75357693154303	0.214285714285714	0.122199209188477	30	5841	0.00151411862436423	0.0604756791731359	G2	GATA	1.21841924558718	GATA
ARCH2562_NR2E1	1.18226715447662	0.741935483870968	0.627553155868073	115	29987	0.00172487798487057	0.062198432298685	G4	""	1.20622056149263	
ARCH8_GATA2_GATA3_pnr	1.64956358919028	0.105431309904153	0.0639146684584051	33	3044	0.00365793627597401	0.0628794615540848	G1	GATA	1.20149118587913	GATA
ARCH467_islike_RFX6_Rfx	1.59961796679682	0.0742268041237113	0.0464028322164623	36	2202	0.00454185011088065	0.0645846329903239	G3	RFX4/6/8	1.1898708040082	RFX4/6/8
ARCH7_GATA2_GATA3_Gata4	1.1997032596407	0.329896907216495	0.274982087916719	160	13049	0.00463517190035879	0.0655683691738254	G3	GATA	1.18330561803573	GATA
ARCH2489_islike_ANTP_BARX1_ANTP_BARX2_LBX2	1.28078212270884	0.0681653372008702	0.0532216494845361	94	2478	0.0108147675899395	0.0657112053115786	G7	""	1.18236056666481	
ARCH141_Foxh1	4.07570743952533	0.0191693290734824	0.00470331331625583	6	224	0.004204162362042	0.0696575171703752	G1	""	1.15703200932685	
ARCH2465_POU1F1_POU4F3_POU4F2	2.64313725490196	0.141176470588235	0.0534124629080119	12	2556	0.00188471306949383	0.0701216533800717	G5	Pou4	1.15414785234185	Pou4
ARCH1157_Homeodomains_Hoxa2_Hoxb4	1.26565546539906	0.0717911530094271	0.0567225085910653	99	2641	0.0121383485835055	0.0723810913275333	G7	HoxF/Anthox1	1.14037487309363	HoxF/Anthox1
ARCH1208_NR2E1_zf_C4_Nuclear_receptors_tll_NR2E3_Nr2e3	2.25127427452482	0.103225806451613	0.0458521680897372	16	2191	0.00219699281204239	0.0774939282793133	G4	""	1.11073232353355	
ARCH216_zf_C4_Nuclear_receptors_NR2E3	1.24875829092251	0.0768672951414068	0.0615549828178694	106	2866	0.0135848629612577	0.0786705496860895	G7	""	1.10418781532214	
ARCH461_GATA2_GATA3_grn	4.52856382169481	0.0159744408945687	0.00352748498719187	5	168	0.00574406267665089	0.08814053237166	G1	GATA	1.05482433066549	GATA
ARCH1746_FOXN1_FOXN4_FOXR1_FOXR2_Foxn4	1.15767612243044	0.8	0.691039561497103	112	33031	0.00265310909576751	0.0889610407914142	G2	""	1.05080014474444	
ARCH1631_SINE_SIX3_SINE_SIX5_Six6	1.25943575399703	0.0681653372008702	0.0541237113402062	94	2520	0.0159792104525767	0.0904156991441632	G7	""	1.04375615514712	
ARCH12_GATA2_GATA3_GATA2	1.61373659824746	0.0990415335463259	0.061374039390249	31	2923	0.00652475349134063	0.0952754327015116	G1	GATA	1.02101907016585	GATA
ARCH2560_NR2E1_Nr2e1	1.17194748867289	0.735483870967742	0.627574083375188	114	29988	0.00299216677622189	0.10032993782986	G4	""	0.998569456867098	
ARCH824_PRD_PAX2_PRD_PAX5_PRD_PAX8_ey_PAX7_PAX3_prd	1.82891826185992	0.0945945945945946	0.0517216086510049	21	2468	0.00609906946750778	0.102253535023155	G6	""	0.990321668997767	
ARCH2489_islike_ANTP_BARX1_ANTP_BARX2_LBX2	1.50647005913692	0.0804123711340206	0.0533780081763392	39	2533	0.00826979775204573	0.108506138621044	G3	""	0.964545691365385	
ARCH2463_ey	1.93906720761025	0.0543130990415336	0.0280099105530593	17	1334	0.00813373655684886	0.109906609395032	G1	""	0.958976189856029	
ARCH141_Foxh1	3.07131431741482	0.0144329896907217	0.00469928773127661	7	223	0.00934739180393455	0.118633252988254	G3	""	0.925793560844249	
ARCH1865_FOXD3_bin	1.34743440835201	0.037708484408992	0.0279853951890034	52	1303	0.0229820880359472	0.123115090938131	G7	""	0.909688709786271	
ARCH1447_islike:PRD_ARX_PRD_ARX	1.24384924798829	0.0652646845540247	0.0524699312714777	90	2443	0.0236399782037036	0.124189904838025	G7	""	0.905913705699933	
ARCH2286_FOXN1_FOXN4_FOXR1_FOXR2_jumu	1.42145514597016	0.335714285714286	0.236176489047888	47	11289	0.00492729500504565	0.136556461568408	G2	""	0.864687745124316	
ARCH7_GATA2_GATA3_Gata4	1.37544357816097	0.378571428571429	0.275235883595891	53	13156	0.00509750838239101	0.136604671435499	G2	GATA	0.864534448941671	GATA
ARCH1235_ANTP_HOXA2_ANTP_HOXA3_ANTP_HOXB2_ANTP_HOXB3_ANTP_HOXD3_ANTP_MNX1_SINE_SIX3_SINE_SIX5_PHOX2B_PHOX2A_PROP1_bsh_CG11294_CG5369_ALX1_PRRX1_CG9876_Optix	1.793446118964	0.060702875399361	0.0338470583294839	19	1612	0.0114685023331868	0.138437565941935	G1	""	0.858746045229393	
ARCH2224_zf_C4_Nuclear_receptors_NR1H4	1.56698600421144	0.0926517571884984	0.059127367404359	29	2816	0.0121784175432932	0.14499658276324	G1	""	0.838642232968862	
ARCH1122_Homeodomains_NKX2_8_Abd_B	1.77255373621703	0.060702875399361	0.0342460000839877	19	1631	0.012818632746566	0.147522909066412	G1	Nkx-2.2a	0.8311405321701	Nkx-2.2a
ARCH346_Ets_GABPA_ELK4_ELK1_Elk1	1.4947793440925	0.108626198083067	0.072670390123042	34	3461	0.0132662530629363	0.150129763828896	G1	Pea3/Ets	0.823533198594684	Pea3/Ets
ARCH2396_zf_C4_Nuclear_receptors_NR2C2	1.67543262111952	0.0702875399361022	0.0419518750262462	22	1998	0.0139969883003247	0.155166613157885	G1	""	0.809201719167538	
ARCH1235_ANTP_HOXA2_ANTP_HOXA3_ANTP_HOXB2_ANTP_HOXB3_ANTP_HOXD3_ANTP_MNX1_SINE_SIX3_SINE_SIX5_PHOX2B_PHOX2A_PROP1_bsh_CG11294_CG5369_ALX1_PRRX1_CG9876_Optix	1.28950719831758	0.0435097897026831	0.0337414089347079	60	1571	0.0324316070061333	0.161919567332092	G7	""	0.790700665324089	
ARCH2649_zf_C2H2_ZNF264	3.71871005954051	0.0225225225225225	0.00605654169373598	5	289	0.0122698963313661	0.168308274929244	G6	""	0.773894531274543	
ARCH1076_HMGbox_Sox_SOX8	2.583321424926	0.0164948453608247	0.00638513086357315	8	303	0.0145627658321418	0.168622510520921	G3	""	0.773084449032465	
ARCH943_HMGbox_Sox_SOX7	1.87388847794268	0.0479233226837061	0.0255742661571411	15	1218	0.0164671676374073	0.1746615074236	G1	""	0.757802795964295	
ARCH2562_NR2E1	1.16083285714286	0.728571428571429	0.627628193058432	102	30000	0.00767900924802395	0.179794733772699	G2	""	0.745223032997405	
ARCH1678_POU3F2_POU3F1_POU3F4_POU3F3	2.25270384245729	0.141176470588235	0.0626697872696117	12	2999	0.0067579679090655	0.184860031982526	G5	""	0.733156976162375	
ARCH263_onecut	7.89235843870258	0.0352941176470588	0.0044719354703891	3	214	0.00687905010557566	0.184985149373698	G5	""	0.732863135402034	
ARCH1711_RUNX1_RUNX2_RUNX3_RUNX3_lz	2.2085187393035	0.141176470588235	0.0639236009528984	12	3059	0.00785892567814177	0.192295875151649	G5	""	0.716030031508221	
ARCH1446_islike_ANTP_BARX1_ANTP_BARX2_LBX2	2.18743040195256	0.0857142857142857	0.0391849201866148	12	1873	0.0094376313186846	0.205060853292379	G2	""	0.688117239786632	
ARCH694_XBP1_bZIP_Atf3_ATF2_JUND_JDP2_CREB5	1.87740970502415	0.188235294117647	0.10026330087349	16	4798	0.00992663105366909	0.215685839534122	G5	Fos1	0.666178366784636	Fos1
ARCH2253_PTF1A_Fer1	1.52480791353624	0.121621621621622	0.0797619297105853	27	3806	0.0193704850361578	0.229739027765086	G6	""	0.638765221159988	
ARCH413_GATA2_GATA3_GATA1	1.45966693100714	0.065979381443299	0.045201668984701	32	2145	0.0234189524546928	0.230456068358498	G3	GATA	0.63741185156675	GATA
ARCH63_HOXD11	1.50033536206682	0.0577319587628866	0.0384793694946685	28	1826	0.0241929169375214	0.234671294293957	G3	Islet	0.629540031373656	Islet
ARCH501_Forkhead_CHES_1_like	2.19052161871057	0.0185567010309278	0.00847136173979011	9	402	0.0252158185116431	0.240302326588149	G3	""	0.619242024370868	
ARCH1207_NR2E1_zf_C4_Nuclear_receptors_Nr2e1_tll_dsf	1.90719142445797	0.0903225806451613	0.0473589486020425	14	2263	0.0161241131039572	0.243986056566927	G4	""	0.612634992223041	
ARCH2365_RUNX1_RUNX2_RUNX3_lz	6.30210711150132	0.0352941176470588	0.0056003677853471	3	268	0.0125510946148048	0.246441372974288	G5	""	0.608286380330275	
ARCH1235_ANTP_HOXA2_ANTP_HOXA3_ANTP_HOXB2_ANTP_HOXB3_ANTP_HOXD3_ANTP_MNX1_SINE_SIX3_SINE_SIX5_PHOX2B_PHOX2A_PROP1_bsh_CG11294_CG5369_ALX1_PRRX1_CG9876_Optix	1.52308995904533	0.0515463917525773	0.033843300880853	25	1606	0.0274764521826773	0.255568644274492	G3	""	0.592492430849721	
ARCH1258_HMGbox_Sox_SOX9	8	0.0142857142857143	0.00121341450657964	2	58	0.0134174898437677	0.256633115603331	G2	""	0.590687303550181	
ARCH2463_ey	1.27067299819879	0.0355329949238579	0.0279639175257732	49	1302	0.0595543028741436	0.260886268719636	G7	""	0.583548778608579	
ARCH940_HMGbox_Sox_SOX7_Sox21b	1.80553993632525	0.00725163161711385	0.00401632302405498	10	187	0.0597217988711898	0.261043730849856	G7	""	0.583286732217704	
ARCH467_islike_RFX6_Rfx	1.99482182985554	0.0928571428571429	0.0465490909851671	13	2225	0.0142289185857249	0.261119884316412	G2	RFX4/6/8	0.583160055331085	RFX4/6/8
ARCH2137_CREB3_CREB3L3_CREB3L4_islike_CREB3L1_CREB3L2_bZIP_CREB3L4_CREB3L1_CREB3_ATF6_ATF6B	1.42051423932221	0.0680412371134021	0.0478990179963754	33	2273	0.0299498639610462	0.267578389862505	G3	""	0.57254896393276	
ARCH933_HMGbox_Sox_SOX8_SOX10_Sox10_Sox11	5.34596308036547	0.0193548387096774	0.00362045873095597	3	173	0.0197168488654764	0.271832291972761	G4	""	0.565698953076108	
ARCH2364_RUNX1_RUNX2_RUNX3_lz	4.77647647647648	0.0135135135135135	0.00282918037596664	3	135	0.026599034291337	0.273151292206006	G6	""	0.563596740613025	
ARCH1122_Homeodomains_NKX2_8_Abd_B	1.50528152260111	0.0515463917525773	0.0342436886247735	25	1625	0.0309199339044331	0.273173574454281	G3	Nkx-2.2a	0.56356131459431	Nkx-2.2a
ARCH461_GATA2_GATA3_grn	2.9120029455081	0.0103092783505155	0.00354027057782273	5	168	0.0318700670661605	0.276988703803261	G3	GATA	0.557537942040046	GATA
ARCH467_islike_RFX6_Rfx	2.27316918692107	0.105882352941176	0.0465791783340996	9	2229	0.0176405461059884	0.290374080144634	G5	RFX4/6/8	0.537042152960085	RFX4/6/8
ARCH2254_PTF1A_HLH_MYF6_nau	1.46307446547063	0.0830670926517572	0.0567757107462311	26	2704	0.0355844353434738	0.290593372144398	G1	""	0.536714295316526	
ARCH2002_HLH_MAX	1.69588842421052	0.00797679477882524	0.00470360824742268	11	219	0.0701199088095252	0.293215865609362	G7	""	0.532812534166722	
ARCH1258_HMGbox_Sox_SOX9	7.41177384280833	0.00900900900900901	0.00121549971708196	2	58	0.0316945885339067	0.297576815539414	G6	""	0.526400908057361	
ARCH2573_bZIP_zip_10	1.43327243085808	0.130630630630631	0.0911415218894734	29	4349	0.0321045848740317	0.297576815539414	G6	""	0.526400908057361	
ARCH1631_SINE_SIX3_SINE_SIX5_Six6	1.46929069533551	0.0798722044728434	0.0543610632847604	25	2589	0.0372667416704918	0.297695501108987	G1	""	0.526227728531996	
ARCH2002_HLH_MAX	8	0.0576923076923077	0.00474032618455948	3	227	0.00202555714264957	0.305634066635346	G8	""	0.514798239994324	
ARCH1098_Doublesex_DM_dsx	2.82075382469083	0.0225225225225225	0.00798457572772806	5	381	0.0345132198063389	0.309859858981722	G6	""	0.508834681107842	
ARCH2076_HLH_PTF1A_Ptf1a	1.16873988955207	0.0652646845540247	0.0558419243986254	90	2600	0.0773734892134872	0.315535130185933	G7	AshA	0.50095228143869	AshA
ARCH2076_HLH_PTF1A_Ptf1a	1.72869460355743	0.0967741935483871	0.0559810815335677	15	2675	0.0282119825825506	0.321948507118519	G4	AshA	0.492213584399136	AshA
ARCH2254_PTF1A_HLH_MYF6_nau	1.16426195894076	0.0659898477157361	0.0566795532646048	91	2639	0.0812711689670215	0.329451484946911	G7	""	0.482208530603026	
ARCH2649_zf_C2H2_ZNF264	1.56201693423725	0.00942712110224801	0.00603522336769759	13	281	0.0846395587566418	0.33905758345581	G7	""	0.469726537627687	
ARCH1907_Homeodomains_PAX8_PAX2	8	0.307692307692308	0.0324667195259358	4	1556	0.000631030520710147	0.342775778849752	G9	PaxA	0.464989873690318	PaxA
