G1	G2	G3	G4	G5	G6	G7	G8	G9
ARCH1021_IRF_IRF9_IRF4_IRF8	1	1	0.701155794610812	0.984468921253841	1	1	0.790553177652681	1	1
ARCH1022_zf_C2H2_ZNF787	0.975800256338777	1	0.208569625707485	1	0.699497673424714	1	1	1	1
ARCH1023_MBNL2	0.98013703055648	1	1	1	1	1	1	1	1
ARCH1024_zf_C2H2_ZNF197	1	1	1	1	1	0.814317442825572	1	1	1
ARCH1025_zf_C2H2_ZNF124	0.858643586852761	1	1	1	1	1	0.970953763784784	0.535510008657266	1
ARCH1026_zf_C2H2_BCL11A	0.0963988351127523	1	1	1	1	0.929857704958951	1	1	1
ARCH1027_Ets_IRF_SPI1_IRF4_IRF8_Irf4_Irf8	0.244493499163988	1	1	0.961056510268481	1	0.814317442825572	1	1	1
ARCH1028_IRF_IRF4	0.1746615074236	0.958762890624366	1	0.375662801502318	1	1	1	1	1
ARCH1029_STAT_zf_C2H2_STAT2_ZNF71	1	1	0.708160919342047	0.96330764648776	0.926681194191346	1	1	1	1
ARCH102_islike_FOXL1_FOXC1	0.187590530742944	0.76689322801759	0.207248365653371	1	0.965030306759567	0.629215510726201	1	1	1
ARCH1030_zf_C2H2_ZNF41	0.835822027832551	0.946374946167827	1	1	1	0.962107210117378	0.831770445618347	1	1
ARCH1031_zf_C2H2_PRDM1	1	1	1	0.635175150648199	1	1	1	1	1
ARCH1032_zf_C2H2_ZNF34	1	1	1	1	1	0.855837101311018	0.930451701019606	1	1
ARCH1033_HMGbox_Sox_pan	1	1	1	1	0.986896428100072	1	1	1	1
ARCH1034_zf_C2H2_Ets_BCL11A_SPI1_SPIB_Spib	0.0302169099282003	1	1	0.949201250460725	1	1	1	1	1
ARCH1035_HMGbox_Sox_TCF7	1	1	1	1	1	1	1	1	1
ARCH1036_HMGbox_Sox_Tcf7	0.831285381037095	1	1	1	1	1	1	1	1
ARCH1037_IRF7	0.795571694152795	1	1	1	1	1	1	1	1
ARCH1038_YBX1	1	1	0.0165786418295914	1	0.963589940011432	1	0.713049241998593	1	1
ARCH1039_zf_C2H2_Zfp740	1	1	1	1	0.760505100532957	0.814327909555692	0.0809440538228995	1	1
ARCH103_zf_C4_Nuclear_receptors_nhr_65	1	1	0.922402625753596	1	0.926681194191346	0.705309576160675	0.0770840039490519	1	1
ARCH1040_zf_C2H2_ZNF449	0.796825609064589	1	1	0.984468921253841	0.819289701516887	0.835322454630439	0.5882605206384	1	1
ARCH1041_GCM_GCM1	1	1	1	1	1	1	1	1	1
ARCH1042_zf_C2H2_lola	0.783224976592018	1	1	1	0.941695901241708	0.259467207034662	0.930088518061159	0.898902587647944	1
ARCH1043_zf_C2H2_ZNF793	0.858643586852761	1	1	0.825824780413893	0.370552191503736	1	1	1	1
ARCH1044_zf_C2H2_ZNF449	1	1	1	0.285772292340895	0.827996226145832	1	1	1	1
ARCH1045_TFCP2	1	0.47447839312662	0.940901231027258	1	0.475395674919064	1	1	1	1
ARCH1046_PH0126.1_Obox6	0.795571694152795	1	0.87314150007541	1	1	1	1	1	1
ARCH1047_ETV6_ETV7_ELF3	0.789095001702389	0.869900720233147	0.774744510791811	1	1	1	1	1	1
ARCH1048_EHF_ELF3_ELF5_Ets98B	0.303276660701356	0.777197945387088	0.868832349192923	1	0.986896428100072	0.852391612941222	0.273457878962112	1	1
ARCH1049_TRP2	1	0.950622907013137	0.0736118491779673	1	1	1	1	1	1
ARCH104_CG4956	1	1	1	1	0.43620166148508	0.736464952717451	0.379273584026465	1	1
ARCH1050_Pcbp2	1	1	1	0.011227968686715	1	1	1	1	1
ARCH1051_TF3A	1	1	1	0.161548194670725	1	0.814327909555692	1	1	1
ARCH1052_Unknown2	0.870186801295298	0.685432486668954	1	1	1	1	0.558220742460577	1	1
ARCH1053_HNRNPA2B1	0.995867178212185	1	1	1	0.794087106025466	1	1	0.00744913932659871	1
ARCH1054_zf_C2H2_ZNF485	0.749423041725389	1	0.536927778960918	1	1	1	0.462646794834427	1	1
ARCH1055_zf_C2H2_ZNF480	1	0.947157243174816	1	1	0.511184745344854	1	1	1	1
ARCH1056_zf_C2H2_ZNF10	1	1	1	1	0.461842527209471	1	1	1	1
ARCH1057_STB5	0.890198385034944	1	1	1	1	2.58067851849971e-06	0.016661596773523	1	1
ARCH1058_zf_C2H2_ZNF222	1	1	0.711561893353214	1	1	1	1	1	1
ARCH1059_T_box_Tbx3	1	1	0.531512303107296	1	1	0.974669679888475	0.347697116039618	1	1
ARCH105_zf_C2H2_ZBTB20	1	1	0.774744510791811	1	1	1	0.896959863074877	1	1
ARCH1060	0.542964917539067	0.103949723473929	5.47780637371389e-08	0.00533689572320508	0.986896428100072	1	1	1	1
ARCH1061_nit-4	1	0.562286141013472	0.782414700738601	1	0.862561568696229	0.736464952717451	1	1	1
ARCH1062_ZNF354C	0.796825609064589	0.91134770729004	1	1	1	1	0.185612029900235	1	1
ARCH1063_islike_ERG_FEV_FLI1_ETV6_ETV7_ELF4_ELF1_Eip74EF_ELF2_EHF_ELF5_ELF3_Elf5	0.0429071743061388	0.302618665373233	1	1	0.908315302223613	1	1	1	1
ARCH1064_islike_ERG_FEV_FLI1_Eip74EF_ELF4_ELF2_ELF1	0.00807765325395516	0.278876000128301	1	1	0.825894118635793	1	1	1	1
ARCH1065_islike_ERG_FEV_FLI1_ETV4_ETV5	0.297075400210816	0.622940861316227	1	1	1	1	1	1	1
ARCH1066_SPDEF_Ets_SPIC_Spic_SPI1_SPIB	0.537549339795644	0.93595169840485	0.850495739904904	1	1	0.814317442825572	1	1	1
ARCH1067_Ets_SPIB	0.0286183187377667	0.724704379280105	1	1	1	1	1	1	1
ARCH1068_Ets_SPIB	0.0696575171703752	1	1	1	1	1	1	1	1
ARCH1069_Ets_SPI1_Spi1	0.21164727955334	1	1	1	1	1	1	1	1
ARCH106_POU2F2	0.434318272083461	1	0.879776787487316	0.300570333999864	0.839237314461915	0.707764231885192	2.35295643450367e-06	1	1
ARCH1070_Ets_ETV2_Etv2	0.256072617808203	0.782089064981048	1	0.935253569508461	1	1	1	1	1
ARCH1071_Ets_ETS1_ERG_ETV5_Ets1_Erg	0.0984289480184224	1	1	1	1	1	1	1	1
ARCH1072_Ets_Elf2	0.374732329569795	0.295192379270358	1	1	1	1	1	1	1
ARCH1073_ATHB20	1	0.943094487013821	0.0189186483186914	0.375148592201712	0.899146636241894	0.751335740755699	0.381358671249222	1	1
ARCH1074_ANAC062	0.551170542746475	1	1	1	1	0.855837101311018	0.353297894294794	1	1
ARCH1075_Brn2	0.858643586852761	1	1	1	1	0.791580728912856	0.524901761095953	0.535510008657266	1
ARCH1076_HMGbox_Sox_SOX8	1	1	0.168622510520921	1	1	1	1	1	1
ARCH1077_HMGbox_Sox_SOX8_SOX10_SOX9_Sox10	1	1	0.850495739904904	1	1	0.962303995630424	0.787053732586989	1	1
ARCH1078_HMGbox_Sox_SOX10_SOX9_Sox10	1	1	1	0.685593818338067	0.592894767366004	1	1	1	1
ARCH1079_HMGbox_Sox_SOX21_SRY	1	1	0.698293904273734	1	1	1	1	1	1
ARCH107_zf_C2H2_br	0.715951328284405	0.942704334832025	0.782414700738601	1	1	0.0442361040008707	1	1	1
ARCH1080_HMGbox_Sox_SOX15_SOX14_SOX2_Sox1	1	0.698171551283057	0.873137206185546	0.940344669990837	1	1	1	1	1
ARCH1081_HMGbox_Sox_SOX7	1	0.866428533860458	1	1	1	1	1	1	1
ARCH1082_HMGbox_Sox_SOX18	1	1	1	1	1	1	1	1	1
ARCH1083_HMGbox_Sox_SOX18_Sox17	1	0.549828656768303	1	1	1	0.661100351385366	1	1	1
ARCH1084_HMGbox_Sox_Sox3	1	1	1	1	0.943849179448173	1	1	1	1
ARCH1085_zf_C2H2_sens	1	1	0.0182728232366716	1	1	0.0169820736453658	0.200646077409508	1	1
ARCH1086_THAP_finger_CG14860	1	1	1	0.943647023562066	1	1	0.812301496141818	1	1
ARCH1087_zf_C2H2_BCL6_BCL6B	1	1	0.607133335619649	1	0.84161025852738	0.855837101311018	0.685626862001182	1	1
ARCH1088_zf_C2H2_ZSCAN23	1	1	0.810178260077125	1	1	0.88567386516708	0.903282722506799	1	1
ARCH1089_Homeodomains_POU6F1	0.715951328284405	0.869900720233147	0.0406954900906843	1	1	0.536803711495852	0.296115143366615	1	1
ARCH108_Pou1f1	0.425480169154815	1	0.931643448201499	1	1	0.707764231885192	0.00329012478250249	1	1
ARCH1090_Homeodomains_POU6F1_POU1F1_POU3F2_POU3F1_POU3F4	0.287863824306784	0.251391055906249	0.926511798227833	1	0.926681194191346	0.638388117475351	0.893771495778924	1	1
ARCH1091_Homeodomains_POU6F1	1	1	0.0480838877932503	0.862714188121315	0.681829787015797	1	0.274331216531234	1	1
ARCH1092_POU2F2	1	1	0.882924264258339	0.622229802882186	0.245114526974636	0.955146602637369	0.0770840039490519	1	1
ARCH1093_POU3F2	0.767738408501155	0.588063768115601	0.169698193764659	1	0.474781251889005	0.50820361772294	0.00400865638812952	1	1
ARCH1094_POU3F1	0.0963988351127523	1	0.64388098591033	0.889706336425861	0.620409969187705	1	0.000131423094201005	1	1
ARCH1095_zf_C2H2_her	1	1	1	1	1	1	1	1	1
ARCH1096_zf_C2H2_sens	1	0.866428533860458	0.640150822889668	1	1	0.0600725847511906	0.0760083764637757	1	1
ARCH1097_zf_C2H2_sens_2	0.82726229780294	0.898479226580377	1	1	1	0.684649300160182	0.062122534271705	1	1
ARCH1098_Doublesex_DM_dsx	1	1	0.770213864987634	1	1	0.309859858981722	1	1	1
ARCH1099_Myb_CG8765	1	1	1	1	1	1	0.712802665258652	1	1
ARCH109_DPRX	7.22546242859154e-06	1	1	1	1	0.31658982400626	0.164050377240374	1	1
ARCH10_GATA2_GATA3_GATA3	3.51202167829143e-05	1	1	0.891252922401122	1	0.751335740755699	1	1	1
ARCH1100_zf_C2H2_ZNF337	1	0.833797929087343	0.135231197015531	0.822502059529045	0.84161025852738	1	1	1	1
ARCH1101_zf_C2H2_ZNF3	0.752840342567793	0.463693881028405	0.634127274393046	0.952127444197088	1	0.395280563268012	0.0106902160772557	1	1
ARCH1102_zf_C2H2_ZNF154	0.721421267114291	1	1	1	1	0.971725707243295	0.233321795958366	1	1
ARCH1103_zf_C2H2_ZNF433	1	1	1	1	1	1	0.879061341356329	1	1
ARCH1104_zf_C2H2_ZNF525	0.61118253642544	1	0.135173976561402	1	0.521019263479936	0.836823417492454	2.55857165543486e-06	1	1
ARCH1105_bZIP_skn_1	0.691507062069542	1	0.0263335763422667	1	1	1	0.831770445618347	1	1
ARCH1106_zf_C2H2_ZNF24	1	0.643180930424204	1	1	0.942184090373136	0.259467207034662	0.0731528298860129	1	1
ARCH1107_Homeodomains_PBX2_Pbx2	0.916358038593739	0.866428533860458	0.000242314650283868	1	1	0.783553134091927	0.976888832194308	1	1
ARCH1108_bZIP_NFE2L1	0.558958212721641	0.869900720233147	0.726264440549301	0.407639296765091	0.553613999976487	1	1	1	1
ARCH1109_PBX1	1	0.517301736031184	0.000844616019941696	0.393527786138613	1	0.980433819536623	0.470618544961259	1	1
ARCH110_ems	1	1	0.87314150007541	1	0.0423896155489042	0.803693096364286	1	1	1
ARCH1110_Dfd	1	0.165771066227801	0.0383846798450498	1	1	1	0.880340125766511	1	1
ARCH1111_POU2F1	0.268931958751033	1	0.0503806475194751	0.52785013700899	0.905327527450917	1	0.551884966329537	1	1
ARCH1112_POU2F1	1	1	0.755523350316163	0.891741072713997	1	1	0.888640577706962	1	1
ARCH1113_POU3F1	0.634426388801574	1	0.795464533451439	1	1	0.653961284058722	0.846273334755566	1	1
ARCH1114	1	1	1	1	1	0.84292618222422	1	1	1
ARCH1115_Unknown6	1	1	0.8937592496692	1	1	0.297576815539414	0.298855273121103	1	1
ARCH1116_MADS_box_SRF_Mef2a	1	0.720160654931799	0.722921264728819	0.998496081223615	0.61599986604088	1	0.0199282134997624	0.929379814040964	1
ARCH1117_BORCS8_MEF2A_MEF2B_MEF2C_MEF2D_MADS_box_SRF_MEF2C_MEF2A_MEF2D_MEF2B	1	1	0.927478993688002	1	0.693129434760854	0.43135629682927	0.00695380871892188	1	1
ARCH1118_TBP_Tbp	0.853432941470138	1	0.0870207670768634	1	1	0.736464952717451	0.131014466995775	1	1
ARCH1119_zf_C2H2_ZNF284	1	1	0.186439400979658	1	1	1	1	1	1
ARCH111_prd	0.194005825719883	0.720160654931799	0.639004685117007	0.909793342018761	1	0.014325954627318	0.70872011736849	1	1
ARCH1120_AT1G69570	1	1	0.00429839379591453	1	1	1	1	1	1
ARCH1121_ABF1	1	0.582827281921711	1	0.622229802882186	1	0.283070109821746	1	1	1
ARCH1122_Homeodomains_NKX2_8_Abd_B	0.147522909066412	0.762618832710024	0.273173574454281	1	0.988076474571029	0.953814072194842	0.6474965652044	1	1
ARCH1123_ANTP_NKX2_3_ANTP_NKX2_5_ANTP_NKX2_6_CDX2	0.210083615359705	1	0.931643448201499	0.909793342018761	1	0.650174095435824	1	1	1
ARCH1124_PRD_PAX2_PRD_PAX5_PRD_PAX8_PAX3_gsb_PAX7	1	1	1	1	0.825894118635793	1	1	1	1
ARCH1125_PRD_PAX2_PRD_PAX5_PRD_PAX8_PAX7_gsb	1	1	1	1	0.942184090373136	1	1	1	1
ARCH1126_PRD_PAX2_PRD_PAX5_PRD_PAX8_PAX7_PAX3	1	1	1	1	0.827996226145832	1	1	1	1
ARCH1127_SAND_GMEB2	1	1	0.818041207790064	1	1	1	1	1	1
ARCH1128_gsb_n_prd	1	1	1	1	1	0.974669679888475	1	1	1
ARCH1129_Myb	0.662122607115454	1	0.78777830562009	0.864702549669742	0.750244596703645	0.853216659802494	0.312149992776315	1	1
ARCH112_PRD_DMBX1_DPRX	0.0236105411583678	1	1	1	1	0.163769860851366	0.831770445618347	1	1
ARCH1130_zf_C2H2_OVOL1_ovo	0.0780529908984966	0.887952277549227	1	1	1	1	0.619300975218487	1	1
ARCH1131_RHD_Rel_NFAT5	1	1	1	1	1	1	1	1	1
ARCH1132_SAND_GMEB1	0.862817463787012	0.376343453348808	0.41642058637667	1	1	0.629444829633689	1	1	1
ARCH1133_zf_C2H2_pho	1	1	0.366476246031047	0.622229802882186	1	1	1	1	1
ARCH1134_prd	1	1	1	1	1	1	1	1	1
ARCH1135_usp	1	1	1	1	1	1	0.403412962835101	1	1
ARCH1136_Pipsqueak_mbr_1	1	1	0.252283472313468	0.984468921253841	1	0.874083581080177	1	1	1
ARCH1137_zf_C2H2_Zfp711	1	1	1	1	0.839237314461915	1	1	1	1
ARCH1138_PB0042.1_Mafk_1	1	1	0.000114626067054782	0.253671356054377	0.926681194191346	1	0.882385183234196	1	1
ARCH1139_NFYC	1	1	0.486535000866826	0.763788578288936	0.879266912140391	0.636822390877553	1	1	1
ARCH113_PRD_DMBX1_Ptx1	0.00186212610974374	0.914850372210599	1	1	0.967178370800354	0.0528564270679387	0.000454799351838431	1	1
ARCH1140_RTG3	1	1	1	1	1	0.0167821295739943	0.714565442044773	1	1
ARCH1141_Hr46	1	1	0.645565969061188	1	1	1	1	0.782973196113753	1
ARCH1142_bZIP_Mafb	1	1	1	0.914915762920314	1	1	0.582574194866784	1	1
ARCH1143_HLH_dys_tgo	0.397198100243911	0.937323214384265	1	0.634641107365615	1	0.814317442825572	0.882385183234196	1	1
ARCH1144_zf_C2H2_ZNF528	0.912946351437712	1	1	1	1	1	0.985534623341455	1	1
ARCH1145_zf_C2H2_ZNF528	1	1	0.890083750839834	1	1	1	1	1	1
ARCH1146_zf_C4_Nuclear_receptors_RORC_Rorc	1	1	0.945281702692418	1	0.986896428100072	1	1	1	1
ARCH1147_SRSF10	1	0.992698549319697	0.156235426290689	1	1	1	0.94196936807175	1	1
ARCH1148_TBX2_TBX3_TBX2	1	1	1	1	1	1	0.908864205227449	1	1
ARCH1149_SMAD_MH1_SMAD4	1	0.47447839312662	0.882924264258339	0.685593818338067	1	1	1	1	1
ARCH114_PRD_DMBX1_DPRX	0.00169561709778024	0.903487233966648	1	1	1	0.404705422631465	0.262616456314763	1	1
ARCH1150_SMAD_MH1_SMAD4	1	1	1	1	1	1	1	1	1
ARCH1151_RFX_Rfx1_RFX3	1	0.067812614119648	2.73621222973663e-37	0.00116758200411954	0.681755773813541	1	1	0.547712878731017	1
ARCH1152_RFX_HLH_Rfx2_MXI1_Rfx3_RFX3_RFX2	1	0.0375403818600791	4.51713164729463e-35	1.55831745531972e-07	0.828339124504545	1	1	1	1
ARCH1153_islike_RFX6_RFX5_RFX7_RFX3_RFX2_RFX4_Rfx2_Rfx3_Rfx_RFX1_RFX5	1	0.000632100055952144	8.33872699648732e-31	9.04619982808475e-07	1	1	0.562435468656663	1	1
ARCH1154_RFX_RFX2	1	0.0557213760803383	1.23674724307511e-27	9.04619982808475e-07	1	1	0.598873377707565	1	1
ARCH1155_RFX1	1	0.154827656244688	5.35153065776311e-20	2.89880525513615e-06	1	0.907957051693321	0.429163850303553	1	1
ARCH1156_Homeodomains_PDX1_Pdx1	1	0.0281615394171469	7.04256515844344e-23	0.0130546571210913	1	0.648452523091859	0.164050377240374	1	1
ARCH1157_Homeodomains_Hoxa2_Hoxb4	1	0.000632100055952144	9.33929341981934e-32	5.30513435935796e-07	1	1	0.0723810913275333	1	1
ARCH1158_Homeodomains_HOXB7_Hoxb7_lin_39	1	0.0355669067499144	8.98316478113971e-23	1.55730734705535e-06	1	1	0.00955112994861758	1	1
ARCH1159_TALE_PBX1_TALE_PBX3_TALE_PBX4_PBX1	1	0.698171551283057	0.00843848639266919	0.100695222332397	0.967178370800354	0.826202026099806	0.364924153121856	1	1
ARCH115_LCL1	6.03030348118484e-05	1	0.809312871990533	1	1	0.982113905895977	1	1	1
ARCH1160_TALE_PBX1_TALE_PBX3_TALE_PBX4_PBX1	1	0.720160654931799	0.000284601114604079	0.622229802882186	1	0.926348857759673	0.333736422741438	1	1
ARCH1161_Homeodomains_HOXA1_Hoxa1	1	1	0.0611239829727672	1	1	0.934367740544154	1	1	1
ARCH1162_Homeodomains_HOXB8_Hoxb8	1	0.946374946167827	6.43192339244814e-11	0.00656564937762364	0.553613999976487	0.881502545501607	0.126501426293034	1	1
ARCH1163_Homeodomains_Hoxc9_Evx1_Cdx4_Hoxa9	1	0.198256740172339	9.86460934414171e-11	0.00326761795709073	0.971007551069977	0.42274168107033	0.00569509987012973	1	1
ARCH1164_Homeodomains_Hoxa9_HOXA9_MEIS1_Meis1	1	0.0997553026423866	2.6514338235955e-17	0.0127467134716233	0.817993308379398	1	0.0112318337138855	1	1
ARCH1165_STAT_Stat4	1	1	0.303744880337663	0.898771607678387	1	1	1	1	1
ARCH1166_ETV6_ETV7_ETV7	1	0.756277119115981	0.809381712937241	1	1	1	1	1	1
ARCH1167_zf_C2H2_F10B5.3	1	1	1	1	0.469419480924991	1	1	1	1
ARCH1168_STAT_STAT1_Stat3_STAT3_STAT4_Stat4	0.941415547215357	1	0.271270933231305	0.740096546605306	1	1	1	1	1
ARCH1169_STAT_STAT3_Stat4	1	1	0.122132367970361	0.717051157844812	1	1	1	1	1
ARCH116_GATA4	0.13460599246241	1	1	1	1	0.363019705349701	1	1	1
ARCH1170_STAT_STAT3	1	1	0.368884189867699	0.578928621148462	1	1	1	1	1
ARCH1171_STAT_STAT1	1	1	0.542678899334311	0.662651365338133	1	1	1	1	1
ARCH1172_STAT_STAT3_Stat3	1	1	0.218087463518071	0.746867878066412	1	1	1	1	1
ARCH1173_Homeodomains_Nanog	0.0727666875579889	0.0682409006744365	2.05789483548447e-08	0.0857560094764465	1	0.627079939029677	0.408084054522521	1	1
ARCH1174_ANTP_HOXA2_ANTP_HOXA3_ANTP_HOXB2_ANTP_HOXB3_ANTP_HOXD3_unpg	0.724072154162931	1	0.168622510520921	0.189572537148759	0.944661061597618	0.240714087562178	0.000245305174771766	1	1
ARCH1175_ANTP_HOXA2_ANTP_HOXA3_ANTP_HOXB2_ANTP_HOXB3_ANTP_HOXD3_VSX2	1	1	0.582422936941315	0.350658422871541	0.705141949485785	0.0468903460096533	8.53125564145595e-06	1	1
ARCH1176_Homeodomains_DLX3_Dlx3	0.0565356633887174	1	0.237378867908795	0.149849676549979	0.845188783384843	0.366767851203235	6.78827455371069e-07	1	1
ARCH1177_zf_C4_Nuclear_receptors_Esr2	1	1	0.868904180254273	1	0.926681194191346	1	1	1	1
ARCH1178_zf_C4_Nuclear_receptors_ESRRG	1	1	1	1	1	1	1	1	1
ARCH1179_zf_C2H2_ZNF564	1	1	1	1	1	1	1	1	1
ARCH117_GATA14	0.0617667986195734	1	1	1	1	0.162901056937299	1	1	1
ARCH1180_zf_C4_Nuclear_receptors_ESR1	1	0.960006952577493	1	0.96330764648776	0.592894767366004	1	1	1	1
ARCH1181_zf_C4_Nuclear_receptors_NR5A2_Nr5a2_Nr5a1	1	1	1	0.966534807430564	1	1	1	1	1
ARCH1182_zf_C4_Nuclear_receptors_ESRRB_ESRRG	1	1	0.786197270857299	0.709699197692022	1	1	1	1	1
ARCH1183_zf_C4_Nuclear_receptors_NR6A1	1	1	1	0.972700387872283	1	1	1	1	1
ARCH1184_zf_C4_Nuclear_receptors_Esrra_Rarg	1	1	1	0.87185872758372	1	1	1	1	1
ARCH1185_zf_C4_Nuclear_receptors_Nr5a2	1	1	1	0.82339972645128	1	1	1	1	1
ARCH1186_Rfx6__Rfx6	1	1	2.88482359560382e-20	0.000822243165440301	0.841616080676214	1	0.840395598294752	1	1
ARCH1187_islike_RFX6_RFX3_RFX2_RFX4_Rfx2_Rfx	1	1	2.12764468566219e-13	0.00126513796433688	1	1	1	1	1
ARCH1188_zf_C2H2_ZNF660	1	0.282757724677026	1	1	1	1	1	1	1
ARCH1189_zf_C2H2_ZNF90	1	1	1	0.826338746997273	1	0.713589585876936	1	1	1
ARCH118_Rbm42	1	0.0557213760803383	0.88710539859544	0.949201250460725	1	1	1	1	1
ARCH1190_Homeodomains_NFYA_PBX3_Nfya_Pbx3_NFYC_NFYB_Nfyb_Nfyc	0.00572455456647999	0.00774586466883265	1	0.0211508223103502	0.188479393766876	4.76385554296363e-05	0.000536955544025863	1	1
ARCH1191_NFYB	0.0325734366828338	0.00395093035929924	1	0.303776135295162	0.0404979956871394	0.00557841926315502	0.000323379109803882	1	1
ARCH1192_zf_C2H2_ZSCAN5C	1	1	1	0.960681075026246	1	0.929924152677729	1	1	1
ARCH1193_NFYA	0.617779687815411	0.0441771595562777	1	0.499628591740427	0.579282544337511	0.0600725847511906	0.00116917254481005	1	1
ARCH1194_RFX1	1	0.947157243174816	9.94923134360069e-13	1.11283631317772e-05	0.579282544337511	1	0.221508247942883	1	1
ARCH1195_zf_C2H2_Bcl6	1	1	0.475465716755406	1	1	0.85006716005422	1	1	1
ARCH1196_RHD_Rel_NFATC1	1	1	0.000779643038262995	1	1	1	1	1	1
ARCH1197_zf_C2H2_BCL6B_BCL6	1	1	0.8937592496692	1	1	1	0.959329766846297	1	1
ARCH1198_RHD_Rel_NFATC1_NFATC3_NFATC4_NFATC2	1	1	3.15997018571746e-08	1	1	1	1	1	1
ARCH1199_RHD_Rel_NFATC3_NFATC4_NFATC2_NFATC1	1	1	0.013644689447237	1	1	0.845204055917023	1	1	1
ARCH119_RBM3	0.93705357331195	1	0.293876207865545	0.730800411485236	0.972615750811125	0.475662614255697	1	1	1
ARCH11_GATA2_GATA3_GATA4	5.82940773234328e-05	0.0604756791731359	1	1	0.908315302223613	0.748128419467593	1	1	1
ARCH1200_STAT_Stat6	1	1	0.849619895207825	1	1	1	1	1	1
ARCH1201_STAT_Stat92E	1	0.790072131120754	0.542678899334311	1	1	0.834427217952877	1	1	1
ARCH1202_zf_C2H2_BCL6_Bcl6	0.890198385034944	1	0.922402625753596	1	1	1	1	1	1
ARCH1203_STAT_STAT6	1	0.950622907013137	0.484912535824226	1	1	0.785282738610619	1	1	1
ARCH1204_STAT5A_STAT5B	1	1	1	1	1	1	1	1	1
ARCH1205_WRKY46__WRKY22__WRKY11	1	1	0.914312262807384	0.568893763386553	1	1	1	1	1
ARCH1206_WRKY28	1	1	0.893786060284727	1	1	1	1	1	1
ARCH1207_NR2E1_zf_C4_Nuclear_receptors_Nr2e1_tll_dsf	1	1	1	0.243986056566927	1	1	1	1	1
ARCH1208_NR2E1_zf_C4_Nuclear_receptors_tll_NR2E3_Nr2e3	1	0.762618832710024	0.536927778960918	0.0774939282793133	1	0.682468824768924	1	1	1
ARCH1209_zf_C4_Nuclear_receptors_NR2E3	0.796825609064589	1	0.378940946692318	1	1	1	1	1	1
ARCH120_TEAD2	1	0.792967101885224	1	0.0336576067954209	1	1	0.561352071357043	1	1
ARCH1210_HOXA13	1	1	0.766936362453697	0.607880903695516	1	0.011665528217328	1	1	1
ARCH1211_ANTP_MNX1_Homeodomains_HOXC12_HOXA9_HOXC11_Hoxa11_Abd_B_HOXA11_HOXD10_HOXC10_HOXA10_cad	1	0.326471734758315	0.397297892662607	0.260978527524179	0.607602616549066	1	0.122684931302338	1	1
ARCH1212_ANTP_NKX2_3_ANTP_NKX2_5_ANTP_NKX2_6_Homeodomains_CDX1_CDX4_HOXC10_HOXA10	1	1	0.00682939577793346	0.0211508223103502	1	1	0.111429465874248	1	1
ARCH1213_Homeodomains_cad_CDX2	1	1	0.10314664889027	0.380320574179096	0.967178370800354	1	0.44148037109384	1	1
