PeakID (cmd=annotatePeaks.pl Ncol_pos_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R2.mLb.clN_peak_13996	NC_064046.1	6531401	6532023	+	4992	NA	exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	336	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_XM_001637985			LOC5518008			NA
Ncol_pos_R2.mLb.clN_peak_10658	NC_064042.1	16007270	16008102	+	4988	NA	promoter-TSS (Nvec_vc1.1_LOC5502904)	-promoter-TSS (Nvec_vc1.1_LOC5502904)	97	Nvec_vc1.1_LOC116610363	Nvec_vc1.1_LOC116610363	Nvec_vc1.1_XM_048732322			LOC116610363			NA
Ncol_pos_R2.mLb.clN_peak_15448	NC_064048.1	3456934	3458099	+	4983	NA	promoter-TSS (Nvec_vc1.1_LOC5515620)	-promoter-TSS (Nvec_vc1.1_LOC5515620)	-122	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_XM_032385387			LOC5515607			NA
Ncol_pos_R2.mLb.clN_peak_5797	NC_064038.1	5917804	5918721	+	4983	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-181	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Ncol_pos_R2.mLb.clN_peak_7491	NC_064039.1	14373814	14374679	+	4972	NA	promoter-TSS (Nvec_vc1.1_LOC5515178)	-promoter-TSS (Nvec_vc1.1_LOC5515178)	-175	Nvec_vc1.1_LOC5515178	Nvec_vc1.1_LOC5515178	Nvec_vc1.1_XM_001635233			LOC5515178			NA
Ncol_pos_R2.mLb.clN_peak_10512	NC_064042.1	12840066	12841058	+	4970	NA	exon (Nvec_vc1.1_LOC5506788, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5506788, exon 1 of 2)	487	Nvec_vc1.1_LOC5506788	Nvec_vc1.1_LOC5506788	Nvec_vc1.1_XM_001627445			LOC5506788			NA
Ncol_pos_R2.mLb.clN_peak_6942	NC_064039.1	7087565	7088536	+	4960	NA	promoter-TSS (Nvec_vc1.1_LOC5515022)	-promoter-TSS (Nvec_vc1.1_LOC5515022)	42	Nvec_vc1.1_LOC5515022	Nvec_vc1.1_LOC5515022	Nvec_vc1.1_XM_001635120			LOC5515022			NA
Ncol_pos_R2.mLb.clN_peak_5872	NC_064038.1	7072372	7073408	+	4953	NA	exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	141	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Ncol_pos_R2.mLb.clN_peak_2281	NC_064035.1	12981826	12983765	+	4936	NA	promoter-TSS (Nvec_vc1.1_LOC5521748)	-promoter-TSS (Nvec_vc1.1_LOC5521748)	346	Nvec_vc1.1_LOC5521644	Nvec_vc1.1_LOC5521644	Nvec_vc1.1_XM_032367033			LOC5521644			NA
Ncol_pos_R2.mLb.clN_peak_8949	NC_064041.1	3922201	3922936	+	4913	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-51	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_XM_001623893			LOC5502798			NA
Ncol_pos_R2.mLb.clN_peak_2367	NC_064035.1	14509003	14510130	+	4879	NA	promoter-TSS (Nvec_vc1.1_LOC5521716)	-promoter-TSS (Nvec_vc1.1_LOC5521716)	-87	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_XM_032367051			LOC5521716			NA
Ncol_pos_R2.mLb.clN_peak_9036	NC_064041.1	5533940	5534685	+	4861	NA	promoter-TSS (Nvec_vc1.1_LOC5504492)	-promoter-TSS (Nvec_vc1.1_LOC5504492)	25	Nvec_vc1.1_LOC5504488	Nvec_vc1.1_LOC5504488	Nvec_vc1.1_XM_001625360			LOC5504488			NA
Ncol_pos_R2.mLb.clN_peak_1116	NC_064034.1	17946829	17947713	+	4844	NA	promoter-TSS (Nvec_vc1.1_LOC5514416)	-promoter-TSS (Nvec_vc1.1_LOC5514416)	3	Nvec_vc1.1_LOC5514416	Nvec_vc1.1_LOC5514416	Nvec_vc1.1_XM_001634549			LOC5514416			NA
Ncol_pos_R2.mLb.clN_peak_4795	NC_064037.1	7753420	7754069	+	4836	NA	promoter-TSS (Nvec_vc1.1_LOC5519634)	-promoter-TSS (Nvec_vc1.1_LOC5519634)	-125	Nvec_vc1.1_LOC5519634	Nvec_vc1.1_LOC5519634	Nvec_vc1.1_XM_032364464			LOC5519634			NA
Ncol_pos_R2.mLb.clN_peak_15557	NC_064048.1	5214674	5215941	+	4817	NA	exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	-exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	253	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_XM_001642047			LOC5522216			NA
Ncol_pos_R2.mLb.clN_peak_2513	NC_064035.1	16510831	16511721	+	4810	NA	promoter-TSS (Nvec_vc1.1_LOC5515716)	-promoter-TSS (Nvec_vc1.1_LOC5515716)	-102	Nvec_vc1.1_LOC5515715	Nvec_vc1.1_LOC5515715	Nvec_vc1.1_XM_032385514			LOC5515715			NA
Ncol_pos_R2.mLb.clN_peak_11060	NC_064043.1	6081909	6082574	+	4805	NA	promoter-TSS (Nvec_vc1.1_LOC5522088)	-promoter-TSS (Nvec_vc1.1_LOC5522088)	106	Nvec_vc1.1_LOC5522089	Nvec_vc1.1_LOC5522089	Nvec_vc1.1_XM_032367240			LOC5522089			NA
Ncol_pos_R2.mLb.clN_peak_14073	NC_064046.1	8124955	8125958	+	4804	NA	promoter-TSS (Nvec_vc1.1_LOC5507044)	-promoter-TSS (Nvec_vc1.1_LOC5507044)	-107	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_XM_001627662			LOC5507044			NA
Ncol_pos_R2.mLb.clN_peak_1781	NC_064035.1	5767172	5768269	+	4791	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-82	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Ncol_pos_R2.mLb.clN_peak_309	NC_064034.1	5114018	5115111	+	4788	NA	promoter-TSS (Nvec_vc1.1_LOC5510684)	-promoter-TSS (Nvec_vc1.1_LOC5510684)	-98	Nvec_vc1.1_LOC5510684	Nvec_vc1.1_LOC5510684	Nvec_vc1.1_XM_001631060			LOC5510684			NA
Ncol_pos_R2.mLb.clN_peak_5759	NC_064038.1	5618770	5619581	+	4783	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-30	Nvec_NVE3975	Nvec_NVE3975	Nvec_NVE3975						NA
Ncol_pos_R2.mLb.clN_peak_13234	NC_064045.1	10796220	10797138	+	4775	NA	promoter-TSS (Nvec_vc1.1_LOC5506102)	-promoter-TSS (Nvec_vc1.1_LOC5506102)	-186	Nvec_vc1.1_LOC5506093	Nvec_vc1.1_LOC5506093	Nvec_vc1.1_XM_048719406			LOC5506093			NA
Ncol_pos_R2.mLb.clN_peak_2320	NC_064035.1	13500112	13500968	+	4775	NA	promoter-TSS (Nvec_vc1.1_LOC5521777)	-promoter-TSS (Nvec_vc1.1_LOC5521777)	-208	Nvec_vc1.1_LOC5521777	Nvec_vc1.1_LOC5521777	Nvec_vc1.1_XM_032366985			LOC5521777			NA
Ncol_pos_R2.mLb.clN_peak_12487	NC_064044.1	12852671	12853600	+	4769	NA	Intergenic	Intergenic	-7104	Nvec_NVE25375	Nvec_NVE25375	Nvec_NVE25375						NA
Ncol_pos_R2.mLb.clN_peak_12235	NC_064044.1	8748845	8749619	+	4759	NA	promoter-TSS (Nvec_vc1.1_LOC5508651)	-promoter-TSS (Nvec_vc1.1_LOC5508651)	-26	Nvec_vc1.1_LOC5508662	Nvec_vc1.1_LOC5508662	Nvec_vc1.1_XM_032377439			LOC5508662			NA
Ncol_pos_R2.mLb.clN_peak_4818	NC_064037.1	8018042	8019264	+	4732	NA	promoter-TSS (Nvec_vc1.1_LOC5519648)	-promoter-TSS (Nvec_vc1.1_LOC5519648)	-351	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_XM_001639477			LOC5519648			NA
Ncol_pos_R2.mLb.clN_peak_15034	NC_064047.1	9692310	9693703	+	4732	NA	promoter-TSS (Nvec_vc1.1_LOC5510329)	-promoter-TSS (Nvec_vc1.1_LOC5510329)	31	Nvec_vc1.1_LOC5510329	Nvec_vc1.1_LOC5510329	Nvec_vc1.1_XM_001630732			LOC5510329			NA
Ncol_pos_R2.mLb.clN_peak_10965	NC_064043.1	4969797	4970761	+	4693	NA	promoter-TSS (Nvec_vc1.1_LOC5506075)	-promoter-TSS (Nvec_vc1.1_LOC5506075)	-45	Nvec_vc1.1_LOC5506072	Nvec_vc1.1_LOC5506072	Nvec_vc1.1_XM_032374401			LOC5506072			NA
Ncol_pos_R2.mLb.clN_peak_369	NC_064034.1	6423106	6424100	+	4686	NA	promoter-TSS (Nvec_vc1.1_LOC5519119)	-promoter-TSS (Nvec_vc1.1_LOC5519119)	-59	Nvec_vc1.1_LOC5519118	Nvec_vc1.1_LOC5519118	Nvec_vc1.1_XM_032363785			LOC5519118			NA
Ncol_pos_R2.mLb.clN_peak_5097	NC_064037.1	12220779	12221762	+	4670	NA	promoter-TSS (Nvec_vc1.1_LOC5516649)	-promoter-TSS (Nvec_vc1.1_LOC5516649)	-73	Nvec_vc1.1_LOC5516649	Nvec_vc1.1_LOC5516649	Nvec_vc1.1_XM_001636595			LOC5516649			NA
