PeakID (cmd=annotatePeaks.pl Fox_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_pos_R1.mLb.clN_peak_10881	NC_064043.1	13730746	13731585	+	5191	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	4	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_LOC5506747	Nvec_vc1.1_XM_001627407			LOC5506747			NA
Fox_pos_R1.mLb.clN_peak_1342	NC_064035.1	1249953	1250659	+	5111	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	190	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_XM_001629629			LOC5509139			NA
Fox_pos_R1.mLb.clN_peak_5204	NC_064038.1	1050714	1052184	+	5076	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-94	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Fox_pos_R1.mLb.clN_peak_12121	NC_064045.1	6551627	6552663	+	5056	NA	promoter-TSS (Nvec_vc1.1_LOC5510098)	-promoter-TSS (Nvec_vc1.1_LOC5510098)	-85	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_LOC5510098	Nvec_vc1.1_XM_001630548			LOC5510098			NA
Fox_pos_R1.mLb.clN_peak_8749	NC_064041.1	12519713	12520843	+	4985	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-116	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Fox_pos_R1.mLb.clN_peak_13229	NC_064046.1	9299090	9299904	+	4885	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	6	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_XM_001638427			LOC5518591			NA
Fox_pos_R1.mLb.clN_peak_13064	NC_064046.1	6457902	6458903	+	4872	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-53	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Fox_pos_R1.mLb.clN_peak_14709	NC_064048.1	7508944	7509990	+	4857	NA	promoter-TSS (Nvec_vc1.1_LOC5509865)	-promoter-TSS (Nvec_vc1.1_LOC5509865)	-134	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_XM_032378881			LOC5509865			NA
Fox_pos_R1.mLb.clN_peak_8982	NC_064041.1	16500553	16501620	+	4685	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-105	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Fox_pos_R1.mLb.clN_peak_14469	NC_064048.1	3494898	3495418	+	4675	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-28	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Fox_pos_R1.mLb.clN_peak_898	NC_064034.1	15803983	15805486	+	4635	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	-69	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Fox_pos_R1.mLb.clN_peak_3745	NC_064036.1	16544912	16545875	+	4622	NA	intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	-intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	5039	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_XM_001634398			LOC5514224			NA
Fox_pos_R1.mLb.clN_peak_9015	NC_064042.1	539005	540160	+	4597	NA	promoter-TSS (Nvec_vc1.1_LOC5505333)	-promoter-TSS (Nvec_vc1.1_LOC5505333)	47	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_XM_048732633			LOC5505333			NA
Fox_pos_R1.mLb.clN_peak_5853	NC_064038.1	13813401	13814175	+	4583	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	26	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Fox_pos_R1.mLb.clN_peak_3384	NC_064036.1	11051351	11052402	+	4560	NA	intron (Nvec_vc1.1_LOC5519971, intron 2 of 41)	-intron (Nvec_vc1.1_LOC5519971, intron 2 of 41)	4828	Nvec_vc1.1_LOC5519971	Nvec_vc1.1_LOC5519971	Nvec_vc1.1_XM_048725656			LOC5519971			NA
Fox_pos_R1.mLb.clN_peak_8344	NC_064041.1	3922131	3923022	+	4486	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-43	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_XM_001623893			LOC5502798			NA
Fox_pos_R1.mLb.clN_peak_5488	NC_064038.1	7072398	7073363	+	4464	NA	exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	131	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Fox_pos_R1.mLb.clN_peak_6426	NC_064039.1	5905156	5906202	+	4438	NA	promoter-TSS (Nvec_vc1.1_LOC5521556)	-promoter-TSS (Nvec_vc1.1_LOC5521556)	-378	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_XM_001641165			LOC5521556			NA
Fox_pos_R1.mLb.clN_peak_8725	NC_064041.1	11493695	11494551	+	4436	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	23	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Fox_pos_R1.mLb.clN_peak_3825	NC_064036.1	17653819	17654899	+	4431	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-51	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Fox_pos_R1.mLb.clN_peak_13744	NC_064047.1	3099994	3100771	+	4423	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	223	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Fox_pos_R1.mLb.clN_peak_14455	NC_064048.1	3322810	3323494	+	4383	NA	promoter-TSS (Nvec_vc1.1_LOC5512692)	-promoter-TSS (Nvec_vc1.1_LOC5512692)	-116	Nvec_vc1.1_LOC5512692	Nvec_vc1.1_LOC5512692	Nvec_vc1.1_XM_048722436			LOC5512692			NA
Fox_pos_R1.mLb.clN_peak_3933	NC_064036.1	19615482	19616457	+	4380	NA	promoter-TSS (Nvec_vc1.1_LOC5508990)	-promoter-TSS (Nvec_vc1.1_LOC5508990)	-22	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_XM_001629485			LOC5508990			NA
Fox_pos_R1.mLb.clN_peak_11752	NC_064044.1	15748794	15749915	+	4351	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-103	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Fox_pos_R1.mLb.clN_peak_3645	NC_064036.1	14911292	14912283	+	4310	NA	Intergenic	Intergenic	-1786	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_XM_032367459			LOC5522175			NA
Fox_pos_R1.mLb.clN_peak_2218	NC_064035.1	14802137	14803027	+	4279	NA	promoter-TSS (Nvec_vc1.1_LOC5521822)	-promoter-TSS (Nvec_vc1.1_LOC5521822)	21	Nvec_vc1.1_LOC5521730	Nvec_vc1.1_LOC5521730	Nvec_vc1.1_XM_001641557			LOC5521730			NA
Fox_pos_R1.mLb.clN_peak_3513	NC_064036.1	12910353	12911658	+	4275	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-289	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Fox_pos_R1.mLb.clN_peak_5545	NC_064038.1	8116431	8117187	+	4219	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-62	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Fox_pos_R1.mLb.clN_peak_556	NC_064034.1	9484777	9485371	+	4209	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	-28	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Fox_pos_R1.mLb.clN_peak_12005	NC_064045.1	4675326	4676422	+	4203	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-28	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_XM_001630078			LOC5509637			NA
Fox_pos_R1.mLb.clN_peak_2602	NC_064035.1	20683692	20684575	+	4193	NA	promoter-TSS (Nvec_vc1.1_LOC5504110)	-promoter-TSS (Nvec_vc1.1_LOC5504110)	13	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_XM_001624980			LOC5504110			NA
Fox_pos_R1.mLb.clN_peak_10788	NC_064043.1	12561239	12562195	+	4174	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-175	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Fox_pos_R1.mLb.clN_peak_12326	NC_064045.1	10373039	10373772	+	4167	NA	promoter-TSS (Nvec_vc1.1_LOC5500874)	-promoter-TSS (Nvec_vc1.1_LOC5500874)	107	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Fox_pos_R1.mLb.clN_peak_2588	NC_064035.1	20363911	20364850	+	4166	NA	exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	239	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_XM_032369437			LOC5501073			NA
Fox_pos_R1.mLb.clN_peak_10372	NC_064043.1	6228303	6229411	+	4162	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-134	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Fox_pos_R1.mLb.clN_peak_5592	NC_064038.1	8882354	8883090	+	4152	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-69	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Fox_pos_R1.mLb.clN_peak_8992	NC_064042.1	147638	148611	+	4150	NA	promoter-TSS (Nvec_vc1.1_LOC5501687)	-promoter-TSS (Nvec_vc1.1_LOC5501687)	-54	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_XM_032369983			LOC5501687			NA
Fox_pos_R1.mLb.clN_peak_5514	NC_064038.1	7538066	7538694	+	4140	NA	promoter-TSS (Nvec_vc1.1_LOC5502057)	-promoter-TSS (Nvec_vc1.1_LOC5502057)	-39	Nvec_vc1.1_LOC5502056	Nvec_vc1.1_LOC5502056	Nvec_vc1.1_XM_048727669			LOC5502056			NA
Fox_pos_R1.mLb.clN_peak_8969	NC_064041.1	16369243	16369919	+	4104	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-42	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_LOC5507944	Nvec_vc1.1_XM_032376688			LOC5507944			NA
Fox_pos_R1.mLb.clN_peak_9616	NC_064042.1	10108927	10109626	+	4071	NA	promoter-TSS (Nvec_vc1.1_LOC5503823)	-promoter-TSS (Nvec_vc1.1_LOC5503823)	-33	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_XM_001624711			LOC5503823			NA
Fox_pos_R1.mLb.clN_peak_6008	NC_064039.1	145399	147017	+	4069	NA	exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	520	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_XM_032380824			LOC5511474			NA
Fox_pos_R1.mLb.clN_peak_6373	NC_064039.1	5144800	5145928	+	4054	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-56	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_XM_048729400			LOC5521407			NA
Fox_pos_R1.mLb.clN_peak_6514	NC_064039.1	7200176	7201366	+	4048	NA	exon (Nvec_vc1.1_LOC116619643, exon 1 of 12)	-exon (Nvec_vc1.1_LOC116619643, exon 1 of 12)	230	Nvec_vc1.1_LOC116619643	Nvec_vc1.1_LOC116619643	Nvec_vc1.1_XM_032384612			LOC116619643			NA
Fox_pos_R1.mLb.clN_peak_13999	NC_064047.1	8470658	8471647	+	4035	NA	promoter-TSS (Nvec_vc1.1_LOC5510445)	-promoter-TSS (Nvec_vc1.1_LOC5510445)	-130	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_XM_001630871			LOC5510445			NA
Fox_pos_R1.mLb.clN_peak_8435	NC_064041.1	5589861	5591432	+	4015	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	69	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Fox_pos_R1.mLb.clN_peak_12365	NC_064045.1	11036116	11037308	+	4013	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-38	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Fox_pos_R1.mLb.clN_peak_2744	NC_064036.1	1586676	1588368	+	3995	NA	exon (Nvec_vc1.1_LOC5517045, exon 2 of 5)	-exon (Nvec_vc1.1_LOC5517045, exon 2 of 5)	289	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_XM_032386923			LOC5517045			NA
Fox_pos_R1.mLb.clN_peak_12089	NC_064045.1	6064908	6065974	+	3991	NA	promoter-TSS (Nvec_vc1.1_LOC5506418)	-promoter-TSS (Nvec_vc1.1_LOC5506418)	156	Nvec_v1g237368	Nvec_v1g237368	Nvec_v1g237368						NA
Fox_pos_R1.mLb.clN_peak_8431	NC_064041.1	5534094	5534692	+	3987	NA	promoter-TSS (Nvec_vc1.1_LOC5504492)	-promoter-TSS (Nvec_vc1.1_LOC5504492)	28	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_XM_001625350			LOC5504492			NA
Fox_pos_R1.mLb.clN_peak_6761	NC_064039.1	10927995	10929039	+	3976	NA	promoter-TSS (Nvec_vc1.1_LOC5503776)	-promoter-TSS (Nvec_vc1.1_LOC5503776)	-162	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_XM_001624701			LOC5503784			NA
Fox_pos_R1.mLb.clN_peak_5433	NC_064038.1	5917819	5918695	+	3976	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-176	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Fox_pos_R1.mLb.clN_peak_1639	NC_064035.1	5767357	5768339	+	3882	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-210	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Fox_pos_R1.mLb.clN_peak_102	NC_064034.1	2402597	2403644	+	3881	NA	intron (Nvec_NVE8960, intron 1 of 1)	-intron (Nvec_NVE8960, intron 1 of 1)	3870	Nvec_NVE8960	Nvec_NVE8960	Nvec_NVE8960						NA
Fox_pos_R1.mLb.clN_peak_4501	NC_064037.1	8018031	8019264	+	3877	NA	promoter-TSS (Nvec_vc1.1_LOC5519648)	-promoter-TSS (Nvec_vc1.1_LOC5519648)	-357	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_XM_001639477			LOC5519648			NA
Fox_pos_R1.mLb.clN_peak_9043	NC_064042.1	989765	990836	+	3875	NA	promoter-TSS (Nvec_vc1.1_LOC5503854)	-promoter-TSS (Nvec_vc1.1_LOC5503854)	-134	Nvec_vc1.1_LOC5503868	Nvec_vc1.1_LOC5503868	Nvec_vc1.1_XM_032372080			LOC5503868			NA
Fox_pos_R1.mLb.clN_peak_8131	NC_064040.1	16436617	16437698	+	3863	NA	promoter-TSS (Nvec_vc1.1_LOC5516065)	-promoter-TSS (Nvec_vc1.1_LOC5516065)	-109	Nvec_vc1.1_LOC5516066	Nvec_vc1.1_LOC5516066	Nvec_vc1.1_XM_032385833			LOC5516066			NA
Fox_pos_R1.mLb.clN_peak_5405	NC_064038.1	5618767	5619487	+	3860	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-47	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Fox_pos_R1.mLb.clN_peak_5658	NC_064038.1	9918366	9919454	+	3851	NA	promoter-TSS (Nvec_vc1.1_LOC5508724)	-promoter-TSS (Nvec_vc1.1_LOC5508724)	-7	Nvec_vc1.1_LOC5508724	Nvec_vc1.1_LOC5508724	Nvec_vc1.1_XM_032377532			LOC5508724			NA
Fox_pos_R1.mLb.clN_peak_12737	NC_064046.1	1587947	1588661	+	3844	NA	TTS (Nvec_vc1.1_LOC116613006)	-TTS (Nvec_vc1.1_LOC116613006)	6359	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_XM_032373560			LOC116613006			NA
Fox_pos_R1.mLb.clN_peak_5374	NC_064038.1	4881491	4882446	+	3832	NA	exon (Nvec_vc1.1_LOC5509169, exon 1 of 12)	-exon (Nvec_vc1.1_LOC5509169, exon 1 of 12)	211	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_XM_032378043			LOC5509169			NA
Fox_pos_R1.mLb.clN_peak_14347	NC_064048.1	1314956	1316106	+	3829	NA	promoter-TSS (Nvec_vc1.1_LOC5500404)	-promoter-TSS (Nvec_vc1.1_LOC5500404)	-122	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_XM_001621809			LOC5500404			NA
Fox_pos_R1.mLb.clN_peak_1071	NC_064034.1	18665981	18667226	+	3800	NA	Intergenic	Intergenic	-11329	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_XM_032381735			LOC116618239			NA
Fox_pos_R1.mLb.clN_peak_8812	NC_064041.1	13558991	13559853	+	3799	NA	Intergenic	Intergenic	-2977	Nvec_NVE16577	Nvec_NVE16577	Nvec_NVE16577						NA
Fox_pos_R1.mLb.clN_peak_1492	NC_064035.1	3668891	3669444	+	3790	NA	promoter-TSS (Nvec_vc1.1_LOC5514837)	-promoter-TSS (Nvec_vc1.1_LOC5514837)	-11	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_XM_032384470			LOC5514837			NA
Fox_pos_R1.mLb.clN_peak_3963	NC_064036.1	20484956	20485885	+	3787	NA	promoter-TSS (Nvec_NVE7242)	-promoter-TSS (Nvec_NVE7242)	-75	Nvec_NVE7242	Nvec_NVE7242	Nvec_NVE7242						NA
Fox_pos_R1.mLb.clN_peak_9317	NC_064042.1	5381324	5382334	+	3768	NA	promoter-TSS (Nvec_vc1.1_LOC5504892)	-promoter-TSS (Nvec_vc1.1_LOC5504892)	-48	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_XM_001625714			LOC5504892			NA
Fox_pos_R1.mLb.clN_peak_12674	NC_064046.1	748747	749802	+	3768	NA	promoter-TSS (Nvec_vc1.1_LOC5521605)	-promoter-TSS (Nvec_vc1.1_LOC5521605)	-252	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_XM_001641219			LOC5521605			NA
Fox_pos_R1.mLb.clN_peak_11939	NC_064045.1	3744420	3745716	+	3748	NA	promoter-TSS (Nvec_vc1.1_LOC5516880)	-promoter-TSS (Nvec_vc1.1_LOC5516880)	-135	Nvec_vc1.1_LOC5516880	Nvec_vc1.1_LOC5516880	Nvec_vc1.1_XM_048720266			LOC5516880			NA
Fox_pos_R1.mLb.clN_peak_11858	NC_064045.1	2243483	2244645	+	3744	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	322	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Fox_pos_R1.mLb.clN_peak_8226	NC_064041.1	1425141	1426297	+	3744	NA	promoter-TSS (Nvec_vc1.1_LOC5509762)	-promoter-TSS (Nvec_vc1.1_LOC5509762)	-36	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_XM_001630214			LOC5509762			NA
Fox_pos_R1.mLb.clN_peak_9964	NC_064042.1	15965586	15966550	+	3722	NA	promoter-TSS (Nvec_vc1.1_LOC5502899)	-promoter-TSS (Nvec_vc1.1_LOC5502899)	-214	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_XM_001623988			LOC5502899			NA
Fox_pos_R1.mLb.clN_peak_5060	NC_064037.1	16624282	16625395	+	3720	NA	promoter-TSS (Nvec_vc1.1_LOC5513930)	-promoter-TSS (Nvec_vc1.1_LOC5513930)	-95	Nvec_vc1.1_LOC5513946	Nvec_vc1.1_LOC5513946	Nvec_vc1.1_XM_048726361			LOC5513946			NA
