PeakID (cmd=annotatePeaks.pl Ncol_pos_R3.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R3.mLb.clN_peak_3875	NC_064036.1	12910359	12911628	+	4346	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-277	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Ncol_pos_R3.mLb.clN_peak_15575	NC_064048.1	3494918	3495428	+	4204	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-43	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Ncol_pos_R3.mLb.clN_peak_4145	NC_064036.1	16544926	16545882	+	4200	NA	intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	-intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	5028	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_XM_001634398			LOC5514224			NA
Ncol_pos_R3.mLb.clN_peak_9844	NC_064041.1	16500576	16501557	+	4187	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-125	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Ncol_pos_R3.mLb.clN_peak_11694	NC_064043.1	12561359	12562173	+	4166	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-126	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Ncol_pos_R3.mLb.clN_peak_13035	NC_064045.1	4675378	4676240	+	4155	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-37	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_XM_048720321			LOC5509656			NA
Ncol_pos_R3.mLb.clN_peak_6111	NC_064038.1	8882337	8883081	+	4129	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-56	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Ncol_pos_R3.mLb.clN_peak_14786	NC_064047.1	2335719	2337267	+	4109	NA	exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	-exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	7248	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_XM_048721414			LOC125559768			NA
Ncol_pos_R3.mLb.clN_peak_9581	NC_064041.1	12519961	12520816	+	4035	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-6	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Ncol_pos_R3.mLb.clN_peak_12565	NC_064044.1	11844992	11846067	+	3999	NA	promoter-TSS (Nvec_vc1.1_LOC5514711)	-promoter-TSS (Nvec_vc1.1_LOC5514711)	-103	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_LOC5514711	Nvec_vc1.1_XM_001634854			LOC5514711			NA
Ncol_pos_R3.mLb.clN_peak_9149	NC_064041.1	3922205	3922837	+	3997	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-69	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_XM_032371111			LOC5502795			NA
Ncol_pos_R3.mLb.clN_peak_9831	NC_064041.1	16369246	16369932	+	3975	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-49	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_XM_001628535			LOC5507945			NA
Ncol_pos_R3.mLb.clN_peak_2397	NC_064035.1	13500113	13500995	+	3970	NA	promoter-TSS (Nvec_vc1.1_LOC5521777)	-promoter-TSS (Nvec_vc1.1_LOC5521777)	-200	Nvec_vc1.1_LOC116604507	Nvec_vc1.1_LOC116604507	Nvec_vc1.1_XM_032366987			LOC116604507			NA
Ncol_pos_R3.mLb.clN_peak_1823	NC_064035.1	5767330	5768278	+	3944	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-166	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Ncol_pos_R3.mLb.clN_peak_6328	NC_064038.1	12419120	12420557	+	3934	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-642	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Ncol_pos_R3.mLb.clN_peak_1408	NC_064034.1	22161199	22163092	+	3919	NA	Intergenic	Intergenic	1876	Nvec_v1g223461	Nvec_v1g223461	Nvec_v1g223461						NA
Ncol_pos_R3.mLb.clN_peak_8926	NC_064040.1	16920824	16921859	+	3912	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-173	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Ncol_pos_R3.mLb.clN_peak_11355	NC_064043.1	7994500	7995582	+	3900	NA	promoter-TSS (Nvec_vc1.1_LOC5521895)	-promoter-TSS (Nvec_vc1.1_LOC5521895)	-130	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_LOC5521900	Nvec_vc1.1_XM_001641719			LOC5521900			NA
Ncol_pos_R3.mLb.clN_peak_15519	NC_064048.1	2444243	2444793	+	3897	NA	promoter-TSS (Nvec_vc1.1_LOC5510785)	-promoter-TSS (Nvec_vc1.1_LOC5510785)	-47	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_XM_048722641			LOC5510785			NA
Ncol_pos_R3.mLb.clN_peak_14824	NC_064047.1	2994134	2995144	+	3889	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	23	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Ncol_pos_R3.mLb.clN_peak_4371	NC_064036.1	20792955	20793826	+	3879	NA	Intergenic	Intergenic	-22385	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_XM_048724930			LOC116611810			NA
Ncol_pos_R3.mLb.clN_peak_2949	NC_064035.1	21659704	21660658	+	3819	NA	promoter-TSS (Nvec_vc1.1_LOC5513161)	-promoter-TSS (Nvec_vc1.1_LOC5513161)	28	Nvec_vc1.1_LOC5513161	Nvec_vc1.1_LOC5513161	Nvec_vc1.1_XM_032382661			LOC5513161			NA
Ncol_pos_R3.mLb.clN_peak_1010	NC_064034.1	15803801	15805524	+	3793	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	-4	Nvec_vc1.1_LOC5521019	Nvec_vc1.1_LOC5521019	Nvec_vc1.1_XM_001640853			LOC5521019			NA
Ncol_pos_R3.mLb.clN_peak_5892	NC_064038.1	5618780	5619487	+	3791	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-53	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Ncol_pos_R3.mLb.clN_peak_4016	NC_064036.1	14911124	14912286	+	3790	NA	Intergenic	Intergenic	-1704	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_XM_032367459			LOC5522175			NA
Ncol_pos_R3.mLb.clN_peak_2290	NC_064035.1	11815465	11817950	+	3715	NA	promoter-TSS (Nvec_vc1.1_LOC5514023)	-promoter-TSS (Nvec_vc1.1_LOC5514023)	-205	Nvec_vc1.1_LOC5514023	Nvec_vc1.1_LOC5514023	Nvec_vc1.1_XM_032383661			LOC5514023			NA
Ncol_pos_R3.mLb.clN_peak_11223	NC_064043.1	6081909	6082562	+	3714	NA	promoter-TSS (Nvec_vc1.1_LOC5522088)	-promoter-TSS (Nvec_vc1.1_LOC5522088)	112	Nvec_vc1.1_LOC5522089	Nvec_vc1.1_LOC5522089	Nvec_vc1.1_XM_032367240			LOC5522089			NA
Ncol_pos_R3.mLb.clN_peak_13718	NC_064046.1	371557	372178	+	3713	NA	TTS (Nvec_vc1.1_LOC116601119)	-TTS (Nvec_vc1.1_LOC116601119)	5049	Nvec_vc1.1_LOC116601119	Nvec_vc1.1_LOC116601119	Nvec_vc1.1_XM_001622494			LOC116601119			NA
Ncol_pos_R3.mLb.clN_peak_7413	NC_064039.1	10927931	10929035	+	3689	NA	promoter-TSS (Nvec_vc1.1_LOC5503776)	-promoter-TSS (Nvec_vc1.1_LOC5503776)	-196	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_LOC5503784	Nvec_vc1.1_XM_001624701			LOC5503784			NA
Ncol_pos_R3.mLb.clN_peak_4889	NC_064037.1	7539902	7540809	+	3677	NA	promoter-TSS (Nvec_vc1.1_LOC5519712)	-promoter-TSS (Nvec_vc1.1_LOC5519712)	-13	Nvec_vc1.1_LOC5519712	Nvec_vc1.1_LOC5519712	Nvec_vc1.1_XM_001639547			LOC5519712			NA
Ncol_pos_R3.mLb.clN_peak_4337	NC_064036.1	20209931	20211419	+	3674	NA	exon (Nvec_vc1.1_LOC5505284, exon 1 of 3)	-exon (Nvec_vc1.1_LOC5505284, exon 1 of 3)	138	Nvec_vc1.1_LOC5505284	Nvec_vc1.1_LOC5505284	Nvec_vc1.1_XM_032373715			LOC5505284			NA
Ncol_pos_R3.mLb.clN_peak_894	NC_064034.1	13195873	13196968	+	3665	NA	promoter-TSS (Nvec_vc1.1_LOC5515874)	-promoter-TSS (Nvec_vc1.1_LOC5515874)	252	Nvec_vc1.1_LOC5515873	Nvec_vc1.1_LOC5515873	Nvec_vc1.1_XM_048730849			LOC5515873			NA
Ncol_pos_R3.mLb.clN_peak_6290	NC_064038.1	11455843	11456684	+	3662	NA	promoter-TSS (Nvec_vc1.1_LOC5517698)	-promoter-TSS (Nvec_vc1.1_LOC5517698)	11	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_XM_048728259			LOC5517633			NA
Ncol_pos_R3.mLb.clN_peak_938	NC_064034.1	13744923	13745743	+	3649	NA	promoter-TSS (Nvec_vc1.1_LOC5515850)	-promoter-TSS (Nvec_vc1.1_LOC5515850)	98	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_XM_001635904			LOC5515850			NA
Ncol_pos_R3.mLb.clN_peak_12778	NC_064044.1	15748856	15749880	+	3638	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-117	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Ncol_pos_R3.mLb.clN_peak_5413	NC_064037.1	15385430	15386182	+	3631	NA	promoter-TSS (Nvec_vc1.1_LOC116620204)	-promoter-TSS (Nvec_vc1.1_LOC116620204)	-95	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Ncol_pos_R3.mLb.clN_peak_1376	NC_064034.1	21479001	21479994	+	3627	NA	promoter-TSS (Nvec_vc1.1_LOC5518300)	-promoter-TSS (Nvec_vc1.1_LOC5518300)	-1	Nvec_vc1.1_LOC5518300	Nvec_vc1.1_LOC5518300	Nvec_vc1.1_XM_032362911			LOC5518300			NA
Ncol_pos_R3.mLb.clN_peak_5203	NC_064037.1	12220778	12221809	+	3615	NA	promoter-TSS (Nvec_vc1.1_LOC5516649)	-promoter-TSS (Nvec_vc1.1_LOC5516649)	-50	Nvec_vc1.1_LOC5516649	Nvec_vc1.1_LOC5516649	Nvec_vc1.1_XM_001636595			LOC5516649			NA
Ncol_pos_R3.mLb.clN_peak_14303	NC_064046.1	9299090	9299587	+	3615	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	29	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_XM_001638492			LOC5518590			NA
Ncol_pos_R3.mLb.clN_peak_9553	NC_064041.1	11493743	11494524	+	3615	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	13	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Ncol_pos_R3.mLb.clN_peak_9800	NC_064041.1	16002643	16003949	+	3598	NA	promoter-TSS (Nvec_vc1.1_LOC116613156)	-promoter-TSS (Nvec_vc1.1_LOC116613156)	-450	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_XM_032373797			LOC116613156			NA
Ncol_pos_R3.mLb.clN_peak_11174	NC_064043.1	5570414	5571601	+	3592	NA	promoter-TSS (Nvec_v1g79705)	-promoter-TSS (Nvec_v1g79705)	-102	Nvec_v1g79705	Nvec_v1g79705	Nvec_v1g79705						NA
Ncol_pos_R3.mLb.clN_peak_12885	NC_064045.1	2243480	2244583	+	3566	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	355	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Ncol_pos_R3.mLb.clN_peak_4910	NC_064037.1	7753452	7754062	+	3564	NA	promoter-TSS (Nvec_vc1.1_LOC5519634)	-promoter-TSS (Nvec_vc1.1_LOC5519634)	-138	Nvec_vc1.1_LOC5519634	Nvec_vc1.1_LOC5519634	Nvec_vc1.1_XM_032364464			LOC5519634			NA
Ncol_pos_R3.mLb.clN_peak_5270	NC_064037.1	13354769	13355753	+	3561	NA	promoter-TSS (Nvec_vc1.1_LOC5511049)	-promoter-TSS (Nvec_vc1.1_LOC5511049)	106	Nvec_vc1.1_LOC125556776	Nvec_vc1.1_LOC125556776	Nvec_vc1.1_XM_048726936			LOC125556776			NA
Ncol_pos_R3.mLb.clN_peak_12787	NC_064044.1	15884689	15886148	+	3545	NA	promoter-TSS (Nvec_vc1.1_LOC116612344)	-promoter-TSS (Nvec_vc1.1_LOC116612344)	-450	Nvec_vc1.1_LOC116612344	Nvec_vc1.1_LOC116612344	Nvec_vc1.1_XM_032372987			LOC116612344			NA
Ncol_pos_R3.mLb.clN_peak_15573	NC_064048.1	3457069	3458094	+	3542	NA	promoter-TSS (Nvec_vc1.1_LOC5515620)	-promoter-TSS (Nvec_vc1.1_LOC5515620)	-57	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_XM_032385387			LOC5515607			NA
Ncol_pos_R3.mLb.clN_peak_6004	NC_064038.1	7128306	7129162	+	3535	NA	promoter-TSS (Nvec_vc1.1_LOC5503429)	-promoter-TSS (Nvec_vc1.1_LOC5503429)	-107	Nvec_vc1.1_LOC5503429	Nvec_vc1.1_LOC5503429	Nvec_vc1.1_XM_001624453			LOC5503429			NA
Ncol_pos_R3.mLb.clN_peak_14833	NC_064047.1	3099903	3100739	+	3532	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	162	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Ncol_pos_R3.mLb.clN_peak_13743	NC_064046.1	748766	749945	+	3523	NA	promoter-TSS (Nvec_vc1.1_LOC5521605)	-promoter-TSS (Nvec_vc1.1_LOC5521605)	-171	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_XM_001641219			LOC5521605			NA
Ncol_pos_R3.mLb.clN_peak_7111	NC_064039.1	7087749	7088546	+	3512	NA	promoter-TSS (Nvec_vc1.1_LOC5515022)	-promoter-TSS (Nvec_vc1.1_LOC5515022)	-55	Nvec_vc1.1_LOC5515022	Nvec_vc1.1_LOC5515022	Nvec_vc1.1_XM_001635120			LOC5515022			NA
Ncol_pos_R3.mLb.clN_peak_9001	NC_064041.1	819002	819802	+	3482	NA	promoter-TSS (Nvec_vc1.1_LOC5508386)	-promoter-TSS (Nvec_vc1.1_LOC5508386)	-63	Nvec_vc1.1_LOC5508386	Nvec_vc1.1_LOC5508386	Nvec_vc1.1_XM_001628947			LOC5508386			NA
Ncol_pos_R3.mLb.clN_peak_11793	NC_064043.1	13729876	13731571	+	3461	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	295	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_XM_032375196			LOC5506748			NA
Ncol_pos_R3.mLb.clN_peak_9241	NC_064041.1	5534023	5534682	+	3444	NA	promoter-TSS (Nvec_vc1.1_LOC5504492)	-promoter-TSS (Nvec_vc1.1_LOC5504492)	-13	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_XM_001625350			LOC5504492			NA
Ncol_pos_R3.mLb.clN_peak_8737	NC_064040.1	13961008	13961712	+	3442	NA	promoter-TSS (Nvec_vc1.1_LOC5507861)	-promoter-TSS (Nvec_vc1.1_LOC5507861)	-71	Nvec_vc1.1_LOC5507875	Nvec_vc1.1_LOC5507875	Nvec_vc1.1_XM_032376626			LOC5507875			NA
Ncol_pos_R3.mLb.clN_peak_11704	NC_064043.1	12644468	12645614	+	3416	NA	promoter-TSS (Nvec_vc1.1_LOC5512517)	-promoter-TSS (Nvec_vc1.1_LOC5512517)	-161	Nvec_vc1.1_LOC5512517	Nvec_vc1.1_LOC5512517	Nvec_vc1.1_XM_001632792			LOC5512517			NA
Ncol_pos_R3.mLb.clN_peak_5928	NC_064038.1	5917814	5918716	+	3411	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-184	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Ncol_pos_R3.mLb.clN_peak_5429	NC_064037.1	15570691	15571345	+	3410	NA	promoter-TSS (Nvec_vc1.1_LOC5516080)	-promoter-TSS (Nvec_vc1.1_LOC5516080)	-71	Nvec_vc1.1_LOC5516080	Nvec_vc1.1_LOC5516080	Nvec_vc1.1_XM_048726886			LOC5516080			NA
Ncol_pos_R3.mLb.clN_peak_9248	NC_064041.1	5589754	5591402	+	3407	NA	exon (Nvec_vc1.1_LOC5506152, exon 1 of 1)	-exon (Nvec_vc1.1_LOC5506152, exon 1 of 1)	137	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Ncol_pos_R3.mLb.clN_peak_15124	NC_064047.1	8514709	8516484	+	3403	NA	promoter-TSS (Nvec_vc1.1_LOC5510441)	-promoter-TSS (Nvec_vc1.1_LOC5510441)	-236	Nvec_vc1.1_LOC5510441	Nvec_vc1.1_LOC5510441	Nvec_vc1.1_XM_001630867			LOC5510441			NA
Ncol_pos_R3.mLb.clN_peak_13398	NC_064045.1	10796227	10797129	+	3402	NA	promoter-TSS (Nvec_vc1.1_LOC5506102)	-promoter-TSS (Nvec_vc1.1_LOC5506102)	-185	Nvec_vc1.1_LOC5506093	Nvec_vc1.1_LOC5506093	Nvec_vc1.1_XM_048719406			LOC5506093			NA
Ncol_pos_R3.mLb.clN_peak_12400	NC_064044.1	8748856	8749622	+	3394	NA	promoter-TSS (Nvec_vc1.1_LOC5508651)	-promoter-TSS (Nvec_vc1.1_LOC5508651)	-19	Nvec_vc1.1_LOC5508662	Nvec_vc1.1_LOC5508662	Nvec_vc1.1_XM_032377439			LOC5508662			NA
Ncol_pos_R3.mLb.clN_peak_11329	NC_064043.1	7708999	7710674	+	3393	NA	promoter-TSS (Nvec_vc1.1_LOC116604588)	-promoter-TSS (Nvec_vc1.1_LOC116604588)	-830	Nvec_vc1.1_LOC116604588	Nvec_vc1.1_LOC116604588	Nvec_vc1.1_XM_032367146			LOC116604588			NA
Ncol_pos_R3.mLb.clN_peak_271	NC_064034.1	4429802	4430966	+	3391	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	156	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Ncol_pos_R3.mLb.clN_peak_13794	NC_064046.1	1432272	1433264	+	3382	NA	promoter-TSS (Nvec_vc1.1_LOC5505173)	-promoter-TSS (Nvec_vc1.1_LOC5505173)	-45	Nvec_vc1.1_LOC5505148	Nvec_vc1.1_LOC5505148	Nvec_vc1.1_XM_048720585			LOC5505148			NA
Ncol_pos_R3.mLb.clN_peak_5682	NC_064038.1	1050989	1052619	+	3378	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-449	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Ncol_pos_R3.mLb.clN_peak_3294	NC_064036.1	4827701	4828876	+	3378	NA	promoter-TSS (Nvec_v1g207342)	-promoter-TSS (Nvec_v1g207342)	48	Nvec_v1g207342	Nvec_v1g207342	Nvec_v1g207342						NA
Ncol_pos_R3.mLb.clN_peak_14001	NC_064046.1	4139770	4140508	+	3378	NA	promoter-TSS (Nvec_vc1.1_LOC116618186)	-promoter-TSS (Nvec_vc1.1_LOC116618186)	-100	Nvec_vc1.1_LOC116618196	Nvec_vc1.1_LOC116618196	Nvec_vc1.1_XM_048720740			LOC116618196			NA
Ncol_pos_R3.mLb.clN_peak_5417	NC_064037.1	15424323	15425286	+	3376	NA	promoter-TSS (Nvec_vc1.1_LOC5516100)	-promoter-TSS (Nvec_vc1.1_LOC5516100)	-57	Nvec_vc1.1_LOC5516100	Nvec_vc1.1_LOC5516100	Nvec_vc1.1_XM_001636179			LOC5516100			NA
