PeakID (cmd=annotatePeaks.pl Fox_neg_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_neg_R2.mLb.clN_peak_10367	NC_064042.1	8767343	8768643	+	1543	NA	promoter-TSS (Nvec_vc1.1_LOC5515391)	-promoter-TSS (Nvec_vc1.1_LOC5515391)	-361	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_XM_032385153			LOC5515391			NA
Fox_neg_R2.mLb.clN_peak_15631	NC_064048.1	5214686	5215779	+	1533	NA	exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	-exon (Nvec_vc1.1_LOC5522216, exon 1 of 3)	178	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_LOC5522216	Nvec_vc1.1_XM_001642047			LOC5522216			NA
Fox_neg_R2.mLb.clN_peak_943	NC_064034.1	15804187	15805564	+	1523	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	72	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Fox_neg_R2.mLb.clN_peak_6086	NC_064038.1	10262479	10263177	+	1519	NA	promoter-TSS (Nvec_vc1.1_LOC5505624)	-promoter-TSS (Nvec_vc1.1_LOC5505624)	-63	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_XM_001626339			LOC5505624			NA
Fox_neg_R2.mLb.clN_peak_15315	NC_064047.1	14966941	14967768	+	1509	NA	Intergenic	Intergenic	-20343	Nvec_v1g132656	Nvec_v1g132656	Nvec_v1g132656						NA
Fox_neg_R2.mLb.clN_peak_10450	NC_064042.1	10108932	10109428	+	1499	NA	promoter-TSS (Nvec_vc1.1_LOC5503823)	-promoter-TSS (Nvec_vc1.1_LOC5503823)	63	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_XM_001624711			LOC5503823			NA
Fox_neg_R2.mLb.clN_peak_5559	NC_064038.1	1050965	1052394	+	1494	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-324	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Fox_neg_R2.mLb.clN_peak_5817	NC_064038.1	5917822	5918701	+	1490	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-180	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Fox_neg_R2.mLb.clN_peak_9844	NC_064042.1	539173	540123	+	1489	NA	TTS (Nvec_vc1.1_LOC116613114)	-TTS (Nvec_vc1.1_LOC116613114)	113	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_XM_048732633			LOC5505333			NA
Fox_neg_R2.mLb.clN_peak_2744	NC_064035.1	20683895	20684567	+	1462	NA	promoter-TSS (Nvec_vc1.1_LOC5504110)	-promoter-TSS (Nvec_vc1.1_LOC5504110)	-58	Nvec_vc1.1_LOC5504109	Nvec_vc1.1_LOC5504109	Nvec_vc1.1_XM_001624988			LOC5504109			NA
Fox_neg_R2.mLb.clN_peak_5900	NC_064038.1	7128378	7129217	+	1457	NA	promoter-TSS (Nvec_vc1.1_LOC5503429)	-promoter-TSS (Nvec_vc1.1_LOC5503429)	-170	Nvec_vc1.1_LOC5503429	Nvec_vc1.1_LOC5503429	Nvec_vc1.1_XM_001624453			LOC5503429			NA
Fox_neg_R2.mLb.clN_peak_15511	NC_064048.1	3322798	3323393	+	1457	NA	promoter-TSS (Nvec_vc1.1_LOC5512692)	-promoter-TSS (Nvec_vc1.1_LOC5512692)	-66	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_XM_048722676			LOC5512717			NA
Fox_neg_R2.mLb.clN_peak_13368	NC_064045.1	10373164	10373648	+	1442	NA	promoter-TSS (Nvec_vc1.1_LOC5500874)	-promoter-TSS (Nvec_vc1.1_LOC5500874)	106	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Fox_neg_R2.mLb.clN_peak_915	NC_064034.1	15259666	15260296	+	1431	NA	promoter-TSS (Nvec_vc1.1_LOC116614105)	-promoter-TSS (Nvec_vc1.1_LOC116614105)	-260	Nvec_vc1.1_LOC116614105	Nvec_vc1.1_LOC116614105	Nvec_vc1.1_XM_032374702			LOC116614105			NA
Fox_neg_R2.mLb.clN_peak_11299	NC_064043.1	7574708	7575945	+	1410	NA	promoter-TSS (Nvec_vc1.1_LOC5521910)	-promoter-TSS (Nvec_vc1.1_LOC5521910)	-333	Nvec_vc1.1_LOC5521910	Nvec_vc1.1_LOC5521910	Nvec_vc1.1_XM_001641744			LOC5521910			NA
Fox_neg_R2.mLb.clN_peak_3943	NC_064036.1	16214086	16215203	+	1405	NA	promoter-TSS (Nvec_vc1.1_LOC5507165)	-promoter-TSS (Nvec_vc1.1_LOC5507165)	-136	Nvec_vc1.1_LOC5507165	Nvec_vc1.1_LOC5507165	Nvec_vc1.1_XM_001627792			LOC5507165			NA
Fox_neg_R2.mLb.clN_peak_9038	NC_064041.1	3699901	3700754	+	1397	NA	promoter-TSS (Nvec_vc1.1_LOC5501359)	-promoter-TSS (Nvec_vc1.1_LOC5501359)	14	Nvec_vc1.1_LOC5501359	Nvec_vc1.1_LOC5501359	Nvec_vc1.1_XM_001622605			LOC5501359			NA
Fox_neg_R2.mLb.clN_peak_10814	NC_064042.1	15911848	15912527	+	1387	NA	intron (Nvec_vc1.1_LOC5502910, intron 1 of 9)	-intron (Nvec_vc1.1_LOC5502910, intron 1 of 9)	6780	Nvec_vc1.1_LOC5502910	Nvec_vc1.1_LOC5502910	Nvec_vc1.1_XM_048732635			LOC5502910			NA
Fox_neg_R2.mLb.clN_peak_8588	NC_064040.1	13960996	13961675	+	1386	NA	promoter-TSS (Nvec_vc1.1_LOC5507861)	-promoter-TSS (Nvec_vc1.1_LOC5507861)	-64	Nvec_vc1.1_LOC5507861	Nvec_vc1.1_LOC5507861	Nvec_vc1.1_XM_001628443			LOC5507861			NA
Fox_neg_R2.mLb.clN_peak_5793	NC_064038.1	5618775	5619470	+	1374	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-42	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Fox_neg_R2.mLb.clN_peak_9049	NC_064041.1	3922166	3922837	+	1374	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-49	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_XM_032371111			LOC5502795			NA
Fox_neg_R2.mLb.clN_peak_13726	NC_064046.1	748807	749601	+	1374	NA	promoter-TSS (Nvec_vc1.1_LOC5521605)	-promoter-TSS (Nvec_vc1.1_LOC5521605)	-322	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_XM_001641219			LOC5521605			NA
Fox_neg_R2.mLb.clN_peak_5999	NC_064038.1	8882387	8882876	+	1372	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	22	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Fox_neg_R2.mLb.clN_peak_6295	NC_064038.1	13813385	13813845	+	1367	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	43	Nvec_vc1.1_LOC5513967	Nvec_vc1.1_LOC5513967	Nvec_vc1.1_XM_032383522			LOC5513967			NA
Fox_neg_R2.mLb.clN_peak_5611	NC_064038.1	2989562	2991153	+	1363	NA	intron (Nvec_vc1.1_LOC5503591, intron 1 of 3)	-intron (Nvec_vc1.1_LOC5503591, intron 1 of 3)	320	Nvec_vc1.1_LOC5503591	Nvec_vc1.1_LOC5503591	Nvec_vc1.1_XM_032371886			LOC5503591			NA
Fox_neg_R2.mLb.clN_peak_6177	NC_064038.1	11456044	11456380	+	1362	NA	promoter-TSS (Nvec_vc1.1_LOC5517698)	-promoter-TSS (Nvec_vc1.1_LOC5517698)	-40	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_XM_048728259			LOC5517633			NA
Fox_neg_R2.mLb.clN_peak_9159	NC_064041.1	5590064	5591701	+	1349	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	-167	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Fox_neg_R2.mLb.clN_peak_12779	NC_064044.1	15884696	15885552	+	1346	NA	promoter-TSS (Nvec_vc1.1_LOC116612344)	-promoter-TSS (Nvec_vc1.1_LOC116612344)	-156	Nvec_vc1.1_LOC116612344	Nvec_vc1.1_LOC116612344	Nvec_vc1.1_XM_032372987			LOC116612344			NA
Fox_neg_R2.mLb.clN_peak_2734	NC_064035.1	20363951	20364675	+	1343	NA	exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	306	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_XM_032369437			LOC5501073			NA
Fox_neg_R2.mLb.clN_peak_6973	NC_064039.1	5905001	5906138	+	1342	NA	promoter-TSS (Nvec_vc1.1_LOC5521556)	-promoter-TSS (Nvec_vc1.1_LOC5521556)	-488	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_XM_001641165			LOC5521556			NA
Fox_neg_R2.mLb.clN_peak_5685	NC_064038.1	3975960	3977334	+	1341	NA	exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	547	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_XM_001637706			LOC5517820			NA
Fox_neg_R2.mLb.clN_peak_491	NC_064034.1	7983939	7984819	+	1333	NA	promoter-TSS (Nvec_vc1.1_LOC5499056)	-promoter-TSS (Nvec_vc1.1_LOC5499056)	-214	Nvec_vc1.1_LOC5499056	Nvec_vc1.1_LOC5499056	Nvec_vc1.1_XM_032367802			LOC5499056			NA
Fox_neg_R2.mLb.clN_peak_14709	NC_064047.1	2994330	2995163	+	1329	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	-84	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Fox_neg_R2.mLb.clN_peak_6110	NC_064038.1	10562289	10563526	+	1325	NA	Intergenic	Intergenic	-1439	Nvec_vc1.1_LOC116601390	Nvec_vc1.1_LOC116601390	Nvec_vc1.1_XM_048727451			LOC116601390			NA
Fox_neg_R2.mLb.clN_peak_5919	NC_064038.1	7538063	7538473	+	1324	NA	promoter-TSS (Nvec_vc1.1_LOC5502057)	-promoter-TSS (Nvec_vc1.1_LOC5502057)	-5	Nvec_vc1.1_LOC5502057	Nvec_vc1.1_LOC5502057	Nvec_vc1.1_XM_032370338			LOC5502057			NA
Fox_neg_R2.mLb.clN_peak_14076	NC_064046.1	6531404	6531854	+	1324	NA	exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	253	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_XM_001637985			LOC5518008			NA
Fox_neg_R2.mLb.clN_peak_8834	NC_064041.1	572741	573675	+	1317	NA	promoter-TSS (Nvec_vc1.1_LOC5514134)	-promoter-TSS (Nvec_vc1.1_LOC5514134)	-181	Nvec_vc1.1_LOC5514116	Nvec_vc1.1_LOC5514116	Nvec_vc1.1_XM_032383724			LOC5514116			NA
Fox_neg_R2.mLb.clN_peak_588	NC_064034.1	9484791	9485366	+	1307	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	-32	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Fox_neg_R2.mLb.clN_peak_11217	NC_064043.1	6228390	6229228	+	1307	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-182	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Fox_neg_R2.mLb.clN_peak_9815	NC_064042.1	147640	148675	+	1304	NA	promoter-TSS (Nvec_vc1.1_LOC5501687)	-promoter-TSS (Nvec_vc1.1_LOC5501687)	-87	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_XM_032369983			LOC5501687			NA
Fox_neg_R2.mLb.clN_peak_6255	NC_064038.1	12931665	12932300	+	1301	NA	promoter-TSS (Nvec_vc1.1_LOC116614840)	-promoter-TSS (Nvec_vc1.1_LOC116614840)	-225	Nvec_vc1.1_LOC116614840	Nvec_vc1.1_LOC116614840	Nvec_vc1.1_XM_048727784			LOC116614840			NA
Fox_neg_R2.mLb.clN_peak_6892	NC_064039.1	4721090	4722549	+	1301	NA	promoter-TSS (Nvec_vc1.1_LOC5521395)	-promoter-TSS (Nvec_vc1.1_LOC5521395)	-469	Nvec_vc1.1_LOC5521395	Nvec_vc1.1_LOC5521395	Nvec_vc1.1_XM_032366627			LOC5521395			NA
Fox_neg_R2.mLb.clN_peak_9802	NC_064041.1	16500583	16501621	+	1300	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-89	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
