PeakID (cmd=annotatePeaks.pl Ncol_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Ncol_pos_R1.mLb.clN_peak_2034	NC_064035.1	13500120	13500968	+	3550	NA	promoter-TSS (Nvec_vc1.1_LOC5521777)	-promoter-TSS (Nvec_vc1.1_LOC5521777)	-210	Nvec_vc1.1_LOC116604507	Nvec_vc1.1_LOC116604507	Nvec_vc1.1_XM_032366987			LOC116604507			NA
Ncol_pos_R1.mLb.clN_peak_12977	NC_064047.1	2994145	2995114	+	3515	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	33	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Ncol_pos_R1.mLb.clN_peak_13670	NC_064048.1	3457072	3458094	+	3505	NA	promoter-TSS (Nvec_vc1.1_LOC5515620)	-promoter-TSS (Nvec_vc1.1_LOC5515620)	-55	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_XM_032385387			LOC5515607			NA
Ncol_pos_R1.mLb.clN_peak_861	NC_064034.1	15804037	15805524	+	3501	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	-23	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Ncol_pos_R1.mLb.clN_peak_7945	NC_064041.1	3922205	3922878	+	3456	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-78	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_XM_001623893			LOC5502798			NA
Ncol_pos_R1.mLb.clN_peak_3355	NC_064036.1	12910349	12911520	+	3452	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-218	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Ncol_pos_R1.mLb.clN_peak_4529	NC_064037.1	12220617	12221809	+	3448	NA	promoter-TSS (Nvec_vc1.1_LOC5516649)	-promoter-TSS (Nvec_vc1.1_LOC5516649)	-22	Nvec_vc1.1_LOC5516593	Nvec_vc1.1_LOC5516593	Nvec_vc1.1_XM_001636658			LOC5516593			NA
Ncol_pos_R1.mLb.clN_peak_11548	NC_064045.1	7269102	7270196	+	3445	NA	promoter-TSS (Nvec_vc1.1_LOC116611673)	-promoter-TSS (Nvec_vc1.1_LOC116611673)	-18	Nvec_vc1.1_LOC116611673	Nvec_vc1.1_LOC116611673	Nvec_vc1.1_XM_032372114			LOC116611673			NA
Ncol_pos_R1.mLb.clN_peak_7598	NC_064040.1	13960988	13961845	+	3444	NA	promoter-TSS (Nvec_vc1.1_LOC5507861)	-promoter-TSS (Nvec_vc1.1_LOC5507861)	-15	Nvec_vc1.1_LOC5507875	Nvec_vc1.1_LOC5507875	Nvec_vc1.1_XM_032376626			LOC5507875			NA
Ncol_pos_R1.mLb.clN_peak_1044	NC_064034.1	19017367	19018275	+	3436	NA	promoter-TSS (Nvec_vc1.1_LOC5512307)	-promoter-TSS (Nvec_vc1.1_LOC5512307)	140	Nvec_vc1.1_LOC5512306	Nvec_vc1.1_LOC5512306	Nvec_vc1.1_XM_001632619			LOC5512306			NA
Ncol_pos_R1.mLb.clN_peak_5391	NC_064038.1	10262477	10263178	+	3407	NA	promoter-TSS (Nvec_vc1.1_LOC5505624)	-promoter-TSS (Nvec_vc1.1_LOC5505624)	-62	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_XM_001626339			LOC5505624			NA
Ncol_pos_R1.mLb.clN_peak_4593	NC_064037.1	13354933	13355762	+	3401	NA	promoter-TSS (Nvec_vc1.1_LOC5511049)	-promoter-TSS (Nvec_vc1.1_LOC5511049)	20	Nvec_vc1.1_LOC125556776	Nvec_vc1.1_LOC125556776	Nvec_vc1.1_XM_048726936			LOC125556776			NA
Ncol_pos_R1.mLb.clN_peak_10407	NC_064043.1	15706284	15706770	+	3376	NA	promoter-TSS (Nvec_vc1.1_LOC5512210)	-promoter-TSS (Nvec_vc1.1_LOC5512210)	-158	Nvec_vc1.1_LOC5512216	Nvec_vc1.1_LOC5512216	Nvec_vc1.1_XM_048733187			LOC5512216			NA
Ncol_pos_R1.mLb.clN_peak_9729	NC_064043.1	4969792	4970641	+	3373	NA	promoter-TSS (Nvec_vc1.1_LOC5506075)	-promoter-TSS (Nvec_vc1.1_LOC5506075)	18	Nvec_vc1.1_LOC5506072	Nvec_vc1.1_LOC5506072	Nvec_vc1.1_XM_032374401			LOC5506072			NA
Ncol_pos_R1.mLb.clN_peak_13621	NC_064048.1	2444053	2444797	+	3368	NA	promoter-TSS (Nvec_vc1.1_LOC5510785)	-promoter-TSS (Nvec_vc1.1_LOC5510785)	46	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_LOC5510785	Nvec_vc1.1_XM_048722641			LOC5510785			NA
Ncol_pos_R1.mLb.clN_peak_7318	NC_064040.1	9448737	9449869	+	3367	NA	promoter-TSS (Nvec_vc1.1_LOC5504170)	-promoter-TSS (Nvec_vc1.1_LOC5504170)	-143	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_XM_001625048			LOC5504170			NA
Ncol_pos_R1.mLb.clN_peak_4299	NC_064037.1	8018087	8019264	+	3357	NA	promoter-TSS (Nvec_vc1.1_LOC5519648)	-promoter-TSS (Nvec_vc1.1_LOC5519648)	-329	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_LOC5519648	Nvec_vc1.1_XM_001639477			LOC5519648			NA
Ncol_pos_R1.mLb.clN_peak_5133	NC_064038.1	5618786	5619477	+	3342	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-51	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Ncol_pos_R1.mLb.clN_peak_12935	NC_064047.1	2336309	2337308	+	3334	NA	exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	-exon (Nvec_vc1.1_LOC125559768, exon 2 of 2)	6933	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_LOC125559768	Nvec_vc1.1_XM_048721414			LOC125559768			NA
Ncol_pos_R1.mLb.clN_peak_5218	NC_064038.1	7072387	7073491	+	3328	NA	exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	190	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Ncol_pos_R1.mLb.clN_peak_5428	NC_064038.1	10859144	10860011	+	3300	NA	promoter-TSS (Nvec_vc1.1_LOC5517670)	-promoter-TSS (Nvec_vc1.1_LOC5517670)	-167	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_XM_001637562			LOC5517670			NA
Ncol_pos_R1.mLb.clN_peak_5316	NC_064038.1	8882383	8883080	+	3289	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-78	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Ncol_pos_R1.mLb.clN_peak_9758	NC_064043.1	5570582	5571580	+	3274	NA	promoter-TSS (Nvec_v1g79705)	-promoter-TSS (Nvec_v1g79705)	-28	Nvec_v1g79705	Nvec_v1g79705	Nvec_v1g79705						NA
Ncol_pos_R1.mLb.clN_peak_273	NC_064034.1	5114010	5115144	+	3264	NA	promoter-TSS (Nvec_vc1.1_LOC5510684)	-promoter-TSS (Nvec_vc1.1_LOC5510684)	-111	Nvec_vc1.1_LOC5510684	Nvec_vc1.1_LOC5510684	Nvec_vc1.1_XM_001631060			LOC5510684			NA
Ncol_pos_R1.mLb.clN_peak_11150	NC_064044.1	15748844	15749902	+	3262	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-122	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Ncol_pos_R1.mLb.clN_peak_13569	NC_064048.1	1691963	1693976	+	3199	NA	promoter-TSS (Nvec_vc1.1_LOC5508285)	-promoter-TSS (Nvec_vc1.1_LOC5508285)	420	Nvec_vc1.1_LOC5508275	Nvec_vc1.1_LOC5508275	Nvec_vc1.1_XM_032377067			LOC5508275			NA
Ncol_pos_R1.mLb.clN_peak_12432	NC_064046.1	8125016	8125991	+	3190	NA	promoter-TSS (Nvec_vc1.1_LOC5507044)	-promoter-TSS (Nvec_vc1.1_LOC5507044)	-60	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_XM_001627662			LOC5507044			NA
Ncol_pos_R1.mLb.clN_peak_534	NC_064034.1	9484780	9485527	+	3174	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	-107	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Ncol_pos_R1.mLb.clN_peak_6468	NC_064039.1	11283417	11283948	+	3173	NA	promoter-TSS (Nvec_vc1.1_LOC125567876)	-promoter-TSS (Nvec_vc1.1_LOC125567876)	196	Nvec_vc1.1_LOC116618096	Nvec_vc1.1_LOC116618096	Nvec_vc1.1_XM_048728663			LOC116618096			NA
Ncol_pos_R1.mLb.clN_peak_13868	NC_064048.1	7508945	7509845	+	3173	NA	promoter-TSS (Nvec_vc1.1_LOC5509865)	-promoter-TSS (Nvec_vc1.1_LOC5509865)	-62	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_XM_032378881			LOC5509865			NA
Ncol_pos_R1.mLb.clN_peak_8534	NC_064041.1	16002652	16003805	+	3167	NA	promoter-TSS (Nvec_vc1.1_LOC116613156)	-promoter-TSS (Nvec_vc1.1_LOC116613156)	-382	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_LOC116613156	Nvec_vc1.1_XM_032373797			LOC116613156			NA
Ncol_pos_R1.mLb.clN_peak_800	NC_064034.1	13744756	13745752	+	3157	NA	promoter-TSS (Nvec_vc1.1_LOC5515847)	-promoter-TSS (Nvec_vc1.1_LOC5515847)	177	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_LOC5515850	Nvec_vc1.1_XM_001635904			LOC5515850			NA
Ncol_pos_R1.mLb.clN_peak_1930	NC_064035.1	11815470	11817941	+	3150	NA	promoter-TSS (Nvec_vc1.1_LOC5514023)	-promoter-TSS (Nvec_vc1.1_LOC5514023)	-203	Nvec_vc1.1_LOC5514023	Nvec_vc1.1_LOC5514023	Nvec_vc1.1_XM_032383661			LOC5514023			NA
Ncol_pos_R1.mLb.clN_peak_13292	NC_064047.1	9692310	9693733	+	3148	NA	promoter-TSS (Nvec_vc1.1_LOC5510329)	-promoter-TSS (Nvec_vc1.1_LOC5510329)	46	Nvec_vc1.1_LOC5510329	Nvec_vc1.1_LOC5510329	Nvec_vc1.1_XM_001630732			LOC5510329			NA
Ncol_pos_R1.mLb.clN_peak_3666	NC_064036.1	17702992	17703760	+	3144	NA	promoter-TSS (Nvec_vc1.1_LOC5506531)	-promoter-TSS (Nvec_vc1.1_LOC5506531)	-138	Nvec_vc1.1_LOC5500366	Nvec_vc1.1_LOC5500366	Nvec_vc1.1_XM_048724800			LOC5500366			NA
Ncol_pos_R1.mLb.clN_peak_9367	NC_064042.1	13806930	13807860	+	3139	NA	promoter-TSS (Nvec_vc1.1_LOC5503335)	-promoter-TSS (Nvec_vc1.1_LOC5503335)	-34	Nvec_vc1.1_LOC5503335	Nvec_vc1.1_LOC5503335	Nvec_vc1.1_XM_001624370			LOC5503335			NA
Ncol_pos_R1.mLb.clN_peak_12375	NC_064046.1	6828726	6829561	+	3139	NA	Intergenic	Intergenic	25374	Nvec_vc1.1_LOC116617388	Nvec_vc1.1_LOC116617388	Nvec_vc1.1_XM_048720998			LOC116617388			NA
Ncol_pos_R1.mLb.clN_peak_12234	NC_064046.1	4139624	4140492	+	3134	NA	promoter-TSS (Nvec_vc1.1_LOC116618186)	-promoter-TSS (Nvec_vc1.1_LOC116618186)	-20	Nvec_vc1.1_LOC116618186	Nvec_vc1.1_LOC116618186	Nvec_vc1.1_XM_032381646			LOC116618186			NA
Ncol_pos_R1.mLb.clN_peak_8023	NC_064041.1	5590064	5591403	+	3122	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	-18	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Ncol_pos_R1.mLb.clN_peak_12985	NC_064047.1	3099938	3100728	+	3119	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	174	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Ncol_pos_R1.mLb.clN_peak_12016	NC_064046.1	748744	749943	+	3111	NA	promoter-TSS (Nvec_vc1.1_LOC5521605)	-promoter-TSS (Nvec_vc1.1_LOC5521605)	-183	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_LOC5521605	Nvec_vc1.1_XM_001641219			LOC5521605			NA
Ncol_pos_R1.mLb.clN_peak_3483	NC_064036.1	14911097	14912288	+	3110	NA	Intergenic	Intergenic	-1691	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_XM_032367459			LOC5522175			NA
Ncol_pos_R1.mLb.clN_peak_8311	NC_064041.1	11493743	11494533	+	3103	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	8	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Ncol_pos_R1.mLb.clN_peak_11036	NC_064044.1	12852537	12853554	+	3087	NA	Intergenic	Intergenic	-7014	Nvec_NVE25375	Nvec_NVE25375	Nvec_NVE25375						NA
Ncol_pos_R1.mLb.clN_peak_13449	NC_064047.1	13282998	13284212	+	3044	NA	promoter-TSS (Nvec_vc1.1_LOC5503649)	-promoter-TSS (Nvec_vc1.1_LOC5503649)	-170	Nvec_vc1.1_LOC5503649	Nvec_vc1.1_LOC5503649	Nvec_vc1.1_XM_001624597			LOC5503649			NA
Ncol_pos_R1.mLb.clN_peak_10252	NC_064043.1	13313587	13314423	+	3036	NA	promoter-TSS (Nvec_vc1.1_LOC5512485)	-promoter-TSS (Nvec_vc1.1_LOC5512485)	44	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_LOC5512485	Nvec_vc1.1_XM_032381914			LOC5512485			NA
Ncol_pos_R1.mLb.clN_peak_6353	NC_064039.1	9732347	9733481	+	3032	NA	intron (Nvec_vc1.1_LOC5519794, intron 15 of 22)	-intron (Nvec_vc1.1_LOC5519794, intron 15 of 22)	-7933	Nvec_vc1.1_LOC5519795	Nvec_vc1.1_LOC5519795	Nvec_vc1.1_XM_032364830			LOC5519795			NA
Ncol_pos_R1.mLb.clN_peak_7286	NC_064040.1	8927065	8928322	+	3025	NA	Intergenic	Intergenic	-3634	Nvec_vc1.1_LOC5512968	Nvec_vc1.1_LOC5512968	Nvec_vc1.1_XM_001633221			LOC5512968			NA
Ncol_pos_R1.mLb.clN_peak_3600	NC_064036.1	16545028	16545879	+	3008	NA	intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	-intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	4979	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_XM_001634398			LOC5514224			NA
Ncol_pos_R1.mLb.clN_peak_13335	NC_064047.1	10234479	10235641	+	3000	NA	promoter-TSS (Nvec_vc1.1_LOC5510362)	-promoter-TSS (Nvec_vc1.1_LOC5510362)	-105	Nvec_vc1.1_LOC5510362	Nvec_vc1.1_LOC5510362	Nvec_vc1.1_XM_001630781			LOC5510362			NA
Ncol_pos_R1.mLb.clN_peak_5099	NC_064038.1	4881727	4882517	+	2981	NA	promoter-TSS (Nvec_vc1.1_LOC5509169)	-promoter-TSS (Nvec_vc1.1_LOC5509169)	57	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_LOC5509169	Nvec_vc1.1_XM_032378043			LOC5509169			NA
Ncol_pos_R1.mLb.clN_peak_1538	NC_064035.1	5540206	5540908	+	2973	NA	promoter-TSS (Nvec_NVE10576)	-promoter-TSS (Nvec_NVE10576)	-19	Nvec_NVE10576	Nvec_NVE10576	Nvec_NVE10576						NA
Ncol_pos_R1.mLb.clN_peak_8899	NC_064042.1	5381375	5382328	+	2971	NA	promoter-TSS (Nvec_vc1.1_LOC5504892)	-promoter-TSS (Nvec_vc1.1_LOC5504892)	-26	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_XM_001625714			LOC5504892			NA
