PeakID (cmd=annotatePeaks.pl Elav_pos_R3.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elav_pos_R3.mLb.clN_peak_12386	NC_064043.1	13730568	13731596	+	4243	NA	promoter-TSS (Nvec_vc1.1_LOC5506747)	-promoter-TSS (Nvec_vc1.1_LOC5506747)	-64	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_LOC5506748	Nvec_vc1.1_XM_032375196			LOC5506748			NA
Elav_pos_R3.mLb.clN_peak_4497	NC_064036.1	19615477	19616458	+	4237	NA	promoter-TSS (Nvec_vc1.1_LOC5508990)	-promoter-TSS (Nvec_vc1.1_LOC5508990)	-20	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_XM_001629485			LOC5508990			NA
Elav_pos_R3.mLb.clN_peak_9974	NC_064041.1	12519372	12520816	+	4155	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-300	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Elav_pos_R3.mLb.clN_peak_16367	NC_064048.1	3494900	3495433	+	4090	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-36	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Elav_pos_R3.mLb.clN_peak_10230	NC_064041.1	16369263	16369964	+	4060	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-25	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_XM_001628535			LOC5507945			NA
Elav_pos_R3.mLb.clN_peak_1073	NC_064034.1	15804170	15805558	+	4012	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	61	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Elav_pos_R3.mLb.clN_peak_1270	NC_064034.1	18665918	18667235	+	4011	NA	Intergenic	Intergenic	-11302	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_XM_032381735			LOC116618239			NA
Elav_pos_R3.mLb.clN_peak_6698	NC_064038.1	13813383	13814153	+	4000	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	6	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Elav_pos_R3.mLb.clN_peak_15554	NC_064047.1	3099903	3100905	+	3995	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	245	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Elav_pos_R3.mLb.clN_peak_108	NC_064034.1	2402592	2403689	+	3957	NA	intron (Nvec_NVE8960, intron 1 of 1)	-intron (Nvec_NVE8960, intron 1 of 1)	3890	Nvec_NVE8960	Nvec_NVE8960	Nvec_NVE8960						NA
Elav_pos_R3.mLb.clN_peak_5907	NC_064038.1	1050886	1052222	+	3902	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-199	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Elav_pos_R3.mLb.clN_peak_13605	NC_064045.1	4675343	4676384	+	3880	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-39	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_LOC5509637	Nvec_vc1.1_XM_001630078			LOC5509637			NA
Elav_pos_R3.mLb.clN_peak_7291	NC_064039.1	5144786	5145933	+	3865	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-51	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_XM_048729400			LOC5521407			NA
Elav_pos_R3.mLb.clN_peak_6870	NC_064039.1	145422	147027	+	3855	NA	exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	536	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_XM_032380824			LOC5511474			NA
Elav_pos_R3.mLb.clN_peak_13231	NC_064044.1	12852677	12853434	+	3844	NA	Intergenic	Intergenic	-7024	Nvec_NVE25375	Nvec_NVE25375	Nvec_NVE25375						NA
Elav_pos_R3.mLb.clN_peak_13994	NC_064045.1	10373137	10373810	+	3799	NA	promoter-TSS (Nvec_vc1.1_LOC5498592)	-promoter-TSS (Nvec_vc1.1_LOC5498592)	39	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Elav_pos_R3.mLb.clN_peak_16355	NC_064048.1	3322798	3323501	+	3795	NA	promoter-TSS (Nvec_vc1.1_LOC5512692)	-promoter-TSS (Nvec_vc1.1_LOC5512692)	-119	Nvec_vc1.1_LOC5512692	Nvec_vc1.1_LOC5512692	Nvec_vc1.1_XM_048722436			LOC5512692			NA
Elav_pos_R3.mLb.clN_peak_1732	NC_064035.1	3668891	3669444	+	3795	NA	promoter-TSS (Nvec_vc1.1_LOC5514837)	-promoter-TSS (Nvec_vc1.1_LOC5514837)	-11	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_XM_032384470			LOC5514837			NA
Elav_pos_R3.mLb.clN_peak_6226	NC_064038.1	7072377	7073398	+	3758	NA	exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	138	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Elav_pos_R3.mLb.clN_peak_9502	NC_064041.1	3922205	3922916	+	3737	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-59	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_XM_001623893			LOC5502798			NA
Elav_pos_R3.mLb.clN_peak_9954	NC_064041.1	11493697	11494588	+	3700	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	4	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Elav_pos_R3.mLb.clN_peak_6141	NC_064038.1	5618768	5619487	+	3694	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-47	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Elav_pos_R3.mLb.clN_peak_2969	NC_064035.1	20683697	20684565	+	3688	NA	promoter-TSS (Nvec_vc1.1_LOC5504110)	-promoter-TSS (Nvec_vc1.1_LOC5504110)	15	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_XM_001624980			LOC5504110			NA
Elav_pos_R3.mLb.clN_peak_14037	NC_064045.1	11036094	11037180	+	3688	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-113	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Elav_pos_R3.mLb.clN_peak_6342	NC_064038.1	8882348	8883068	+	3658	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-55	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Elav_pos_R3.mLb.clN_peak_8809	NC_064040.1	9448742	9449865	+	3635	NA	promoter-TSS (Nvec_vc1.1_LOC5504170)	-promoter-TSS (Nvec_vc1.1_LOC5504170)	-143	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_XM_001625048			LOC5504170			NA
Elav_pos_R3.mLb.clN_peak_10248	NC_064041.1	16500573	16501620	+	3594	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-95	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Elav_pos_R3.mLb.clN_peak_6251	NC_064038.1	7538052	7538685	+	3569	NA	promoter-TSS (Nvec_vc1.1_LOC5502057)	-promoter-TSS (Nvec_vc1.1_LOC5502057)	-51	Nvec_vc1.1_LOC5502056	Nvec_vc1.1_LOC5502056	Nvec_vc1.1_XM_048727669			LOC5502056			NA
Elav_pos_R3.mLb.clN_peak_16365	NC_064048.1	3457072	3458096	+	3554	NA	promoter-TSS (Nvec_vc1.1_LOC5515620)	-promoter-TSS (Nvec_vc1.1_LOC5515620)	-54	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_XM_032385387			LOC5515607			NA
Elav_pos_R3.mLb.clN_peak_4257	NC_064036.1	15974532	15975482	+	3553	NA	promoter-TSS (Nvec_vc1.1_LOC5502374)	-promoter-TSS (Nvec_vc1.1_LOC5502374)	-5	Nvec_vc1.1_LOC5502374	Nvec_vc1.1_LOC5502374	Nvec_vc1.1_XM_001623507			LOC5502374			NA
Elav_pos_R3.mLb.clN_peak_10274	NC_064042.1	539156	539994	+	3548	NA	promoter-TSS (Nvec_vc1.1_LOC5505333)	-promoter-TSS (Nvec_vc1.1_LOC5505333)	40	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_XM_048732633			LOC5505333			NA
Elav_pos_R3.mLb.clN_peak_10603	NC_064042.1	5381294	5382158	+	3536	NA	promoter-TSS (Nvec_vc1.1_LOC5504892)	-promoter-TSS (Nvec_vc1.1_LOC5504892)	-113	Nvec_vc1.1_LOC5504899	Nvec_vc1.1_LOC5504899	Nvec_vc1.1_XM_001625731			LOC5504899			NA
Elav_pos_R3.mLb.clN_peak_13348	NC_064044.1	15748795	15749889	+	3532	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-91	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Elav_pos_R3.mLb.clN_peak_651	NC_064034.1	9484615	9485393	+	3531	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	42	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Elav_pos_R3.mLb.clN_peak_14799	NC_064046.1	6531404	6532022	+	3519	NA	exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	337	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_XM_001637985			LOC5518008			NA
Elav_pos_R3.mLb.clN_peak_8088	NC_064039.1	15248194	15249237	+	3513	NA	promoter-TSS (Nvec_vc1.1_LOC5501420)	-promoter-TSS (Nvec_vc1.1_LOC5501420)	-358	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_XM_048728987			LOC5501420			NA
Elav_pos_R3.mLb.clN_peak_13458	NC_064045.1	2243483	2244603	+	3508	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	343	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Elav_pos_R3.mLb.clN_peak_9595	NC_064041.1	5534062	5534653	+	3504	NA	promoter-TSS (Nvec_vc1.1_LOC5504492)	-promoter-TSS (Nvec_vc1.1_LOC5504492)	-8	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_LOC5504492	Nvec_vc1.1_XM_001625350			LOC5504492			NA
Elav_pos_R3.mLb.clN_peak_6603	NC_064038.1	12419115	12420673	+	3442	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-698	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Elav_pos_R3.mLb.clN_peak_9306	NC_064040.1	16920838	16921824	+	3418	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-163	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Elav_pos_R3.mLb.clN_peak_940	NC_064034.1	13178019	13180038	+	3395	NA	exon (Nvec_vc1.1_LOC5515875, exon 6 of 21)	-exon (Nvec_vc1.1_LOC5515875, exon 6 of 21)	9466	Nvec_vc1.1_LOC5515930	Nvec_vc1.1_LOC5515930	Nvec_vc1.1_XM_032385655			LOC5515930			NA
Elav_pos_R3.mLb.clN_peak_1102	NC_064034.1	16285092	16286906	+	3393	NA	promoter-TSS (Nvec_vc1.1_LOC5511120)	-promoter-TSS (Nvec_vc1.1_LOC5511120)	-604	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_XM_001631478			LOC5511120			NA
Elav_pos_R3.mLb.clN_peak_3333	NC_064036.1	4278678	4279273	+	3391	NA	promoter-TSS (Nvec_vc1.1_LOC5512568)	-promoter-TSS (Nvec_vc1.1_LOC5512568)	-192	Nvec_vc1.1_LOC5512568	Nvec_vc1.1_LOC5512568	Nvec_vc1.1_XM_001632846			LOC5512568			NA
Elav_pos_R3.mLb.clN_peak_2951	NC_064035.1	20363923	20364699	+	3385	NA	exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	308	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_XM_032369437			LOC5501073			NA
Elav_pos_R3.mLb.clN_peak_16221	NC_064048.1	1314971	1316125	+	3358	NA	promoter-TSS (Nvec_vc1.1_LOC5500404)	-promoter-TSS (Nvec_vc1.1_LOC5500404)	-105	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_XM_001621809			LOC5500404			NA
Elav_pos_R3.mLb.clN_peak_9359	NC_064041.1	572622	573718	+	3353	NA	promoter-TSS (Nvec_vc1.1_LOC5514134)	-promoter-TSS (Nvec_vc1.1_LOC5514134)	-143	Nvec_vc1.1_LOC5514116	Nvec_vc1.1_LOC5514116	Nvec_vc1.1_XM_032383724			LOC5514116			NA
Elav_pos_R3.mLb.clN_peak_10854	NC_064042.1	8767234	8768586	+	3350	NA	promoter-TSS (Nvec_vc1.1_LOC5515391)	-promoter-TSS (Nvec_vc1.1_LOC5515391)	-278	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_XM_032385153			LOC5515391			NA
Elav_pos_R3.mLb.clN_peak_14790	NC_064046.1	6457885	6458902	+	3346	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-44	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Elav_pos_R3.mLb.clN_peak_9599	NC_064041.1	5590059	5591432	+	3341	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	-30	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Elav_pos_R3.mLb.clN_peak_14974	NC_064046.1	9299089	9299724	+	3323	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	-39	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_XM_001638492			LOC5518590			NA
Elav_pos_R3.mLb.clN_peak_15629	NC_064047.1	4722552	4723315	+	3322	NA	TTS (Nvec_vc1.1_LOC5503466)	-TTS (Nvec_vc1.1_LOC5503466)	360	Nvec_vc1.1_LOC5503459	Nvec_vc1.1_LOC5503459	Nvec_vc1.1_XM_032371826			LOC5503459			NA
Elav_pos_R3.mLb.clN_peak_4272	NC_064036.1	16214045	16215213	+	3306	NA	promoter-TSS (Nvec_vc1.1_LOC5507165)	-promoter-TSS (Nvec_vc1.1_LOC5507165)	-121	Nvec_vc1.1_LOC5507165	Nvec_vc1.1_LOC5507165	Nvec_vc1.1_XM_001627792			LOC5507165			NA
Elav_pos_R3.mLb.clN_peak_14892	NC_064046.1	8125018	8125998	+	3299	NA	promoter-TSS (Nvec_vc1.1_LOC5507044)	-promoter-TSS (Nvec_vc1.1_LOC5507044)	-55	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_LOC5507044	Nvec_vc1.1_XM_001627662			LOC5507044			NA
Elav_pos_R3.mLb.clN_peak_5746	NC_064037.1	16624286	16625373	+	3298	NA	promoter-TSS (Nvec_vc1.1_LOC5513930)	-promoter-TSS (Nvec_vc1.1_LOC5513930)	-104	Nvec_vc1.1_LOC5513946	Nvec_vc1.1_LOC5513946	Nvec_vc1.1_XM_048726361			LOC5513946			NA
Elav_pos_R3.mLb.clN_peak_12832	NC_064044.1	6873537	6874398	+	3287	NA	promoter-TSS (Nvec_vc1.1_LOC5505279)	-promoter-TSS (Nvec_vc1.1_LOC5505279)	-2	Nvec_vc1.1_LOC5505279	Nvec_vc1.1_LOC5505279	Nvec_vc1.1_XM_001626052			LOC5505279			NA
Elav_pos_R3.mLb.clN_peak_1891	NC_064035.1	5767346	5768500	+	3280	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-285	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Elav_pos_R3.mLb.clN_peak_11318	NC_064042.1	15965407	15966559	+	3273	NA	promoter-TSS (Nvec_vc1.1_LOC5502899)	-promoter-TSS (Nvec_vc1.1_LOC5502899)	-129	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_XM_001623988			LOC5502899			NA
Elav_pos_R3.mLb.clN_peak_8761	NC_064040.1	8817106	8817593	+	3270	NA	promoter-TSS (Nvec_vc1.1_LOC116618583)	-promoter-TSS (Nvec_vc1.1_LOC116618583)	-4	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_XM_032382466			LOC116618583			NA
Elav_pos_R3.mLb.clN_peak_13332	NC_064044.1	15442908	15443844	+	3252	NA	exon (Nvec_vc1.1_LOC116614665, exon 4 of 6)	-exon (Nvec_vc1.1_LOC116614665, exon 4 of 6)	14599	Nvec_vc1.1_LOC116614665	Nvec_vc1.1_LOC116614665	Nvec_vc1.1_XM_032375896			LOC116614665			NA
Elav_pos_R3.mLb.clN_peak_12288	NC_064043.1	12561207	12562168	+	3237	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-205	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Elav_pos_R3.mLb.clN_peak_15673	NC_064047.1	5530230	5530982	+	3237	NA	promoter-TSS (Nvec_vc1.1_LOC5513895)	-promoter-TSS (Nvec_vc1.1_LOC5513895)	57	Nvec_vc1.1_LOC5513895	Nvec_vc1.1_LOC5513895	Nvec_vc1.1_XM_048721947			LOC5513895			NA
Elav_pos_R3.mLb.clN_peak_10616	NC_064042.1	5557633	5558968	+	3229	NA	intron (Nvec_vc1.1_LOC5504889, intron 1 of 2)	-intron (Nvec_vc1.1_LOC5504889, intron 1 of 2)	245	Nvec_vc1.1_LOC5504889	Nvec_vc1.1_LOC5504889	Nvec_vc1.1_XM_048732062			LOC5504889			NA
Elav_pos_R3.mLb.clN_peak_6679	NC_064038.1	13547443	13548282	+	3228	NA	exon (Nvec_vc1.1_LOC5503296, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5503296, exon 1 of 9)	141	Nvec_vc1.1_LOC5503296	Nvec_vc1.1_LOC5503296	Nvec_vc1.1_XM_032371643			LOC5503296			NA
Elav_pos_R3.mLb.clN_peak_2542	NC_064035.1	14802189	14803160	+	3214	NA	promoter-TSS (Nvec_vc1.1_LOC5521822)	-promoter-TSS (Nvec_vc1.1_LOC5521822)	0	Nvec_vc1.1_LOC5521822	Nvec_vc1.1_LOC5521822	Nvec_vc1.1_XM_001641453			LOC5521822			NA
Elav_pos_R3.mLb.clN_peak_15838	NC_064047.1	8470700	8471804	+	3202	NA	promoter-TSS (Nvec_vc1.1_LOC5510445)	-promoter-TSS (Nvec_vc1.1_LOC5510445)	-30	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_XM_001630871			LOC5510445			NA
Elav_pos_R3.mLb.clN_peak_6284	NC_064038.1	8116447	8117182	+	3196	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-67	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Elav_pos_R3.mLb.clN_peak_1171	NC_064034.1	17340468	17341344	+	3193	NA	promoter-TSS (Nvec_vc1.1_LOC116614813)	-promoter-TSS (Nvec_vc1.1_LOC116614813)	26	Nvec_vc1.1_LOC116614813	Nvec_vc1.1_LOC116614813	Nvec_vc1.1_XM_048730035			LOC116614813			NA
Elav_pos_R3.mLb.clN_peak_2514	NC_064035.1	14509010	14510128	+	3176	NA	promoter-TSS (Nvec_vc1.1_LOC5521716)	-promoter-TSS (Nvec_vc1.1_LOC5521716)	-90	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_XM_032367051			LOC5521716			NA
