PeakID (cmd=annotatePeaks.pl Fox_pos_R2.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Fox_pos_R2.mLb.clN_peak_15596	NC_064046.1	9299090	9299905	+	5709	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	6	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_LOC5518591	Nvec_vc1.1_XM_001638427			LOC5518591			NA
Fox_pos_R2.mLb.clN_peak_7535	NC_064039.1	5144791	5145935	+	5484	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-55	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_LOC5521407	Nvec_vc1.1_XM_048729400			LOC5521407			NA
Fox_pos_R2.mLb.clN_peak_1118	NC_064034.1	15804180	15805604	+	5448	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	89	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Fox_pos_R2.mLb.clN_peak_17079	NC_064048.1	3494900	3495418	+	5442	NA	promoter-TSS (Nvec_vc1.1_LOC5515613)	-promoter-TSS (Nvec_vc1.1_LOC5515613)	-29	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_LOC5515606	Nvec_vc1.1_XM_001635725			LOC5515606			NA
Fox_pos_R2.mLb.clN_peak_12945	NC_064043.1	15592570	15593448	+	5434	NA	promoter-TSS (Nvec_vc1.1_LOC5512222)	-promoter-TSS (Nvec_vc1.1_LOC5512222)	-17	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_LOC5512222	Nvec_vc1.1_XM_001632516			LOC5512222			NA
Fox_pos_R2.mLb.clN_peak_4171	NC_064036.1	12910367	12911527	+	5404	NA	promoter-TSS (Nvec_vc1.1_LOC5518649)	-promoter-TSS (Nvec_vc1.1_LOC5518649)	-231	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_LOC5518657	Nvec_vc1.1_XM_032363475			LOC5518657			NA
Fox_pos_R2.mLb.clN_peak_1638	NC_064035.1	1249998	1250796	+	5298	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	99	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_XM_001629629			LOC5509139			NA
Fox_pos_R2.mLb.clN_peak_6550	NC_064038.1	8116444	8117172	+	5217	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-61	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Fox_pos_R2.mLb.clN_peak_10311	NC_064041.1	12519713	12520816	+	5200	NA	promoter-TSS (Nvec_vc1.1_LOC5505910)	-promoter-TSS (Nvec_vc1.1_LOC5505910)	-130	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_LOC5505910	Nvec_vc1.1_XM_048731215			LOC5505910			NA
Fox_pos_R2.mLb.clN_peak_4547	NC_064036.1	17653841	17654889	+	5153	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-45	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Fox_pos_R2.mLb.clN_peak_6159	NC_064038.1	1050793	1052181	+	5136	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-132	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Fox_pos_R2.mLb.clN_peak_6933	NC_064038.1	13813385	13814175	+	5127	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	18	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Fox_pos_R2.mLb.clN_peak_14159	NC_064045.1	4675347	4676240	+	5085	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-21	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_XM_048720321			LOC5509656			NA
Fox_pos_R2.mLb.clN_peak_4017	NC_064036.1	11051373	11052496	+	5034	NA	intron (Nvec_vc1.1_LOC5519971, intron 2 of 41)	-intron (Nvec_vc1.1_LOC5519971, intron 2 of 41)	4770	Nvec_vc1.1_LOC5519971	Nvec_vc1.1_LOC5519971	Nvec_vc1.1_XM_048725656			LOC5519971			NA
Fox_pos_R2.mLb.clN_peak_4666	NC_064036.1	19615487	19616479	+	5001	NA	promoter-TSS (Nvec_vc1.1_LOC5508990)	-promoter-TSS (Nvec_vc1.1_LOC5508990)	-36	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_XM_001629485			LOC5508990			NA
Fox_pos_R2.mLb.clN_peak_3086	NC_064035.1	20363930	20364739	+	4999	NA	exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5501073, exon 1 of 2)	285	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_LOC5501073	Nvec_vc1.1_XM_032369437			LOC5501073			NA
Fox_pos_R2.mLb.clN_peak_14554	NC_064045.1	10373152	10373764	+	4955	NA	promoter-TSS (Nvec_vc1.1_LOC5498592)	-promoter-TSS (Nvec_vc1.1_LOC5498592)	54	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Fox_pos_R2.mLb.clN_peak_16224	NC_064047.1	3099904	3100755	+	4930	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	170	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Fox_pos_R2.mLb.clN_peak_11313	NC_064042.1	10108932	10109608	+	4871	NA	promoter-TSS (Nvec_vc1.1_LOC5503823)	-promoter-TSS (Nvec_vc1.1_LOC5503823)	-27	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_XM_001624711			LOC5503823			NA
Fox_pos_R2.mLb.clN_peak_7600	NC_064039.1	5905195	5906145	+	4799	NA	promoter-TSS (Nvec_vc1.1_LOC5521556)	-promoter-TSS (Nvec_vc1.1_LOC5521556)	-387	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_LOC5521556	Nvec_vc1.1_XM_001641165			LOC5521556			NA
Fox_pos_R2.mLb.clN_peak_9844	NC_064041.1	3922157	3922901	+	4790	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-77	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_LOC5502795	Nvec_vc1.1_XM_032371111			LOC5502795			NA
Fox_pos_R2.mLb.clN_peak_7126	NC_064039.1	145427	147014	+	4781	NA	exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	532	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_XM_032380824			LOC5511474			NA
Fox_pos_R2.mLb.clN_peak_6609	NC_064038.1	8882378	8883079	+	4727	NA	promoter-TSS (Nvec_vc1.1_LOC125563010)	-promoter-TSS (Nvec_vc1.1_LOC125563010)	-75	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_LOC125563010	Nvec_vc1.1_XM_048727557			LOC125563010			NA
Fox_pos_R2.mLb.clN_peak_1990	NC_064035.1	5767326	5768481	+	4723	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-265	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Fox_pos_R2.mLb.clN_peak_12703	NC_064043.1	12561344	12562324	+	4722	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-58	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Fox_pos_R2.mLb.clN_peak_14259	NC_064045.1	6065295	6065976	+	4693	NA	promoter-TSS (Nvec_v1g237368)	-promoter-TSS (Nvec_v1g237368)	-38	Nvec_v1g237368	Nvec_v1g237368	Nvec_v1g237368						NA
Fox_pos_R2.mLb.clN_peak_10282	NC_064041.1	11493776	11494536	+	4691	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	-10	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Fox_pos_R2.mLb.clN_peak_11224	NC_064042.1	8767210	8768624	+	4656	NA	promoter-TSS (Nvec_vc1.1_LOC5515391)	-promoter-TSS (Nvec_vc1.1_LOC5515391)	-285	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_XM_032385153			LOC5515391			NA
Fox_pos_R2.mLb.clN_peak_5865	NC_064037.1	15340413	15341167	+	4644	NA	intron (Nvec_vc1.1_LOC5502244, intron 1 of 6)	-intron (Nvec_vc1.1_LOC5502244, intron 1 of 6)	143	Nvec_vc1.1_LOC5502244	Nvec_vc1.1_LOC5502244	Nvec_vc1.1_XM_048726597			LOC5502244			NA
Fox_pos_R2.mLb.clN_peak_1818	NC_064035.1	3668886	3669445	+	4619	NA	promoter-TSS (Nvec_vc1.1_LOC5514837)	-promoter-TSS (Nvec_vc1.1_LOC5514837)	-9	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_XM_032384470			LOC5514837			NA
Fox_pos_R2.mLb.clN_peak_10563	NC_064041.1	16369263	16369932	+	4606	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-41	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_XM_001628535			LOC5507945			NA
Fox_pos_R2.mLb.clN_peak_10576	NC_064041.1	16500439	16501599	+	4603	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-172	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Fox_pos_R2.mLb.clN_peak_2656	NC_064035.1	14802174	14803174	+	4579	NA	promoter-TSS (Nvec_vc1.1_LOC5521822)	-promoter-TSS (Nvec_vc1.1_LOC5521822)	0	Nvec_vc1.1_LOC5521822	Nvec_vc1.1_LOC5521822	Nvec_vc1.1_XM_001641453			LOC5521822			NA
Fox_pos_R2.mLb.clN_peak_4461	NC_064036.1	16545128	16545865	+	4558	NA	intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	-intron (Nvec_vc1.1_LOC5514224, intron 6 of 13)	4936	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_LOC5514224	Nvec_vc1.1_XM_001634398			LOC5514224			NA
Fox_pos_R2.mLb.clN_peak_13864	NC_064044.1	15748798	15749902	+	4470	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	-99	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Fox_pos_R2.mLb.clN_peak_15416	NC_064046.1	6457903	6458920	+	4468	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-62	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Fox_pos_R2.mLb.clN_peak_3106	NC_064035.1	20683692	20684565	+	4468	NA	promoter-TSS (Nvec_vc1.1_LOC5504110)	-promoter-TSS (Nvec_vc1.1_LOC5504110)	18	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_XM_001624980			LOC5504110			NA
Fox_pos_R2.mLb.clN_peak_1148	NC_064034.1	16285100	16286261	+	4453	NA	promoter-TSS (Nvec_vc1.1_LOC5511120)	-promoter-TSS (Nvec_vc1.1_LOC5511120)	-285	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_XM_001631478			LOC5511120			NA
Fox_pos_R2.mLb.clN_peak_17359	NC_064048.1	7509082	7510005	+	4449	NA	promoter-TSS (Nvec_vc1.1_LOC5509865)	-promoter-TSS (Nvec_vc1.1_LOC5509865)	-210	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_LOC5509865	Nvec_vc1.1_XM_032378881			LOC5509865			NA
Fox_pos_R2.mLb.clN_peak_17065	NC_064048.1	3322787	3323492	+	4445	NA	promoter-TSS (Nvec_vc1.1_LOC5512692)	-promoter-TSS (Nvec_vc1.1_LOC5512692)	-110	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_XM_048722676			LOC5512717			NA
Fox_pos_R2.mLb.clN_peak_6494	NC_064038.1	7072405	7073307	+	4428	NA	exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5503436, exon 1 of 2)	107	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Fox_pos_R2.mLb.clN_peak_10616	NC_064042.1	539156	540160	+	4417	NA	TTS (Nvec_vc1.1_LOC116613114)	-TTS (Nvec_vc1.1_LOC116613114)	123	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_XM_048732633			LOC5505333			NA
Fox_pos_R2.mLb.clN_peak_12209	NC_064043.1	6228356	6229229	+	4378	NA	promoter-TSS (Nvec_vc1.1_LOC5522085)	-promoter-TSS (Nvec_vc1.1_LOC5522085)	-199	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_LOC5521970	Nvec_vc1.1_XM_001641800			LOC5521970			NA
Fox_pos_R2.mLb.clN_peak_15051	NC_064046.1	1587954	1588728	+	4366	NA	TTS (Nvec_vc1.1_LOC116613006)	-TTS (Nvec_vc1.1_LOC116613006)	6396	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_XM_032373560			LOC116613006			NA
Fox_pos_R2.mLb.clN_peak_686	NC_064034.1	9484785	9485401	+	4356	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	-47	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Fox_pos_R2.mLb.clN_peak_10590	NC_064042.1	147815	148668	+	4347	NA	promoter-TSS (Nvec_vc1.1_LOC5501687)	-promoter-TSS (Nvec_vc1.1_LOC5501687)	-171	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_LOC5501687	Nvec_vc1.1_XM_032369983			LOC5501687			NA
Fox_pos_R2.mLb.clN_peak_6276	NC_064038.1	3975917	3977334	+	4332	NA	exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	525	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_XM_001637706			LOC5517820			NA
Fox_pos_R2.mLb.clN_peak_9945	NC_064041.1	5590028	5591701	+	4324	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	-149	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Fox_pos_R2.mLb.clN_peak_3274	NC_064036.1	1586666	1587744	+	4310	NA	promoter-TSS (Nvec_vc1.1_LOC5517045)	-promoter-TSS (Nvec_vc1.1_LOC5517045)	-28	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_LOC5517045	Nvec_vc1.1_XM_032386923			LOC5517045			NA
Fox_pos_R2.mLb.clN_peak_6843	NC_064038.1	12418988	12420453	+	4305	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-524	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Fox_pos_R2.mLb.clN_peak_6385	NC_064038.1	5618770	5619470	+	4300	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	-40	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Fox_pos_R2.mLb.clN_peak_13986	NC_064045.1	2243480	2244626	+	4288	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	333	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Fox_pos_R2.mLb.clN_peak_11711	NC_064042.1	16007270	16008115	+	4283	NA	promoter-TSS (Nvec_vc1.1_LOC5502904)	-promoter-TSS (Nvec_vc1.1_LOC5502904)	103	Nvec_vc1.1_LOC116610363	Nvec_vc1.1_LOC116610363	Nvec_vc1.1_XM_048732322			LOC116610363			NA
Fox_pos_R2.mLb.clN_peak_6808	NC_064038.1	11455843	11456657	+	4257	NA	promoter-TSS (Nvec_vc1.1_LOC5517698)	-promoter-TSS (Nvec_vc1.1_LOC5517698)	-2	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_LOC5517633	Nvec_vc1.1_XM_048728259			LOC5517633			NA
Fox_pos_R2.mLb.clN_peak_1552	NC_064034.1	21479001	21479775	+	4219	NA	promoter-TSS (Nvec_vc1.1_LOC5518300)	-promoter-TSS (Nvec_vc1.1_LOC5518300)	-110	Nvec_vc1.1_LOC5518300	Nvec_vc1.1_LOC5518300	Nvec_vc1.1_XM_032362911			LOC5518300			NA
Fox_pos_R2.mLb.clN_peak_16949	NC_064048.1	1451877	1452686	+	4216	NA	promoter-TSS (Nvec_vc1.1_LOC5508260)	-promoter-TSS (Nvec_vc1.1_LOC5508260)	59	Nvec_vc1.1_LOC5508260	Nvec_vc1.1_LOC5508260	Nvec_vc1.1_XM_048722500			LOC5508260			NA
Fox_pos_R2.mLb.clN_peak_16216	NC_064047.1	2994317	2995144	+	4216	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	-68	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Fox_pos_R2.mLb.clN_peak_15421	NC_064046.1	6531401	6532028	+	4172	NA	exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	338	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_XM_001637985			LOC5518008			NA
Fox_pos_R2.mLb.clN_peak_4701	NC_064036.1	20484960	20485778	+	4160	NA	promoter-TSS (Nvec_NVE7242)	-promoter-TSS (Nvec_NVE7242)	-126	Nvec_NVE7242	Nvec_NVE7242	Nvec_NVE7242						NA
Fox_pos_R2.mLb.clN_peak_6420	NC_064038.1	5917791	5918716	+	4151	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-172	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Fox_pos_R2.mLb.clN_peak_9613	NC_064040.1	16920794	16921824	+	4150	NA	promoter-TSS (Nvec_NVE758)	-promoter-TSS (Nvec_NVE758)	-141	Nvec_NVE758	Nvec_NVE758	Nvec_NVE758						NA
Fox_pos_R2.mLb.clN_peak_9723	NC_064041.1	1791685	1792538	+	4136	NA	promoter-TSS (Nvec_vc1.1_LOC5498110)	-promoter-TSS (Nvec_vc1.1_LOC5498110)	59	Nvec_vc1.1_LOC5498110	Nvec_vc1.1_LOC5498110	Nvec_vc1.1_XM_001619828			LOC5498110			NA
Fox_pos_R2.mLb.clN_peak_6712	NC_064038.1	10262485	10263197	+	4122	NA	promoter-TSS (Nvec_vc1.1_LOC5505624)	-promoter-TSS (Nvec_vc1.1_LOC5505624)	-76	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_LOC5505624	Nvec_vc1.1_XM_001626339			LOC5505624			NA
Fox_pos_R2.mLb.clN_peak_4424	NC_064036.1	15974553	15975480	+	4114	NA	promoter-TSS (Nvec_vc1.1_LOC5502374)	-promoter-TSS (Nvec_vc1.1_LOC5502374)	-14	Nvec_vc1.1_LOC5502374	Nvec_vc1.1_LOC5502374	Nvec_vc1.1_XM_001623507			LOC5502374			NA
Fox_pos_R2.mLb.clN_peak_14789	NC_064045.1	13623000	13623887	+	4095	NA	promoter-TSS (Nvec_vc1.1_LOC5520158)	-promoter-TSS (Nvec_vc1.1_LOC5520158)	-186	Nvec_vc1.1_LOC5520158	Nvec_vc1.1_LOC5520158	Nvec_vc1.1_XM_001640033			LOC5520158			NA
Fox_pos_R2.mLb.clN_peak_9061	NC_064040.1	8817103	8817589	+	4083	NA	promoter-TSS (Nvec_vc1.1_LOC116618583)	-promoter-TSS (Nvec_vc1.1_LOC116618583)	-7	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_XM_032382466			LOC116618583			NA
Fox_pos_R2.mLb.clN_peak_1400	NC_064034.1	19478149	19478757	+	4066	NA	promoter-TSS (Nvec_vc1.1_LOC5507670)	-promoter-TSS (Nvec_vc1.1_LOC5507670)	12	Nvec_vc1.1_LOC5507658	Nvec_vc1.1_LOC5507658	Nvec_vc1.1_XM_032376380			LOC5507658			NA
Fox_pos_R2.mLb.clN_peak_9697	NC_064041.1	1425228	1426302	+	4056	NA	promoter-TSS (Nvec_vc1.1_LOC5509762)	-promoter-TSS (Nvec_vc1.1_LOC5509762)	-82	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_XM_001630214			LOC5509762			NA
Fox_pos_R2.mLb.clN_peak_14598	NC_064045.1	11036142	11037013	+	4054	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	-173	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Fox_pos_R2.mLb.clN_peak_9581	NC_064040.1	16301125	16302077	+	4045	NA	promoter-TSS (Nvec_NVE17130)	-promoter-TSS (Nvec_NVE17130)	-215	Nvec_NVE17130	Nvec_NVE17130	Nvec_NVE17130						NA
Fox_pos_R2.mLb.clN_peak_6761	NC_064038.1	10859301	10860149	+	4020	NA	promoter-TSS (Nvec_vc1.1_LOC5517670)	-promoter-TSS (Nvec_vc1.1_LOC5517670)	-19	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_XM_001637562			LOC5517670			NA
