PeakID (cmd=annotatePeaks.pl Elav_pos_R1.mLb.clN_peaks.narrowPeak GCF_932526225.1_jaNemVect1.1_genomic.fna -gid -gtf Nvec_v4_merged_annotation_sort.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Elav_pos_R1.mLb.clN_peak_4595	NC_064036.1	17653803	17654905	+	5633	NA	promoter-TSS (Nvec_vc1.1_LOC5506532)	-promoter-TSS (Nvec_vc1.1_LOC5506532)	-56	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_LOC5506532	Nvec_vc1.1_XM_032374939			LOC5506532			NA
Elav_pos_R1.mLb.clN_peak_9261	NC_064040.1	9448718	9449874	+	5600	NA	promoter-TSS (Nvec_vc1.1_LOC5504170)	-promoter-TSS (Nvec_vc1.1_LOC5504170)	-136	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_LOC5504170	Nvec_vc1.1_XM_001625048			LOC5504170			NA
Elav_pos_R1.mLb.clN_peak_6521	NC_064038.1	7072227	7073383	+	5500	NA	promoter-TSS (Nvec_vc1.1_LOC5503436)	-promoter-TSS (Nvec_vc1.1_LOC5503436)	56	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_LOC5503436	Nvec_vc1.1_XM_001624464			LOC5503436			NA
Elav_pos_R1.mLb.clN_peak_1635	NC_064035.1	1249943	1250853	+	5495	NA	promoter-TSS (Nvec_vc1.1_LOC5509121)	-promoter-TSS (Nvec_vc1.1_LOC5509121)	98	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_LOC5509139	Nvec_vc1.1_XM_001629629			LOC5509139			NA
Elav_pos_R1.mLb.clN_peak_5914	NC_064037.1	15384961	15386240	+	5481	NA	exon (Nvec_vc1.1_LOC116620204, exon 1 of 7)	-exon (Nvec_vc1.1_LOC116620204, exon 1 of 7)	111	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_LOC116620204	Nvec_vc1.1_XM_048726615			LOC116620204			NA
Elav_pos_R1.mLb.clN_peak_11308	NC_064042.1	8327209	8327562	+	5478	NA	promoter-TSS (Nvec_vc1.1_LOC116618095)	-promoter-TSS (Nvec_vc1.1_LOC116618095)	-100	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_LOC116618095	Nvec_vc1.1_XM_048732187			LOC116618095			NA
Elav_pos_R1.mLb.clN_peak_4732	NC_064036.1	19615227	19616464	+	5395	NA	exon (Nvec_vc1.1_LOC5508990, exon 1 of 5)	-exon (Nvec_vc1.1_LOC5508990, exon 1 of 5)	102	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_LOC5508990	Nvec_vc1.1_XM_001629485			LOC5508990			NA
Elav_pos_R1.mLb.clN_peak_7032	NC_064038.1	13813385	13814156	+	5351	NA	promoter-TSS (Nvec_vc1.1_LOC5513967)	-promoter-TSS (Nvec_vc1.1_LOC5513967)	8	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_LOC5513966	Nvec_vc1.1_XM_048727483			LOC5513966			NA
Elav_pos_R1.mLb.clN_peak_7639	NC_064039.1	5144790	5145958	+	5208	NA	promoter-TSS (Nvec_vc1.1_LOC5521517)	-promoter-TSS (Nvec_vc1.1_LOC5521517)	-54	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_LOC5521517	Nvec_vc1.1_XM_001641142			LOC5521517			NA
Elav_pos_R1.mLb.clN_peak_109	NC_064034.1	2402592	2403561	+	5178	NA	intron (Nvec_NVE8960, intron 1 of 1)	-intron (Nvec_NVE8960, intron 1 of 1)	3826	Nvec_NVE8960	Nvec_NVE8960	Nvec_NVE8960						NA
Elav_pos_R1.mLb.clN_peak_14594	NC_064045.1	10373035	10373790	+	5175	NA	promoter-TSS (Nvec_vc1.1_LOC5498592)	-promoter-TSS (Nvec_vc1.1_LOC5498592)	100	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_LOC5498592	Nvec_vc1.1_XM_048719974			LOC5498592			NA
Elav_pos_R1.mLb.clN_peak_10719	NC_064041.1	16500391	16501605	+	5122	NA	promoter-TSS (Nvec_vc1.1_LOC5507951)	-promoter-TSS (Nvec_vc1.1_LOC5507951)	-193	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_LOC5507951	Nvec_vc1.1_XM_048731273			LOC5507951			NA
Elav_pos_R1.mLb.clN_peak_1129	NC_064034.1	15804049	15805621	+	5121	NA	promoter-TSS (Nvec_vc1.1_LOC5521019)	-promoter-TSS (Nvec_vc1.1_LOC5521019)	32	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_LOC5521020	Nvec_vc1.1_XM_048731930			LOC5521020			NA
Elav_pos_R1.mLb.clN_peak_6205	NC_064038.1	1050896	1052626	+	5082	NA	promoter-TSS (Nvec_vc1.1_LOC5502564)	-promoter-TSS (Nvec_vc1.1_LOC5502564)	-406	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_LOC5502564	Nvec_vc1.1_XM_001623685			LOC5502564			NA
Elav_pos_R1.mLb.clN_peak_13803	NC_064044.1	12852666	12853613	+	5080	NA	Intergenic	Intergenic	-7108	Nvec_NVE25375	Nvec_NVE25375	Nvec_NVE25375						NA
Elav_pos_R1.mLb.clN_peak_3159	NC_064035.1	20683694	20684567	+	5072	NA	promoter-TSS (Nvec_vc1.1_LOC5504110)	-promoter-TSS (Nvec_vc1.1_LOC5504110)	16	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_LOC5504110	Nvec_vc1.1_XM_001624980			LOC5504110			NA
Elav_pos_R1.mLb.clN_peak_14211	NC_064045.1	4675337	4676250	+	5062	NA	promoter-TSS (Nvec_vc1.1_LOC5509637)	-promoter-TSS (Nvec_vc1.1_LOC5509637)	-21	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_LOC5509656	Nvec_vc1.1_XM_048720321			LOC5509656			NA
Elav_pos_R1.mLb.clN_peak_16193	NC_064047.1	3099852	3100798	+	5044	NA	TTS (Nvec_vc1.1_LOC5501521)	-TTS (Nvec_vc1.1_LOC5501521)	166	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_LOC5501518	Nvec_vc1.1_XM_001622754			LOC5501518			NA
Elav_pos_R1.mLb.clN_peak_14058	NC_064045.1	2243483	2244640	+	4946	NA	promoter-TSS (Nvec_vc1.1_LOC5498096)	-promoter-TSS (Nvec_vc1.1_LOC5498096)	325	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_LOC125557238	Nvec_vc1.1_XM_048719588			LOC125557238			NA
Elav_pos_R1.mLb.clN_peak_8482	NC_064039.1	15248198	15249305	+	4899	NA	promoter-TSS (Nvec_vc1.1_LOC5501420)	-promoter-TSS (Nvec_vc1.1_LOC5501420)	-322	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_LOC5501420	Nvec_vc1.1_XM_048728987			LOC5501420			NA
Elav_pos_R1.mLb.clN_peak_16984	NC_064048.1	3322790	3323494	+	4853	NA	promoter-TSS (Nvec_vc1.1_LOC5512692)	-promoter-TSS (Nvec_vc1.1_LOC5512692)	-113	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_LOC5512717	Nvec_vc1.1_XM_048722676			LOC5512717			NA
Elav_pos_R1.mLb.clN_peak_6550	NC_064038.1	7537903	7538717	+	4838	NA	promoter-TSS (Nvec_vc1.1_LOC5502057)	-promoter-TSS (Nvec_vc1.1_LOC5502057)	-47	Nvec_vc1.1_LOC5502057	Nvec_vc1.1_LOC5502057	Nvec_vc1.1_XM_032370338			LOC5502057			NA
Elav_pos_R1.mLb.clN_peak_11431	NC_064042.1	10108956	10109561	+	4833	NA	promoter-TSS (Nvec_vc1.1_LOC5503823)	-promoter-TSS (Nvec_vc1.1_LOC5503823)	-15	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_LOC5503823	Nvec_vc1.1_XM_001624711			LOC5503823			NA
Elav_pos_R1.mLb.clN_peak_283	NC_064034.1	4429673	4430986	+	4808	NA	promoter-TSS (Nvec_v1g139480)	-promoter-TSS (Nvec_v1g139480)	101	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_LOC116608874	Nvec_vc1.1_XM_032369910			LOC116608874			NA
Elav_pos_R1.mLb.clN_peak_9967	NC_064041.1	3922205	3922906	+	4808	NA	promoter-TSS (Nvec_vc1.1_LOC5502798)	-promoter-TSS (Nvec_vc1.1_LOC5502798)	-64	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_LOC5502798	Nvec_vc1.1_XM_001623893			LOC5502798			NA
Elav_pos_R1.mLb.clN_peak_6934	NC_064038.1	12419097	12420657	+	4793	NA	promoter-TSS (Nvec_vc1.1_LOC5514174)	-promoter-TSS (Nvec_vc1.1_LOC5514174)	-681	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_LOC5514174	Nvec_vc1.1_XM_048727656			LOC5514174			NA
Elav_pos_R1.mLb.clN_peak_6585	NC_064038.1	8116368	8117177	+	4783	NA	promoter-TSS (Nvec_vc1.1_LOC5505983)	-promoter-TSS (Nvec_vc1.1_LOC5505983)	-25	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_LOC5505982	Nvec_vc1.1_XM_001626669			LOC5505982			NA
Elav_pos_R1.mLb.clN_peak_2656	NC_064035.1	14509005	14510130	+	4769	NA	promoter-TSS (Nvec_vc1.1_LOC5521716)	-promoter-TSS (Nvec_vc1.1_LOC5521716)	-88	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_LOC5521716	Nvec_vc1.1_XM_032367051			LOC5521716			NA
Elav_pos_R1.mLb.clN_peak_1830	NC_064035.1	3668817	3669444	+	4761	NA	promoter-TSS (Nvec_vc1.1_LOC5514837)	-promoter-TSS (Nvec_vc1.1_LOC5514837)	26	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_LOC5514837	Nvec_vc1.1_XM_032384470			LOC5514837			NA
Elav_pos_R1.mLb.clN_peak_11338	NC_064042.1	8767222	8768613	+	4715	NA	promoter-TSS (Nvec_vc1.1_LOC5515391)	-promoter-TSS (Nvec_vc1.1_LOC5515391)	-285	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_LOC5515391	Nvec_vc1.1_XM_032385153			LOC5515391			NA
Elav_pos_R1.mLb.clN_peak_6431	NC_064038.1	5618644	5619487	+	4694	NA	promoter-TSS (Nvec_NVE3975)	-promoter-TSS (Nvec_NVE3975)	15	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_LOC5508978	Nvec_vc1.1_XM_032377803			LOC5508978			NA
Elav_pos_R1.mLb.clN_peak_1161	NC_064034.1	16285007	16286913	+	4677	NA	promoter-TSS (Nvec_vc1.1_LOC5511120)	-promoter-TSS (Nvec_vc1.1_LOC5511120)	-565	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_LOC5511120	Nvec_vc1.1_XM_001631478			LOC5511120			NA
Elav_pos_R1.mLb.clN_peak_13931	NC_064044.1	15748597	15749902	+	4673	NA	promoter-TSS (Nvec_NVE15989)	-promoter-TSS (Nvec_NVE15989)	2	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_LOC5502461	Nvec_vc1.1_XM_001623589			LOC5502461			NA
Elav_pos_R1.mLb.clN_peak_10703	NC_064041.1	16369263	16369944	+	4665	NA	promoter-TSS (Nvec_vc1.1_LOC5507945)	-promoter-TSS (Nvec_vc1.1_LOC5507945)	-35	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_LOC5507945	Nvec_vc1.1_XM_001628535			LOC5507945			NA
Elav_pos_R1.mLb.clN_peak_14139	NC_064045.1	3744139	3745711	+	4630	NA	promoter-TSS (Nvec_vc1.1_LOC5516880)	-promoter-TSS (Nvec_vc1.1_LOC5516880)	-278	Nvec_vc1.1_LOC5516880	Nvec_vc1.1_LOC5516880	Nvec_vc1.1_XM_048720266			LOC5516880			NA
Elav_pos_R1.mLb.clN_peak_682	NC_064034.1	9484578	9485529	+	4628	NA	promoter-TSS (Nvec_vc1.1_LOC5520421)	-promoter-TSS (Nvec_vc1.1_LOC5520421)	-7	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_LOC5520421	Nvec_vc1.1_XM_001640122			LOC5520421			NA
Elav_pos_R1.mLb.clN_peak_14638	NC_064045.1	11036094	11037409	+	4614	NA	promoter-TSS (Nvec_vc1.1_LOC5520681)	-promoter-TSS (Nvec_vc1.1_LOC5520681)	1	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_LOC5520680	Nvec_vc1.1_XM_032365501			LOC5520680			NA
Elav_pos_R1.mLb.clN_peak_10745	NC_064042.1	539172	539994	+	4606	NA	promoter-TSS (Nvec_vc1.1_LOC5505333)	-promoter-TSS (Nvec_vc1.1_LOC5505333)	48	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_LOC5505333	Nvec_vc1.1_XM_048732633			LOC5505333			NA
Elav_pos_R1.mLb.clN_peak_1337	NC_064034.1	18665865	18667250	+	4577	NA	Intergenic	Intergenic	-11283	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_LOC116618239	Nvec_vc1.1_XM_032381735			LOC116618239			NA
Elav_pos_R1.mLb.clN_peak_1996	NC_064035.1	5767350	5768500	+	4521	NA	promoter-TSS (Nvec_vc1.1_LOC5517841)	-promoter-TSS (Nvec_vc1.1_LOC5517841)	-287	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_LOC5517855	Nvec_vc1.1_XM_001637865			LOC5517855			NA
Elav_pos_R1.mLb.clN_peak_6305	NC_064038.1	3975934	3977341	+	4517	NA	exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	-exon (Nvec_vc1.1_LOC5517820, exon 1 of 2)	537	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_LOC5517820	Nvec_vc1.1_XM_001637706			LOC5517820			NA
Elav_pos_R1.mLb.clN_peak_16182	NC_064047.1	2994205	2995281	+	4516	NA	promoter-TSS (Nvec_vc1.1_LOC5504763)	-promoter-TSS (Nvec_vc1.1_LOC5504763)	-81	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_LOC5504763	Nvec_vc1.1_XM_032373099			LOC5504763			NA
Elav_pos_R1.mLb.clN_peak_16460	NC_064047.1	8470671	8471798	+	4500	NA	promoter-TSS (Nvec_vc1.1_LOC5510445)	-promoter-TSS (Nvec_vc1.1_LOC5510445)	-48	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_LOC5510445	Nvec_vc1.1_XM_001630871			LOC5510445			NA
Elav_pos_R1.mLb.clN_peak_6838	NC_064038.1	10859138	10860352	+	4495	NA	promoter-TSS (Nvec_vc1.1_LOC5517670)	-promoter-TSS (Nvec_vc1.1_LOC5517670)	1	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_LOC5517670	Nvec_vc1.1_XM_001637562			LOC5517670			NA
Elav_pos_R1.mLb.clN_peak_4787	NC_064036.1	20792937	20793826	+	4451	NA	Intergenic	Intergenic	-22376	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_LOC116611810	Nvec_vc1.1_XM_048724930			LOC116611810			NA
Elav_pos_R1.mLb.clN_peak_11085	NC_064042.1	5557636	5558968	+	4444	NA	intron (Nvec_vc1.1_LOC5504889, intron 1 of 2)	-intron (Nvec_vc1.1_LOC5504889, intron 1 of 2)	247	Nvec_vc1.1_LOC5504889	Nvec_vc1.1_LOC5504889	Nvec_vc1.1_XM_048732062			LOC5504889			NA
Elav_pos_R1.mLb.clN_peak_15417	NC_064046.1	6457888	6458902	+	4444	NA	promoter-TSS (Nvec_vc1.1_LOC5517999)	-promoter-TSS (Nvec_vc1.1_LOC5517999)	-46	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_LOC5517999	Nvec_vc1.1_XM_001637926			LOC5517999			NA
Elav_pos_R1.mLb.clN_peak_9211	NC_064040.1	8816994	8817738	+	4426	NA	promoter-TSS (Nvec_vc1.1_LOC116618583)	-promoter-TSS (Nvec_vc1.1_LOC116618583)	13	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_LOC116618583	Nvec_vc1.1_XM_032382466			LOC116618583			NA
Elav_pos_R1.mLb.clN_peak_7817	NC_064039.1	7200355	7201468	+	4400	NA	exon (Nvec_vc1.1_LOC116619643, exon 1 of 12)	-exon (Nvec_vc1.1_LOC116619643, exon 1 of 12)	370	Nvec_vc1.1_LOC116619643	Nvec_vc1.1_LOC116619643	Nvec_vc1.1_XM_032384612			LOC116619643			NA
Elav_pos_R1.mLb.clN_peak_4402	NC_064036.1	14911289	14912261	+	4399	NA	Intergenic	Intergenic	-1774	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_LOC5522175	Nvec_vc1.1_XM_032367459			LOC5522175			NA
Elav_pos_R1.mLb.clN_peak_10427	NC_064041.1	11493730	11494593	+	4396	NA	promoter-TSS (Nvec_vc1.1_LOC5515355)	-promoter-TSS (Nvec_vc1.1_LOC5515355)	-15	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_LOC5515355	Nvec_vc1.1_XM_032384956			LOC5515355			NA
Elav_pos_R1.mLb.clN_peak_16850	NC_064048.1	1314970	1316145	+	4377	NA	promoter-TSS (Nvec_vc1.1_LOC5500404)	-promoter-TSS (Nvec_vc1.1_LOC5500404)	-96	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_LOC5500404	Nvec_vc1.1_XM_001621809			LOC5500404			NA
Elav_pos_R1.mLb.clN_peak_10065	NC_064041.1	5589879	5591434	+	4372	NA	promoter-TSS (Nvec_vc1.1_LOC5506152)	-promoter-TSS (Nvec_vc1.1_LOC5506152)	59	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_LOC5506152	Nvec_vc1.1_XM_001626817			LOC5506152			NA
Elav_pos_R1.mLb.clN_peak_9842	NC_064041.1	1425109	1426308	+	4345	NA	promoter-TSS (Nvec_vc1.1_LOC5509762)	-promoter-TSS (Nvec_vc1.1_LOC5509762)	-25	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_LOC5509762	Nvec_vc1.1_XM_001630214			LOC5509762			NA
Elav_pos_R1.mLb.clN_peak_7205	NC_064039.1	145399	147223	+	4332	NA	exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	-exon (Nvec_vc1.1_LOC5511474, exon 1 of 9)	623	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_LOC5511474	Nvec_vc1.1_XM_032380824			LOC5511474			NA
Elav_pos_R1.mLb.clN_peak_17239	NC_064048.1	6328729	6329630	+	4325	NA	promoter-TSS (Nvec_vc1.1_LOC5511395)	-promoter-TSS (Nvec_vc1.1_LOC5511395)	-41	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_LOC116617754	Nvec_vc1.1_XM_048722531			LOC116617754			NA
Elav_pos_R1.mLb.clN_peak_11074	NC_064042.1	5381334	5382419	+	4310	NA	promoter-TSS (Nvec_vc1.1_LOC5504892)	-promoter-TSS (Nvec_vc1.1_LOC5504892)	-1	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_LOC5504892	Nvec_vc1.1_XM_001625714			LOC5504892			NA
Elav_pos_R1.mLb.clN_peak_11836	NC_064042.1	15965495	15966564	+	4293	NA	promoter-TSS (Nvec_vc1.1_LOC5502899)	-promoter-TSS (Nvec_vc1.1_LOC5502899)	-175	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_LOC5502899	Nvec_vc1.1_XM_001623988			LOC5502899			NA
Elav_pos_R1.mLb.clN_peak_15429	NC_064046.1	6531404	6532033	+	4288	NA	exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	-exon (Nvec_vc1.1_LOC5518008, exon 1 of 16)	342	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_LOC5518008	Nvec_vc1.1_XM_001637985			LOC5518008			NA
Elav_pos_R1.mLb.clN_peak_15064	NC_064046.1	1587949	1588646	+	4284	NA	TTS (Nvec_vc1.1_LOC116613006)	-TTS (Nvec_vc1.1_LOC116613006)	6352	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_LOC116613006	Nvec_vc1.1_XM_032373560			LOC116613006			NA
Elav_pos_R1.mLb.clN_peak_4905	NC_064037.1	2481904	2482685	+	4282	NA	exon (Nvec_vc1.1_LOC5511558, exon 1 of 14)	-exon (Nvec_vc1.1_LOC5511558, exon 1 of 14)	159	Nvec_vc1.1_LOC5511558	Nvec_vc1.1_LOC5511558	Nvec_vc1.1_XM_001631892			LOC5511558			NA
Elav_pos_R1.mLb.clN_peak_14318	NC_064045.1	6065136	6065986	+	4271	NA	promoter-TSS (Nvec_v1g237368)	-promoter-TSS (Nvec_v1g237368)	36	Nvec_v1g237368	Nvec_v1g237368	Nvec_v1g237368						NA
Elav_pos_R1.mLb.clN_peak_15595	NC_064046.1	9298996	9299657	+	4258	NA	promoter-TSS (Nvec_vc1.1_LOC5518591)	-promoter-TSS (Nvec_vc1.1_LOC5518591)	41	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_LOC5518590	Nvec_vc1.1_XM_001638492			LOC5518590			NA
Elav_pos_R1.mLb.clN_peak_3537	NC_064036.1	4278678	4279307	+	4256	NA	promoter-TSS (Nvec_vc1.1_LOC5512568)	-promoter-TSS (Nvec_vc1.1_LOC5512568)	-175	Nvec_vc1.1_LOC5512568	Nvec_vc1.1_LOC5512568	Nvec_vc1.1_XM_001632846			LOC5512568			NA
Elav_pos_R1.mLb.clN_peak_12832	NC_064043.1	12561116	12562318	+	4256	NA	promoter-TSS (Nvec_vc1.1_LOC5512521)	-promoter-TSS (Nvec_vc1.1_LOC5512521)	-175	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_LOC5512521	Nvec_vc1.1_XM_032381974			LOC5512521			NA
Elav_pos_R1.mLb.clN_peak_9221	NC_064040.1	8947110	8948351	+	4244	NA	promoter-TSS (Nvec_vc1.1_LOC5512961)	-promoter-TSS (Nvec_vc1.1_LOC5512961)	-192	Nvec_vc1.1_LOC5512961	Nvec_vc1.1_LOC5512961	Nvec_vc1.1_XM_001633219			LOC5512961			NA
Elav_pos_R1.mLb.clN_peak_2685	NC_064035.1	14802152	14803004	+	4236	NA	promoter-TSS (Nvec_vc1.1_LOC5521822)	-promoter-TSS (Nvec_vc1.1_LOC5521822)	25	Nvec_vc1.1_LOC5521730	Nvec_vc1.1_LOC5521730	Nvec_vc1.1_XM_001641557			LOC5521730			NA
Elav_pos_R1.mLb.clN_peak_6458	NC_064038.1	5917819	5918728	+	4216	NA	promoter-TSS (Nvec_vc1.1_LOC5511203)	-promoter-TSS (Nvec_vc1.1_LOC5511203)	-192	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_LOC5511203	Nvec_vc1.1_XM_001631543			LOC5511203			NA
Elav_pos_R1.mLb.clN_peak_16999	NC_064048.1	3456932	3458119	+	4210	NA	promoter-TSS (Nvec_vc1.1_LOC5515620)	-promoter-TSS (Nvec_vc1.1_LOC5515620)	-113	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_LOC5515607	Nvec_vc1.1_XM_032385387			LOC5515607			NA
Elav_pos_R1.mLb.clN_peak_9862	NC_064041.1	1791677	1792543	+	4203	NA	promoter-TSS (Nvec_vc1.1_LOC5498110)	-promoter-TSS (Nvec_vc1.1_LOC5498110)	60	Nvec_vc1.1_LOC5498110	Nvec_vc1.1_LOC5498110	Nvec_vc1.1_XM_001619828			LOC5498110			NA
