target_gene	sample	gene	name	pfam	expression_tpm	expression_lfc	target_name	target_pfam	target_expression_tpm	target_expression_lfc	motif	motif_score	footprint_score	expression_correlation	target_TF	regulation
Nvec_vc1.1_XM_001637979.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Calretinin	EF-hand_7/EF-hand_6/EF-hand_6/	69633.75	5.24992933181708	ARCH1151	8.90555	13.25155	0.897708476827818	FALSE	activated
Nvec_vc1.1_XM_032385991.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Family with sequence similarit	DUF1193/	7008.75	2.77258914498958	ARCH1151	10.82902	12.43601	0.969785353088469	FALSE	repressed
Nvec_vc1.1_XM_032364698.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-NaKCa:like:KCND1/KCND2/KCN	BTB_2/Ion_trans/	6649.5	2.93316761080065	ARCH1151	7.58566	12.39194	0.969626658604333	FALSE	activated
Nvec_vc1.1_XM_001639804.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Sulfiredoxin-1	ParBc/	1771.75	3.80178279060348	ARCH1151	8.49896	11.48277	0.969900256133106	FALSE	activated
Nvec_NVE15383	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	482	2.15469734947235	ARCH1151	7.6998	11.16655	0.823383823571094	FALSE	activated
Nvec_vc1.1_XM_032366118.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	4404.75	1.78730413920972	ARCH1151	12.49412	10.60991	0.690972174023272	FALSE	activated
Nvec_vc1.1_XM_032381641.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	b(0,+)-type amino acid transpo	AA_permease_2/	32586.75	2.41237988916671	ARCH1151	8.57987	10.31388	0.967790772234959	FALSE	repressed
Nvec_vc1.1_XM_032362240.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Synaptotagmin:MCTP1/MCTP2	Synaptotagmin.HG2.7:MCTP1/MCTP	92932.25	4.74961177881948	ARCH1151	8.54271	9.94493	0.91237474577292	FALSE	activated
Nvec_vc1.1_XM_032365297.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	PRDM6	zf-C2H2.HG5.17:PRDM6	3493	2.00228489095919	ARCH1151	10.73552	9.90331	0.970406191046404	TRUE	repressed
Nvec_vc1.1_XM_032384233.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Kv channel interacting protein	EF-hand_8/EF-hand_7/	16740.25	1.98324883466702	ARCH1151	8.73803	9.17494	0.787702284906118	FALSE	activated
Nvec_vc1.1_XM_032377802.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	1208.5	5.26124396718981	ARCH1151	10.72035	8.8471	0.948394784430847	FALSE	activated
Nvec_vc1.1_XM_048734428.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	2068.25	4.60146332220012	ARCH1151	9.25217	8.47813	0.964825147693448	FALSE	activated
Nvec_vc1.1_XM_001632635.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	19610.5	1.57245327250451	ARCH1151	10.06371	8.34422	0.659221183771479	FALSE	activated
Nvec_vc1.1_XM_001629182.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	cDNA FLJ54570, highly similar	E1_dh/Transket_pyr/	36090.5	1.92049268295368	ARCH1151	8.11814	8.15735	0.961141113055392	FALSE	activated
Nvec_vc1.1_XM_032366532.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	8499	5.25172984234054	ARCH1151	10.94613	7.84911	0.977976327011085	FALSE	activated
Nvec_vc1.1_XM_001641129.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ZNF845	""	5036.5	1.65209580290103	ARCH1151	7.16485	7.70617	0.855917212116563	TRUE	repressed
Nvec_vc1.1_XM_048724369.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	17831.25	5.41538448107138	ARCH1151	9.24028	7.65587	0.88619819419246	FALSE	activated
Nvec_v1g199202	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	GPCR-rhodopsin:like:GPR27/GPR5	7tm_1/	7285	4.31674420034564	ARCH1151	8.27823	7.62781	0.893384238257447	FALSE	activated
Nvec_vc1.1_XM_048732113.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	4129	3.25703046222408	ARCH1151	10.96853	7.23412	0.988041043164415	FALSE	activated
Nvec_vc1.1_XM_032372205.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	AbfB/	9248.25	3.01676661106405	ARCH1151	10.11588	7.07351	0.963133809723849	FALSE	activated
Nvec_vc1.1_XM_032372869.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	7411.25	3.08544026476951	ARCH1151	8.12346	6.95485	0.915424197051023	FALSE	activated
Nvec_vc1.1_XM_001626802.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Coagulation factor VIII	F5_F8_type_C/	3789	2.86267280950208	ARCH1151	8.60584	6.93124	0.986251468815369	FALSE	activated
Nvec_vc1.1_XM_048726524.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Hemicentin-1	TSP_1/TSP_1/	10829	5.13748983045998	ARCH1151	8.78662	6.71154	0.975259589426613	FALSE	repressed
Nvec_vc1.1_XM_032363386.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Ankyrin-2	Ank_2/Ank_2/Ank_2/Ank/Ank_2/An	3769.75	2.5203398601488	ARCH1151	9.12081	6.70337	0.784973308060017	FALSE	activated
Nvec_vc1.1_XM_032386756.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	Usp/	1644.75	1.50433710430346	ARCH1151	7.48091	6.52551	0.721295603065468	FALSE	activated
Nvec_vc1.1_XM_001623360.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Tetratricopeptide repeat prote	TPR_1/TPR_12/TPR_7/	7168.25	2.7382094341143	ARCH1151	8.01903	6.3643	0.78532789129478	FALSE	activated
Nvec_vc1.1_XM_032371054.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-NaKCa:KCND1/KCND2/KCND3	ion-NaKCa.HG13.1:KCND1/KCND2/K	7344.25	1.62659741328851	ARCH1151	8.1856	6.18991	0.872918922563762	FALSE	activated
Nvec_vc1.1_XM_001638276.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Lipid droplet-associated hydro	DUF2305/	4258.5	1.56952077551704	ARCH1151	7.12207	5.92691	0.266797099511983	FALSE	activated
Nvec_vc1.1_XM_032366877.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-glutamate:NA	Ion_trans_2/	10473.5	1.82544372672518	ARCH1151	8.38185	5.36566	0.672020386784914	FALSE	activated
Nvec_vc1.1_XM_032379655.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	113780.25	4.29068411243155	ARCH1151	10.13682	5.21869	0.91638266124014	FALSE	activated
Nvec_vc1.1_XM_048730636.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-NaKCa:SCN10A/SCN11A/SCN1A/	ion-NaKCa.HG9.3:SCN10A/SCN11A/	12003.25	2.5418139413265	ARCH1151	7.49383	5.2124	0.862538178435214	FALSE	activated
Nvec_vc1.1_XM_032366344.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	6688.75	4.00905293172467	ARCH1151	8.83626	5.20297	0.918090158796821	FALSE	activated
Nvec_vc1.1_XM_048726022.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	4626	4.28164509597705	ARCH1151	9.32921	5.17651	0.973299732784502	FALSE	activated
Nvec_vc1.1_XM_001636197.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Potassium channel, subfamily K	Ion_trans_2/Ion_trans_2/	860	2.97425809781281	ARCH1151	10.94613	5.15038	0.914716076845118	FALSE	activated
Nvec_vc1.1_XM_032371040.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-NaKCa:like:KCND1/KCND2/KCN	BTB_2/Ion_trans/	5734.75	1.74086703563942	ARCH1151	10.88406	5.05747	0.510503505735347	FALSE	activated
Nvec_NVE24603	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	PAN_1/	1049.5	1.52556650007266	ARCH1151	8.13497	5.03117	0.913283653224301	FALSE	activated
Nvec_vc1.1_XM_032377751.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Major facilitator superfamily	Nuc_H_symport/MFS_1/	7583.25	5.58707996221117	ARCH1151	12.61123	5.00995	0.964925722840142	FALSE	repressed
Nvec_vc1.1_XM_032377333.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	2902.75	2.5442813654214	ARCH1151	8.034	4.9456	0.950465647944296	FALSE	repressed
Nvec_vc1.1_XM_048731133.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Proteoglycan 4	Somatomedin_B/	2400.75	2.1788629443001	ARCH1151	8.17358	4.93706	0.9342720474508	FALSE	activated
Nvec_vc1.1_XM_032374461.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	ion-neuro-gated:AC243734/AC254	ion-neuro-gated.HG1.3:AC243734	2307.75	1.5693454718252	ARCH1151	8.18369	4.82352	0.934972111175515	FALSE	activated
Nvec_vc1.1_XM_001625253.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	""	428.75	1.60810895218254	ARCH1151	9.93755	4.75159	0.846553708886461	FALSE	activated
Nvec_vc1.1_XM_048720773.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Laminin:NA	Cadherin/Cadherin/Cadherin/Cad	3513	3.18317224120607	ARCH1151	10.60376	4.66385	0.911830697578324	FALSE	activated
Nvec_vc1.1_XM_048727104.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	cDNA FLJ57391, highly similar	Trypsin/	1011.25	3.22435398363116	ARCH1151	8.31946	4.58826	0.926797107905782	FALSE	activated
Nvec_vc1.1_XM_001635065.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Sodium/hydrogen exchanger 9	Na_H_Exchanger/	1065.25	4.24839514269498	ARCH1151	8.37214	4.51933	0.948183557547268	FALSE	repressed
Nvec_vc1.1_XM_032377132.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Shak4 ion channel	ion-NaKCa.HG1.6:KCNA1/KCNA10/K	5169.75	1.86739937717245	ARCH1151	7.13019	4.38452	0.868771146294194	FALSE	activated
Nvec_vc1.1_XM_032384615.2	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Lectin_C:NA	Laminin_G_3/Lectin_C/	645	3.14408944044623	ARCH1151	7.49418	4.23338	0.947196512455411	FALSE	activated
Nvec_vc1.1_XM_001641857.3	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	""	ATP-grasp_4/	72346.5	4.65429611860375	ARCH1151	7.86117	4.01304	0.91678590025884	FALSE	activated
Nvec_vc1.1_XM_048733827.1	Ncol_pos	Nvec_vc1.1_XM_032363992.2	Pou4	POU4F1/POU4F2/POU4F3	16379	2.79867504708652	Em:AC004832.5 protein	CRAL_TRIO/	1907	3.87135815295677	ARCH1151	8.65104	3.94452	0.744231687287707	FALSE	activated
