gene	og	pfam
Nvec_v1g28519	bZIP.HG1.15:CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4	CREB3L1/CREB3L2
Nvec_vc1.1_XM_001629694.3	bZIP.HG1.16:XBP1	XBP1
Nvec_v1g211292	bZIP.HG1.16:XBP1	XBP1
Nvec_vc1.1_XM_001631093.3	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_v1g232694	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_v1g29743	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_vc1.1_XM_048730283.1	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_vc1.1_XM_001633273.3	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_NVE1028	bZIP.HG1.17:ATF3/JDP2	ATF3/JDP2
Nvec_vc1.1_XM_001633393.3	bZIP.HG1.18:ATF1/CREB1/CREM	ATF1/CREB1/CREM
Nvec_v1g242787	bZIP.HG1.18:ATF1/CREB1/CREM	ATF1/CREB1/CREM
Nvec_vc1.1_XM_001628946.3	bZIP.HG1.19:ATF6/ATF6B	ATF6/ATF6B
Nvec_v1g127820	bZIP.HG1.19:ATF6/ATF6B	ATF6/ATF6B
Nvec_v1g245260	bZIP.HG1.19:ATF6/ATF6B	ATF6/ATF6B
Nvec_vc1.1_XM_048723364.1	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g242270	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_vc1.1_XM_032383717.2	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_vc1.1_XM_001634326.3	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g241379	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g248713	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g242269	bZIP.HG2.0:like:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_vc1.1_XM_048728399.1	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g104726	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_v1g114346	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_vc1.1_XM_032382466.2	bZIP.HG2.5:CEBPA/CEBPB/CEBPD/CEBPE/CEBPG	
Nvec_NVE5459	bZIP.HG2.6:like:DBP/HLF/TEF	
Nvec_vc1.1_XM_032363985.2	bZIP.HG2.6:like:DBP/HLF/TEF	
Nvec_v1g80243	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_vc1.1_XM_032382493.2	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_v1g87565	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_v1g150375	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_vc1.1_XM_032367127.2	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_v1g39846	bZIP.HG2.10:DBP/HLF/TEF	DBP/HLF/TEF
Nvec_vc1.1_XM_032366242.2	bZIP.HG2.12:like:DBP/HLF/TEF	
Nvec_v1g197394	bZIP.HG2.12:like:DBP/HLF/TEF	
Nvec_v1g165267	bZIP.HG2.13:like:DBP/HLF/TEF	
Nvec_vc1.1_XM_001634460.3	bZIP.HG2.13:like:DBP/HLF/TEF	
Nvec_v1g99714	bZIP.HG3.0:MAFF/MAFG/MAFK	MAFF/MAFG/MAFK
Nvec_vc1.1_XM_032384300.2	bZIP.HG3.0:MAFF/MAFG/MAFK	MAFF/MAFG/MAFK
Nvec_vc1.1_XM_032376926.2	bZIP.HG3.2:like:MAF/MAFA/MAFB/NRL	
Nvec_v1g118896	bZIP.HG3.2:like:MAF/MAFA/MAFB/NRL	
Nvec_v1g18367	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	
Nvec_vc1.1_XM_001639307.3	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	
Nvec_vc1.1_XM_032370269.2	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	
Nvec_v1g86952	bZIP.HG3.3:like:MAF/MAFA/MAFB/NRL	
Nvec_vc1.1_XM_032372559.2	CG-1.HG1.1:CAMTA1/CAMTA2	CAMTA1/CAMTA2
Nvec_v1g105520	CSD.HG1.0:CSDE1	CSDE1
Nvec_vc1.1_XM_032382153.2	CSD.HG1.0:CSDE1	CSDE1
Nvec_NVE13317	CSD.HG1.3:CARHSP1/CSDC2	CARHSP1/CSDC2
Nvec_vc1.1_XM_032372115.2	CSD.HG1.3:CARHSP1/CSDC2	CARHSP1/CSDC2
Nvec_v1g202545	CSD.HG1.5:LIN28A/LIN28B	LIN28A/LIN28B
Nvec_vc1.1_XM_032386611.2	CSD.HG1.5:LIN28A/LIN28B	LIN28A/LIN28B
Nvec_v1g104083	CSD.HG1.6:YBX1/YBX2/YBX3	
Nvec_vc1.1_XM_001633482.3	CSD.HG1.6:YBX1/YBX2/YBX3	
Nvec_vc1.1_XM_032362140.2	Doublesex_DM.HG1.1:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	
Nvec_v1g198893	Doublesex_DM.HG1.1:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	
Nvec_v1g104857	Doublesex_DM.HG1.8:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_032382520.2	Doublesex_DM.HG1.8:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_032369373.2	Doublesex_DM.HG1.9:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_v1g141567	Doublesex_DM.HG1.9:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_v1g8923	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DMRTA1/DMRTA2/DMRTB1
Nvec_v1g18814	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DMRTA1/DMRTA2/DMRTB1
Nvec_v1g19862	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DMRTA1/DMRTA2/DMRTB1
Nvec_vc1.1_XM_001628087.3	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DMRTA1/DMRTA2/DMRTB1
Nvec_vc1.1_XM_032371744.2	Doublesex_DM.HG1.12:DMRTA1/DMRTA2/DMRTB1	DMRTA1/DMRTA2/DMRTB1
Nvec_v1g91098	Doublesex_DM.HG1.13:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_032362387.2	Doublesex_DM.HG1.13:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_032384091.2	Doublesex_DM.HG1.14:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_032377759.2	Doublesex_DM.HG1.16:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_v1g29965	Doublesex_DM.HG1.16:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_v1g207818	Doublesex_DM.HG1.18:like:DMRT3	
Nvec_vc1.1_XM_032381617.2	Doublesex_DM.HG1.18:like:DMRT3	
Nvec_vc1.1_XM_032375670.2	Doublesex_DM.HG1.19:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_v1g19443	Doublesex_DM.HG1.19:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1	
Nvec_vc1.1_XM_001626541.3	Doublesex_DM.HG1.20:like:DMRT1/DMRT2/DMRT3/DMRTA1/DMRTA2/DMRTB1/DMRTC2	
Nvec_vc1.1_XM_032370623.2	E2F_TDP.HG1.0:E2F7/E2F8	E2F7/E2F8
Nvec_v1g137233	E2F_TDP.HG1.0:E2F7/E2F8	E2F7/E2F8
Nvec_vc1.1_XM_032378402.2	E2F_TDP.HG1.1:TFDP1/TFDP2/TFDP3	TFDP1/TFDP2/TFDP3
Nvec_v1g115110	E2F_TDP.HG1.1:TFDP1/TFDP2/TFDP3	TFDP1/TFDP2/TFDP3
Nvec_v1g200125	E2F_TDP.HG1.2:like:E2F1/E2F2/E2F3/E2F4/E2F5/E2F6	
Nvec_v1g235633	E2F_TDP.HG1.3:E2F4/E2F5	E2F4/E2F5
Nvec_vc1.1_XM_001627662.3	E2F_TDP.HG1.3:E2F4/E2F5	E2F4/E2F5
Nvec_vc1.1_XM_048722428.1	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_vc1.1_XM_032385575.2	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_vc1.1_XM_032380735.2	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_NVE25890	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_vc1.1_XM_048734435.1	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g245401	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g203627	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_vc1.1_XM_048732398.1	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_vc1.1_XM_032385715.2	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_NVE17354	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g152277	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_NVE17353	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g96863	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g96966	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g154049	E2F_TDP.HG1.4:E2F1/E2F2/E2F3/E2F6	E2F1/E2F2/E2F3/E2F6
Nvec_v1g7198	Ets.HG1.1:ETV2	ETV2
Nvec_v1g108513	Ets.HG1.1:ETV2	ETV2
Nvec_vc1.1_XM_001636352.3	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_vc1.1_XM_001637374.3	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g92405	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_vc1.1_XM_032361849.2	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g146324	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g95374	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g138886	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g47573	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g201692	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_vc1.1_XM_048727247.1	Ets.HG1.2:ELK1/ELK3/ELK4	ELK1/ELK3/ELK4
Nvec_v1g211452	Ets.HG1.3:ETV1/ETV4/ETV5	ETV1/ETV4/ETV5
Nvec_v1g16815	Ets.HG1.3:ETV1/ETV4/ETV5	ETV1/ETV4/ETV5
Nvec_vc1.1_XM_032377897.2	Ets.HG1.3:ETV1/ETV4/ETV5	ETV1/ETV4/ETV5
Nvec_vc1.1_XM_032380975.2	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	ERG/FEV/FLI1
Nvec_v1g108724	Ets.HG1.5:ERF/ERFL/ERG/ETV3/ETV3L/FEV/FLI1	ERG/FEV/FLI1
Nvec_vc1.1_XM_032385089.2	Ets.HG1.7:GABPA	GABPA
Nvec_v1g97743	Ets.HG1.7:GABPA	GABPA
Nvec_v1g29595	Ets.HG1.8:ETS1/ETS2	ETS1/ETS2
Nvec_vc1.1_XM_048732532.1	Ets.HG1.8:ETS1/ETS2	ETS1/ETS2
Nvec_vc1.1_XM_048729186.1	Ets.HG1.9:AC020909.1/SPI1/SPIB/SPIC	AC020909.1/SPI1/SPIB/SPIC
Nvec_v1g81516	Ets.HG1.9:AC020909.1/SPI1/SPIB/SPIC	AC020909.1/SPI1/SPIB/SPIC
Nvec_vc1.1_XM_032366602.2	Ets.HG1.11:EHF/ELF3/ELF5	EHF/ELF3/ELF5
Nvec_v1g67598	Ets.HG1.11:EHF/ELF3/ELF5	EHF/ELF3/ELF5
Nvec_vc1.1_XM_032362934.2	Ets.HG1.11:EHF/ELF3/ELF5	EHF/ELF3/ELF5
Nvec_v1g81232	Ets.HG1.11:EHF/ELF3/ELF5	EHF/ELF3/ELF5
Nvec_vc1.1_XM_032384221.2	Ets.HG1.13:ETV6/ETV7	ETV6/ETV7
Nvec_v1g29806	Ets.HG1.13:ETV6/ETV7	ETV6/ETV7
Nvec_vc1.1_XM_048728028.1	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXB1/FOXB2
Nvec_v1g165261	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXA1/FOXA2/FOXA3
Nvec_v1g187332	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXB1/FOXB2
Nvec_vc1.1_XM_048724319.1	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6
Nvec_v1g93177	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6
Nvec_v1g228732	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_v1g110212	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_vc1.1_XM_001634111.3	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_vc1.1_XM_048728051.1	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_vc1.1_XM_032387167.2	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_v1g39632	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_vc1.1_XM_001637115.3	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_v1g165603	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	
Nvec_vc1.1_XM_001634505.3	Forkhead.HG1.1:FOXA1/FOXA2/FOXA3/FOXB1/FOXB2/FOXD1/FOXD2/FOXD3/FOXD4/FOXD4L1/FOXD4L3/FOXD4L4/FOXD4L5/FOXD4L6/FOXE1/FOXE3	FOXA1/FOXA2/FOXA3
Nvec_vc1.1_XM_032362607.2	Forkhead.HG1.5:FOXQ1	FOXQ1
Nvec_v1g201028	Forkhead.HG1.5:FOXQ1	FOXQ1
Nvec_v1g125256	Forkhead.HG1.9:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_032374352.2	Forkhead.HG1.9:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_001625950.3	Forkhead.HG1.10:FOXC1/FOXC2	FOXC1/FOXC2
Nvec_vc1.1_XM_001627792.3	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2	
Nvec_v1g121754	Forkhead.HG1.12:FOXN1/FOXN4/FOXR1/FOXR2	
Nvec_v1g39596	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_v1g59063	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_032386947.2	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_032379152.2	Forkhead.HG1.13:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_v1g19405	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_032378839.2	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_v1g96685	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_vc1.1_XM_032385706.2	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_v1g200356	Forkhead.HG1.14:like:FOXN1/FOXN2/FOXN3/FOXN4/FOXR1/FOXR2	
Nvec_v1g67209	Forkhead.HG1.16:FOXN2/FOXN3	FOXN3
Nvec_vc1.1_XM_048723945.1	Forkhead.HG1.16:FOXN2/FOXN3	FOXN3
Nvec_v1g58039	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	
Nvec_vc1.1_XM_032384126.2	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	
Nvec_vc1.1_XM_001627072.3	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	
Nvec_v1g123903	Forkhead.HG1.17:like:FOXI1/FOXI2/FOXI3/FOXL3	
Nvec_v1g67043	Forkhead.HG1.20:FOXL2	FOXL2
Nvec_vc1.1_XM_032364887.2	Forkhead.HG1.20:FOXL2	FOXL2
Nvec_v1g88569	Forkhead.HG1.22:FOXG1	FOXG1
Nvec_vc1.1_XM_001638841.3	Forkhead.HG1.22:FOXG1	FOXG1
Nvec_v1g118122	Forkhead.HG1.23:FOXK1/FOXK2	FOXK1/FOXK2
Nvec_vc1.1_XM_001628964.3	Forkhead.HG1.23:FOXK1/FOXK2	FOXK1/FOXK2
Nvec_v1g65438	Forkhead.HG1.24:FOXJ1	FOXJ1
