TF_ID	TF_Name	Species_Name	Status	Gene_ID	Family	Motif_ID
T034258_2.00	TFEC	Homo_sapiens	D	ENSG00000105967	bHLH	M02778_2.00,M04078_2.00,M04079_2.00
T034273_2.00	TWIST1	Homo_sapiens	D	ENSG00000122691	bHLH	M08052_2.00,M08722_2.00,M09831_2.00,M09832_2.00
T034299_2.00	USF1	Homo_sapiens	D	ENSG00000158773	bHLH	M02792_2.00,M04146_2.00,M04147_2.00,M07807_2.00,M07808_2.00,M07809_2.00,M07810_2.00,M07811_2.00,M08056_2.00,M08733_2.00,M09460_2.00,M09867_2.00,M09868_2.00,M09869_2.00
T034257_2.00	USF2	Homo_sapiens	D	ENSG00000105698	bHLH	M04076_2.00,M04077_2.00,M07785_2.00,M07786_2.00,M07787_2.00,M07788_2.00,M07789_2.00,M08050_2.00,M08715_2.00,M09812_2.00,M09813_2.00,M09814_2.00,M09815_2.00
T055457_2.00	MGA	Homo_sapiens	D	ENSG00000174197	bHLH,T-box	M02821_2.00,M02822_2.00,M02823_2.00
T059735_2.00	ATF1	Homo_sapiens	D	ENSG00000123268	bZIP	M08792_2.00,M09485_2.00,M09956_2.00,M09957_2.00,M09958_2.00
T059731_2.00	ATF2	Homo_sapiens	D	ENSG00000115966	bZIP	M04017_2.00,M04250_2.00,M04251_2.00,M04252_2.00,M04253_2.00,M08788_2.00,M09939_2.00,M09940_2.00,M09941_2.00,M09942_2.00
T059750_2.00	ATF3	Homo_sapiens	D	ENSG00000162772	bZIP	M04032_2.00,M04033_2.00,M04321_2.00,M04322_2.00,M04323_2.00,M04324_2.00,M07822_2.00,M07823_2.00,M07824_2.00,M07825_2.00,M08187_2.00,M08188_2.00,M08801_2.00,M09489_2.00,M09977_2.00,M09978_2.00,M09979_2.00,M09980_2.00,M09981_2.00
T059739_2.00	ATF4	Homo_sapiens	D	ENSG00000128272	bZIP	M02834_2.00,M04027_2.00,M04274_2.00,M04275_2.00,M04276_2.00,M08796_2.00,M09963_2.00,M09964_2.00,M09965_2.00
T059754_2.00	ATF5	Homo_sapiens	D	ENSG00000169136	bZIP	M09987_2.00
T059733_2.00	ATF6	Homo_sapiens	D	ENSG00000118217	bZIP	M04018_2.00,M04019_2.00,M04020_2.00,M04021_2.00,M04254_2.00,M04255_2.00,M04256_2.00,M04257_2.00,M08790_2.00,M09947_2.00
T059768_2.00	ATF6B	Homo_sapiens	D	ENSG00000213676	bZIP	M04041_2.00,M04042_2.00,M04043_2.00,M04044_2.00,M04375_2.00,M04376_2.00,M04377_2.00,M04378_2.00,M04379_2.00
T059748_2.00	BACH1	Homo_sapiens	D	ENSG00000156273	bZIP	M08184_2.00,M08185_2.00,M08186_2.00,M08800_2.00,M09488_2.00,M09975_2.00,M09976_2.00
T059730_2.00	BACH2	Homo_sapiens	D	ENSG00000112182	bZIP	M04247_2.00,M04248_2.00,M04249_2.00,M08065_2.00,M08787_2.00,M09484_2.00,M09938_2.00
T059747_2.00	BATF	Homo_sapiens	D	ENSG00000156127	bZIP	M04307_2.00,M04308_2.00,M07821_2.00,M08799_2.00,M09971_2.00,M09972_2.00,M09973_2.00,M09974_2.00
T059737_2.00	BATF3	Homo_sapiens	D	ENSG00000123685	bZIP	M02833_2.00,M04025_2.00,M04026_2.00,M04268_2.00,M04269_2.00,M04270_2.00,M04271_2.00,M08794_2.00,M09962_2.00
T059770_2.00	CEBPA	Homo_sapiens	D	ENSG00000245848	bZIP	M04045_2.00,M08076_2.00,M08813_2.00,M10023_2.00,M10024_2.00,M10025_2.00,M10026_2.00,M10027_2.00,M10028_2.00,M10029_2.00
T059757_2.00	CEBPB	Homo_sapiens	D	ENSG00000172216	bZIP	M02851_2.00,M02852_2.00,M04331_2.00,M04332_2.00,M05840_2.00,M07830_2.00,M07831_2.00,M07832_2.00,M08804_2.00,M09993_2.00,M09994_2.00,M09995_2.00,M09996_2.00,M09997_2.00,M09998_2.00
T059769_2.00	CEBPD	Homo_sapiens	D	ENSG00000221869	bZIP	M02859_2.00,M04380_2.00,M04381_2.00,M08812_2.00,M10020_2.00,M10021_2.00,M10022_2.00
T059723_2.00	CEBPE	Homo_sapiens	D	ENSG00000092067	bZIP	M02729_2.00,M02824_2.00,M04009_2.00,M04227_2.00,M04228_2.00,M08783_2.00,M09927_2.00,M09928_2.00,M09929_2.00
T059746_2.00	CEBPG	Homo_sapiens	D	ENSG00000153879	bZIP	M02840_2.00,M02841_2.00,M04028_2.00,M04303_2.00,M04304_2.00,M04305_2.00,M04306_2.00,M08798_2.00,M09969_2.00,M09970_2.00
T059734_2.00	CREB1	Homo_sapiens	D	ENSG00000118260	bZIP	M04022_2.00,M04023_2.00,M04258_2.00,M04259_2.00,M04260_2.00,M04261_2.00,M04262_2.00,M04263_2.00,M04264_2.00,M04265_2.00,M08066_2.00,M08791_2.00,M09948_2.00,M09949_2.00,M09950_2.00,M09951_2.00,M09952_2.00,M09953_2.00,M09954_2.00,M09955_2.00
T059727_2.00	CREB3	Homo_sapiens	D	ENSG00000107175	bZIP	M02829_2.00,M02830_2.00,M04014_2.00,M04015_2.00,M04239_2.00,M04240_2.00,M04241_2.00,M04242_2.00,M04243_2.00,M04244_2.00
T059749_2.00	CREB3L1	Homo_sapiens	D	ENSG00000157613	bZIP	M02842_2.00,M02843_2.00,M02844_2.00,M02845_2.00,M02846_2.00,M02847_2.00,M04029_2.00,M04030_2.00,M04031_2.00,M04309_2.00,M04310_2.00,M04311_2.00,M04312_2.00,M04313_2.00,M04314_2.00,M04315_2.00,M04316_2.00,M04317_2.00,M04318_2.00,M04319_2.00,M04320_2.00
T059744_2.00	CREB3L4	Homo_sapiens	D	ENSG00000143578	bZIP	M04293_2.00,M04294_2.00,M04295_2.00,M04296_2.00,M04297_2.00,M04298_2.00
T059745_2.00	CREB5	Homo_sapiens	D	ENSG00000146592	bZIP	M04299_2.00,M04300_2.00,M04301_2.00,M04302_2.00
T059724_2.00	CREM	Homo_sapiens	D	ENSG00000095794	bZIP	M04229_2.00,M04230_2.00,M08784_2.00,M09930_2.00,M09931_2.00
T059726_2.00	DBP	Homo_sapiens	D	ENSG00000105516	bZIP	M02827_2.00,M02828_2.00,M04013_2.00,M04235_2.00,M04236_2.00,M04237_2.00,M04238_2.00,M08785_2.00,M09934_2.00,M09935_2.00,M09936_2.00
T059758_2.00	DDIT3	Homo_sapiens	D	ENSG00000175197	bZIP	M09999_2.00
T059755_2.00	FOS	Homo_sapiens	D	ENSG00000170345	bZIP	M04327_2.00,M04328_2.00,M07826_2.00,M07827_2.00,M07828_2.00,M08069_2.00,M08802_2.00,M09988_2.00,M09989_2.00,M09990_2.00,M09991_2.00
T059738_2.00	FOSB	Homo_sapiens	D	ENSG00000125740	bZIP	M04272_2.00,M04273_2.00,M08795_2.00
T059759_2.00	FOSL1	Homo_sapiens	D	ENSG00000175592	bZIP	M04035_2.00,M04036_2.00,M04333_2.00,M04334_2.00,M04335_2.00,M04336_2.00,M04337_2.00,M04338_2.00,M07833_2.00,M08071_2.00,M08805_2.00,M09490_2.00,M10000_2.00,M10001_2.00,M10002_2.00,M10003_2.00
T059721_2.00	FOSL2	Homo_sapiens	D	ENSG00000075426	bZIP	M05834_2.00,M05835_2.00,M07812_2.00,M08064_2.00,M08781_2.00,M09924_2.00
T059728_2.00	HLF	Homo_sapiens	D	ENSG00000108924	bZIP	M02831_2.00,M04016_2.00,M04245_2.00,M04246_2.00,M08786_2.00,M09937_2.00
T059743_2.00	JDP2	Homo_sapiens	D	ENSG00000140044	bZIP	M02836_2.00,M02837_2.00,M02838_2.00,M02839_2.00,M04285_2.00,M04286_2.00,M04287_2.00,M04288_2.00,M04289_2.00,M04290_2.00,M04291_2.00,M04292_2.00
T059760_2.00	JUN	Homo_sapiens	D	ENSG00000177606	bZIP	M04037_2.00,M04038_2.00,M04339_2.00,M04340_2.00,M04341_2.00,M04342_2.00,M05841_2.00,M05842_2.00,M07834_2.00,M07835_2.00,M07836_2.00,M07837_2.00,M07838_2.00,M08072_2.00,M08073_2.00,M08806_2.00,M10004_2.00
T059756_2.00	JUNB	Homo_sapiens	D	ENSG00000171223	bZIP	M04329_2.00,M04330_2.00,M05838_2.00,M05839_2.00,M07829_2.00,M08070_2.00,M08803_2.00,M09992_2.00
T059741_2.00	JUND	Homo_sapiens	D	ENSG00000130522	bZIP	M04281_2.00,M04282_2.00,M04283_2.00,M04284_2.00,M05836_2.00,M05837_2.00,M07814_2.00,M07815_2.00,M07816_2.00,M07817_2.00,M07818_2.00,M07819_2.00,M07820_2.00,M08067_2.00,M08068_2.00,M08797_2.00,M09487_2.00,M09966_2.00,M09967_2.00,M09968_2.00
T059761_2.00	MAF	Homo_sapiens	D	ENSG00000178573	bZIP	M04343_2.00,M04344_2.00,M04345_2.00,M04346_2.00,M04347_2.00,M04348_2.00,M04349_2.00,M04350_2.00,M08807_2.00,M10005_2.00,M10006_2.00,M10007_2.00
T059763_2.00	MAFA	Homo_sapiens	D	ENSG00000182759	bZIP	M04351_2.00,M04352_2.00,M04353_2.00,M04354_2.00,M04355_2.00,M04356_2.00,M10008_2.00,M10009_2.00,M10010_2.00,M10011_2.00
T059767_2.00	MAFB	Homo_sapiens	D	ENSG00000204103	bZIP	M04040_2.00,M08811_2.00,M10017_2.00,M10018_2.00,M10019_2.00
T059764_2.00	MAFF	Homo_sapiens	D	ENSG00000185022	bZIP	M02853_2.00,M04357_2.00,M04358_2.00,M04359_2.00,M04360_2.00,M04361_2.00,M04362_2.00,M04363_2.00,M04364_2.00,M07839_2.00,M08074_2.00,M08808_2.00,M10012_2.00,M10013_2.00
T059765_2.00	MAFG	Homo_sapiens	D	ENSG00000197063	bZIP	M02854_2.00,M04039_2.00,M04365_2.00,M04366_2.00,M04367_2.00,M04368_2.00,M04369_2.00,M04370_2.00,M04371_2.00,M04372_2.00,M04373_2.00,M04374_2.00,M08809_2.00,M10014_2.00
T059766_2.00	MAFK	Homo_sapiens	D	ENSG00000198517	bZIP	M02855_2.00,M02856_2.00,M02857_2.00,M02858_2.00,M07840_2.00,M07841_2.00,M08075_2.00,M08810_2.00,M10015_2.00,M10016_2.00
T059736_2.00	NFE2	Homo_sapiens	D	ENSG00000123405	bZIP	M02832_2.00,M04024_2.00,M04266_2.00,M04267_2.00,M07813_2.00,M08793_2.00,M09486_2.00,M09959_2.00,M09960_2.00,M09961_2.00
T059722_2.00	NFE2L1	Homo_sapiens	D	ENSG00000082641	bZIP	M04008_2.00,M08782_2.00,M09925_2.00,M09926_2.00
T059732_2.00	NFE2L2	Homo_sapiens	D	ENSG00000116044	bZIP	M08789_2.00,M09943_2.00,M09944_2.00,M09945_2.00,M09946_2.00
T059719_2.00	NFE2L3	Homo_sapiens	D	ENSG00000050344	bZIP	M09923_2.00
T059751_2.00	NFIL3	Homo_sapiens	D	ENSG00000165030	bZIP	M02658_2.00,M02848_2.00,M04034_2.00,M09982_2.00
T059740_2.00	NRL	Homo_sapiens	D	ENSG00000129535	bZIP	M02835_2.00,M04277_2.00,M04278_2.00,M04279_2.00,M04280_2.00
T059752_2.00	TEF	Homo_sapiens	D	ENSG00000167074	bZIP	M02849_2.00,M02850_2.00,M04325_2.00,M04326_2.00,M09983_2.00,M09984_2.00,M09985_2.00,M09986_2.00
T059725_2.00	XBP1	Homo_sapiens	D	ENSG00000100219	bZIP	M02730_2.00,M02825_2.00,M02826_2.00,M04010_2.00,M04011_2.00,M04012_2.00,M04231_2.00,M04232_2.00,M04233_2.00,M04234_2.00,M09932_2.00,M09933_2.00
T075500_2.00	ATF7	Homo_sapiens	D	ENSG00000170653	bZIP,C2H2 ZF	M02872_2.00,M04382_2.00,M04383_2.00
T094871_2.00	BCL11A	Homo_sapiens	D	ENSG00000119866	C2H2 ZF	M00983_2.00,M00984_2.00,M00985_2.00,M07926_2.00,M08881_2.00,M10187_2.00
T094903_2.00	BCL11B	Homo_sapiens	D	ENSG00000127152	C2H2 ZF	M00986_2.00,M00987_2.00,M00988_2.00,M04453_2.00,M04454_2.00
T094856_2.00	BCL6	Homo_sapiens	D	ENSG00000113916	C2H2 ZF	M00227_2.00,M00228_2.00,M04424_2.00,M04425_2.00,M04426_2.00,M04427_2.00,M08877_2.00,M10180_2.00,M10181_2.00,M10182_2.00,M10183_2.00,M10184_2.00
T095014_2.00	BCL6B	Homo_sapiens	D	ENSG00000161940	C2H2 ZF	M02896_2.00,M04499_2.00,M04500_2.00,M04501_2.00,M04502_2.00
T094831_2.00	CTCF	Homo_sapiens	D	ENSG00000102974	C2H2 ZF	M02878_2.00,M05846_2.00,M07550_2.00,M07551_2.00,M07552_2.00,M07862_2.00,M07863_2.00,M07864_2.00,M07865_2.00,M07866_2.00,M07867_2.00,M07868_2.00,M07869_2.00,M07870_2.00,M07871_2.00,M07872_2.00,M07873_2.00,M07874_2.00,M07875_2.00,M07876_2.00,M07877_2.00,M07878_2.00,M07879_2.00,M07880_2.00,M07881_2.00,M07882_2.00,M07883_2.00,M07884_2.00,M07885_2.00,M07886_2.00,M07887_2.00,M07888_2.00,M07889_2.00,M07890_2.00,M07891_2.00,M07892_2.00,M07893_2.00,M07894_2.00,M07895_2.00,M07896_2.00,M07897_2.00,M07898_2.00,M07899_2.00,M07900_2.00,M07901_2.00,M07902_2.00,M07903_2.00,M07904_2.00,M07905_2.00,M07906_2.00,M07907_2.00,M07908_2.00,M07909_2.00,M07910_2.00,M07911_2.00,M07912_2.00,M07913_2.00,M07914_2.00,M07915_2.00,M07916_2.00,M07917_2.00,M07918_2.00,M07919_2.00,M07920_2.00,M07921_2.00,M07922_2.00,M07923_2.00,M07924_2.00,M07925_2.00,M08087_2.00,M08238_2.00,M08289_2.00,M08869_2.00,M09503_2.00,M09504_2.00,M10152_2.00,M10153_2.00,M10154_2.00,M10155_2.00,M10156_2.00,M10157_2.00,M10158_2.00,M10159_2.00
T094884_2.00	CTCFL	Homo_sapiens	D	ENSG00000124092	C2H2 ZF	M07930_2.00,M08089_2.00,M08885_2.00,M09507_2.00,M10200_2.00
T094780_2.00	DPF1	Homo_sapiens	D	ENSG00000011332	C2H2 ZF	M04388_2.00,M04389_2.00
T095066_2.00	E4F1	Homo_sapiens	D	ENSG00000167967	C2H2 ZF	M10255_2.00,M10256_2.00
T094872_2.00	EGR1	Homo_sapiens	D	ENSG00000120738	C2H2 ZF	M02883_2.00,M02884_2.00,M04437_2.00,M04438_2.00,M07927_2.00,M07928_2.00,M07929_2.00,M08882_2.00,M09506_2.00,M10188_2.00,M10189_2.00,M10190_2.00,M10191_2.00,M10192_2.00,M10193_2.00,M10194_2.00,M10195_2.00,M10196_2.00
T094882_2.00	EGR2	Homo_sapiens	D	ENSG00000122877	C2H2 ZF	M00229_2.00,M00230_2.00,M00231_2.00,M00232_2.00,M00233_2.00,M02885_2.00,M02886_2.00,M04439_2.00,M04440_2.00,M08302_2.00,M08884_2.00,M10197_2.00,M10198_2.00,M10199_2.00
T095176_2.00	EGR3	Homo_sapiens	D	ENSG00000179388	C2H2 ZF	M02915_2.00,M04583_2.00,M04584_2.00,M08349_2.00,M10279_2.00,M10280_2.00,M10281_2.00
