ID_JGI_Vienna	ID_Vienna	ID_JGI	ID_DToL
Nvec_NVE7563	NVE7563		Nvec_NVE7563
Nvec_v1g122371	NVE7564	v1g122371	Nvec_v1g122371
Nvec_v1g122453	NVE7564	v1g122453	Nvec_v1g122453
Nvec_v1g122372	NVE7565	v1g122372	Nvec_vc1.1_XM_048726439.1
Nvec_v1g122468	NVE7566	v1g122468	Nvec_vc1.1_XM_001627578.3
Nvec_v1g27718	NVE7567	v1g27718	Nvec_vc1.1_XM_032375423.2
Nvec_v1g245986	NVE7568	v1g245986	Nvec_vc1.1_XM_032375421.2
Nvec_v1g27652	NVE7568	v1g27652	Nvec_vc1.1_XM_032375421.2
Nvec_v1g122473	NVE7570	v1g122473	Nvec_vc1.1_XM_032375407.2
Nvec_v1g122436	NVE7570	v1g122436	Nvec_vc1.1_XM_032375407.2
Nvec_v1g191018	NVE7571	v1g191018	Nvec_vc1.1_XM_032375416.2
Nvec_v1g171810	NVE7571	v1g171810	Nvec_vc1.1_XM_032375416.2
Nvec_v1g171813	NVE7572	v1g171813	Nvec_vc1.1_XM_001627573.3
Nvec_v1g230451	NVE7573	v1g230451	Nvec_vc1.1_XM_001627584.3
Nvec_v1g245992	NVE7574	v1g245992	Nvec_vc1.1_XM_048726469.1
Nvec_v1g122369	NVE7575	v1g122369	Nvec_vc1.1_XM_048726490.1
Nvec_NVE7576	NVE7576		Nvec_NVE7576
Nvec_v1g122395	NVE7577	v1g122395	Nvec_vc1.1_XM_032375405.2
Nvec_v1g122407	NVE7577	v1g122407	Nvec_vc1.1_XM_032375405.2
Nvec_v1g122407	NVE7578	v1g122407	Nvec_vc1.1_XM_032375405.2
Nvec_NVE7579	NVE7579		Nvec_vc1.1_XM_032375400.2
Nvec_NVE7580	NVE7580		Nvec_NVE7580
Nvec_NVE7581	NVE7581		Nvec_vc1.1_XM_032375390.2
Nvec_NVE7582	NVE7582		Nvec_NVE7582
Nvec_NVE7583	NVE7583		Nvec_vc1.1_XM_048725916.1
Nvec_NVE16262	NVE16262		Nvec_NVE16262
Nvec_v1g151150	NVE16261	v1g151150	Nvec_vc1.1_XM_001638789.3
Nvec_NVE18434	NVE18434		Nvec_vc1.1_XM_048725366.1
Nvec_NVE2893	NVE2893		Nvec_vc1.1_XM_048726271.1
Nvec_NVE1123	NVE1123		Nvec_vc1.1_XM_048724471.1
Nvec_v1g222993	NVE9174	v1g222993	Nvec_vc1.1_XM_048720344.1
Nvec_v1g3596	NVE9175	v1g3596	Nvec_vc1.1_XM_048720348.1
Nvec_NVE2575	NVE2575		Nvec_vc1.1_XM_001627345.3
Nvec_v1g147788	NVE9173	v1g147788	Nvec_vc1.1_XM_048724386.1
Nvec_NVE22950	NVE22950		Nvec_NVE22950
Nvec_NVE22951	NVE22951		Nvec_NVE22951
Nvec_v1g223262	NVE10784	v1g223262	Nvec_vc1.1_XM_048723140.1
Nvec_NVE22952	NVE22952		Nvec_NVE22952
Nvec_NVE22953	NVE22953		Nvec_NVE22953
Nvec_v1g154387	NVE22954	v1g154387	Nvec_vc1.1_XM_001625671.3
Nvec_v1g154385	NVE22954	v1g154385	Nvec_vc1.1_XM_001625671.3
Nvec_v1g225411	NVE24771	v1g225411	Nvec_vc1.1_XM_032384096.2
Nvec_NVE5916	NVE5916		Nvec_NVE5916
Nvec_v1g48572	NVE10783	v1g48572	Nvec_vc1.1_XM_001640629.3
Nvec_NVE3558	NVE3558		Nvec_vc1.1_XM_001635003.3
Nvec_v1g7333	NVE16021	v1g7333	Nvec_vc1.1_XM_032380592.2
Nvec_NVE20422	NVE20422		Nvec_vc1.1_XM_048732022.1
Nvec_NVE20422	NVE20422		Nvec_vc1.1_XM_048732930.1
Nvec_NVE20425	NVE20425		Nvec_vc1.1_XM_001632017.3
Nvec_NVE20424	NVE20424		Nvec_vc1.1_XM_001629643.3
Nvec_v1g49907	NVE3224	v1g49907	Nvec_vc1.1_XM_032377231.2
Nvec_NVE3223	NVE3223		Nvec_vc1.1_XM_001635319.3
Nvec_v1g150958	NVE15904	v1g150958	Nvec_vc1.1_XM_032387280.2
Nvec_NVE5822	NVE5822		Nvec_vc1.1_XM_048724470.1
Nvec_v1g224061	NVE15903	v1g224061	Nvec_vc1.1_XM_048721810.1
Nvec_v1g44446	NVE15901	v1g44446	Nvec_vc1.1_XM_048725343.1
Nvec_v1g223002	NVE9183	v1g223002	Nvec_vc1.1_XM_032380486.2
Nvec_NVE15902	NVE15902		Nvec_vc1.1_XM_001640454.3
Nvec_NVE16904	NVE16904		Nvec_NVE16904
Nvec_NVE16906	NVE16906		Nvec_vc1.1_XM_032371130.2
Nvec_v1g224179	NVE16905	v1g224179	Nvec_vc1.1_XM_048721880.1
Nvec_NVE16907	NVE16907		Nvec_vc1.1_XM_001632161.3
Nvec_NVE16908	NVE16908		Nvec_vc1.1_XM_032381251.1
Nvec_NVE16909	NVE16909		Nvec_vc1.1_XM_048732468.1
Nvec_v1g155067	NVE24335	v1g155067	Nvec_vc1.1_XM_048729299.1
Nvec_NVE23259	NVE23259		Nvec_vc1.1_XM_048731675.1
Nvec_NVE23260	NVE23260		Nvec_vc1.1_XM_048730050.1
Nvec_v1g246767	NVE10478	v1g246767	Nvec_vc1.1_XM_048734536.1
Nvec_v1g246767	NVE10479	v1g246767	Nvec_vc1.1_XM_048734536.1
Nvec_NVE10480	NVE10480		Nvec_vc1.1_XM_032373702.2
Nvec_v1g127669	NVE10481	v1g127669	Nvec_vc1.1_XM_001626062.3
Nvec_v1g13116	NVE10482	v1g13116	Nvec_vc1.1_XM_032373695.2
Nvec_v1g127715	NVE10483	v1g127715	Nvec_v1g127715
Nvec_v1g246769	NVE10484	v1g246769	Nvec_vc1.1_XM_001626050.3
Nvec_NVE10485	NVE10485		Nvec_NVE10485
Nvec_v1g246770	NVE10486	v1g246770	Nvec_vc1.1_XM_032373677.2
Nvec_NVE10487	NVE10487		Nvec_vc1.1_XM_032373678.2
Nvec_v1g127691	NVE10488	v1g127691	Nvec_vc1.1_XM_032373683.2
Nvec_v1g127657	NVE10489	v1g127657	Nvec_vc1.1_XM_001626052.3
Nvec_v1g227398	NVE10490	v1g227398	Nvec_vc1.1_XM_001626066.3
Nvec_v1g215851	NVE10491	v1g215851	Nvec_vc1.1_XM_032373681.2
Nvec_NVE10492	NVE10492		Nvec_NVE10492
Nvec_v1g173228	NVE10493	v1g173228	Nvec_vc1.1_XM_048734402.1
Nvec_v1g173228	NVE10494	v1g173228	Nvec_vc1.1_XM_048734402.1
Nvec_v1g127713	NVE10495	v1g127713	Nvec_vc1.1_XM_032373673.2
Nvec_NVE10496	NVE10496		Nvec_vc1.1_XM_048734442.1
Nvec_NVE10497	NVE10497		Nvec_vc1.1_XM_032373669.2
Nvec_v1g127730	NVE10498	v1g127730	Nvec_vc1.1_XM_048734360.1
Nvec_NVE10499	NVE10499		Nvec_vc1.1_XM_032373669.2
Nvec_v1g127721	NVE10500	v1g127721	Nvec_vc1.1_XM_048734360.1
Nvec_v1g215863	NVE10501	v1g215863	Nvec_vc1.1_XM_032373687.2
Nvec_v1g173232	NVE10502	v1g173232	Nvec_vc1.1_XM_001626057.3
Nvec_v1g246779	NVE10503	v1g246779	Nvec_vc1.1_XM_001626072.3
Nvec_NVE10504	NVE10504		Nvec_vc1.1_XM_032373685.2
Nvec_NVE10505	NVE10505		Nvec_vc1.1_XM_032372321.2
Nvec_NVE10506	NVE10506		Nvec_NVE10506
Nvec_v1g215872	NVE10507	v1g215872	Nvec_vc1.1_XM_001626059.3
Nvec_NVE10508	NVE10508		Nvec_vc1.1_XM_032373697.2
Nvec_NVE10509	NVE10509		Nvec_vc1.1_XM_032373701.2
Nvec_v1g127712	NVE10510	v1g127712	Nvec_vc1.1_XM_001626073.3
Nvec_NVE10511	NVE10511		Nvec_NVE10511
Nvec_v1g246781	NVE10512	v1g246781	Nvec_vc1.1_XM_032373693.2
Nvec_v1g127675	NVE10513	v1g127675	Nvec_vc1.1_XM_048734383.1
Nvec_NVE10445	NVE10445		Nvec_NVE10445
Nvec_v1g215811	NVE10446	v1g215811	Nvec_vc1.1_XM_032369459.2
Nvec_v1g127582	NVE10447	v1g127582	Nvec_vc1.1_XM_032373726.2
Nvec_v1g233468	NVE10448	v1g233468	Nvec_vc1.1_XM_032373722.2
Nvec_NVE10449	NVE10449		Nvec_NVE10449
Nvec_NVE10450	NVE10450		Nvec_vc1.1_XM_048725687.1
Nvec_NVE10451	NVE10451		Nvec_vc1.1_XM_048725687.1
Nvec_NVE10452	NVE10452		Nvec_vc1.1_XM_048725466.1
Nvec_NVE10453	NVE10453		Nvec_NVE10453
Nvec_NVE10454	NVE10454		Nvec_NVE10454
Nvec_NVE10455	NVE10455		Nvec_vc1.1_XM_032373728.2
Nvec_v1g14584	NVE10456	v1g14584	Nvec_vc1.1_XM_032373709.2
Nvec_v1g246762	NVE10457	v1g246762	Nvec_vc1.1_XM_001626091.3
Nvec_v1g127620	NVE10458	v1g127620	Nvec_vc1.1_XM_048724979.1
Nvec_v1g127599	NVE10458	v1g127599	Nvec_vc1.1_XM_048724979.1
Nvec_v1g192413	NVE10459	v1g192413	Nvec_vc1.1_XM_032373732.2
Nvec_v1g127574	NVE10460	v1g127574	Nvec_vc1.1_XM_032373727.2
Nvec_v1g127574	NVE10461	v1g127574	Nvec_vc1.1_XM_032373727.2
Nvec_NVE10462	NVE10462		Nvec_NVE10462
Nvec_v1g246766	NVE10463	v1g246766	Nvec_vc1.1_XM_032373715.2
Nvec_v1g233471	NVE10464	v1g233471	Nvec_v1g233471
Nvec_v1g233472	NVE10465	v1g233472	Nvec_vc1.1_XM_001626082.3
Nvec_v1g127603	NVE10466	v1g127603	Nvec_vc1.1_XM_048725400.1
Nvec_NVE10467	NVE10467		Nvec_NVE10467
Nvec_NVE10468	NVE10468		Nvec_vc1.1_XM_048725395.1
Nvec_v1g215838	NVE10469	v1g215838	Nvec_v1g215838
Nvec_v1g215907	NVE10550	v1g215907	Nvec_vc1.1_XM_048724145.1
Nvec_NVE10551	NVE10551		Nvec_vc1.1_XM_048720475.1
Nvec_v1g246794	NVE10552	v1g246794	Nvec_vc1.1_XM_001625995.3
Nvec_v1g235818	NVE10553	v1g235818	Nvec_vc1.1_XM_001626010.3
Nvec_v1g215911	NVE10554	v1g215911	Nvec_vc1.1_XM_048724424.1
Nvec_v1g48313	NVE10555	v1g48313	Nvec_vc1.1_XM_032373617.2
Nvec_v1g48313	NVE10555	v1g48313	Nvec_vc1.1_XM_032373619.2
Nvec_NVE10556	NVE10556		Nvec_vc1.1_XM_032373619.2
Nvec_v1g127891	NVE10557	v1g127891	Nvec_vc1.1_XM_032373618.2
Nvec_NVE10558	NVE10558		Nvec_vc1.1_XM_032373619.2
Nvec_v1g127828	NVE10559	v1g127828	Nvec_vc1.1_XM_001625997.3
Nvec_v1g192469	NVE10560	v1g192469	Nvec_vc1.1_XM_001625998.3
Nvec_NVE10561	NVE10561		Nvec_vc1.1_XM_032373635.2
Nvec_v1g173264	NVE10562	v1g173264	Nvec_vc1.1_XM_001626014.3
Nvec_v1g127863	NVE10563	v1g127863	Nvec_vc1.1_XM_032373632.2
Nvec_v1g246802	NVE10564	v1g246802	Nvec_vc1.1_XM_048723782.1
Nvec_v1g192479	NVE10565	v1g192479	Nvec_vc1.1_XM_001626016.3
Nvec_NVE10566	NVE10566		Nvec_vc1.1_XM_032373621.2
Nvec_v1g127814	NVE10567	v1g127814	Nvec_vc1.1_XM_032373621.2
Nvec_v1g215928	NVE10568	v1g215928	Nvec_vc1.1_XM_032373613.2
Nvec_v1g215929	NVE10569	v1g215929	Nvec_vc1.1_XM_032373615.2
Nvec_v1g233482	NVE10570	v1g233482	Nvec_vc1.1_XM_001626019.3
Nvec_v1g246807	NVE10571	v1g246807	Nvec_vc1.1_XM_001626003.3
Nvec_v1g127824	NVE10572	v1g127824	Nvec_vc1.1_XM_032373614.2
Nvec_v1g173281	NVE10573	v1g173281	Nvec_vc1.1_XM_048724126.1
Nvec_v1g192492	NVE10574	v1g192492	Nvec_vc1.1_XM_048724040.1
Nvec_v1g127893	NVE10575	v1g127893	Nvec_vc1.1_XM_032373624.2
Nvec_NVE10576	NVE10576		Nvec_NVE10576
Nvec_v1g235823	NVE10577	v1g235823	Nvec_vc1.1_XM_001626023.3
Nvec_NVE10578	NVE10578		Nvec_NVE10578
Nvec_v1g127852	NVE10579	v1g127852	Nvec_vc1.1_XM_048724045.1
Nvec_v1g127871	NVE10580	v1g127871	Nvec_vc1.1_XM_001626025.3
Nvec_v1g192499	NVE10581	v1g192499	Nvec_vc1.1_XM_001626026.3
Nvec_v1g127820	NVE10582	v1g127820	Nvec_v1g127820
Nvec_v1g127845	NVE10583	v1g127845	Nvec_vc1.1_XM_048724044.1
Nvec_NVE10584	NVE10584		Nvec_vc1.1_XM_048724044.1
Nvec_v1g127874	NVE10585	v1g127874	Nvec_vc1.1_XM_048723636.1
Nvec_v1g215948	NVE10585	v1g215948	Nvec_vc1.1_XM_001622226.3
Nvec_v1g215948	NVE10586	v1g215948	Nvec_vc1.1_XM_001622226.3
Nvec_v1g246782	NVE10522	v1g246782	Nvec_vc1.1_XM_001626038.3
Nvec_NVE10523	NVE10523		Nvec_vc1.1_XM_032373657.2
Nvec_v1g215881	NVE10524	v1g215881	Nvec_vc1.1_XM_001626039.3
Nvec_v1g246784	NVE10525	v1g246784	Nvec_vc1.1_XM_048727779.1
Nvec_NVE10526	NVE10526		Nvec_vc1.1_XM_048727790.1
Nvec_v1g215886	NVE10527	v1g215886	Nvec_vc1.1_XM_032373664.2
Nvec_v1g215888	NVE10528	v1g215888	Nvec_vc1.1_XM_048720465.1
Nvec_v1g215889	NVE10529	v1g215889	Nvec_vc1.1_XM_001626042.3
Nvec_v1g127783	NVE10530	v1g127783	Nvec_vc1.1_XM_032373640.2
Nvec_v1g173246	NVE10531	v1g173246	Nvec_vc1.1_XM_001626043.3
Nvec_NVE10532	NVE10532		Nvec_NVE10532
Nvec_v1g215897	NVE10533	v1g215897	Nvec_vc1.1_XM_048728072.1
Nvec_v1g215900	NVE10534	v1g215900	Nvec_vc1.1_XM_032373647.2
Nvec_v1g127768	NVE10535	v1g127768	Nvec_vc1.1_XM_032373652.2
Nvec_v1g127746	NVE10536	v1g127746	Nvec_vc1.1_XM_048728069.1
Nvec_v1g215902	NVE10536	v1g215902	Nvec_vc1.1_XM_048728069.1
Nvec_v1g246793	NVE10536	v1g246793	Nvec_vc1.1_XM_032373641.2
Nvec_v1g246793	NVE10537	v1g246793	Nvec_vc1.1_XM_032373641.2
Nvec_v1g230727	NVE10538	v1g230727	Nvec_vc1.1_XM_048728010.1
Nvec_v1g230727	NVE10539	v1g230727	Nvec_vc1.1_XM_048728010.1
Nvec_v1g127769	NVE10540	v1g127769	Nvec_vc1.1_XM_048728010.1
Nvec_v1g127757	NVE10541	v1g127757	Nvec_vc1.1_XM_048728010.1
Nvec_v1g127757	NVE10542	v1g127757	Nvec_vc1.1_XM_048728010.1
Nvec_NVE10617	NVE10617		Nvec_NVE10617
Nvec_NVE10618	NVE10618		Nvec_vc1.1_XM_048732730.1
Nvec_v1g128006	NVE10619	v1g128006	Nvec_vc1.1_XM_001625947.2
Nvec_v1g173306	NVE10620	v1g173306	Nvec_vc1.1_XM_001625948.3
Nvec_NVE10621	NVE10621		Nvec_vc1.1_XM_032373546.2
Nvec_NVE10622	NVE10622		Nvec_vc1.1_XM_032373546.2
Nvec_v1g246824	NVE10623	v1g246824	Nvec_vc1.1_XM_001625969.3
Nvec_v1g215972	NVE10623	v1g215972	Nvec_vc1.1_XM_001625968.3
Nvec_v1g215972	NVE10623	v1g215972	Nvec_vc1.1_XM_001625969.3
Nvec_v1g215973	NVE10623	v1g215973	Nvec_vc1.1_XM_001625969.3
Nvec_v1g215972	NVE10624	v1g215972	Nvec_vc1.1_XM_001625968.3
Nvec_v1g215972	NVE10624	v1g215972	Nvec_vc1.1_XM_001625969.3
Nvec_v1g173313	NVE10625	v1g173313	Nvec_vc1.1_XM_032373559.2
Nvec_v1g128041	NVE10626	v1g128041	Nvec_vc1.1_XM_001625970.3
Nvec_NVE10627	NVE10627		Nvec_vc1.1_XM_032373560.2
Nvec_NVE10627	NVE10627		Nvec_vc1.1_XM_001625970.3
Nvec_NVE10628	NVE10628		Nvec_NVE10628
Nvec_v1g192525	NVE10629	v1g192525	Nvec_vc1.1_XM_001625950.3
Nvec_v1g215978	NVE10630	v1g215978	Nvec_vc1.1_XM_001625971.3
Nvec_v1g215979	NVE10631	v1g215979	Nvec_vc1.1_XM_001625951.3
Nvec_NVE10632	NVE10632		Nvec_vc1.1_XM_048720781.1
Nvec_NVE10633	NVE10633		Nvec_NVE10633
Nvec_NVE10634	NVE10634		Nvec_NVE10634
Nvec_NVE10635	NVE10635		Nvec_vc1.1_XM_032373580.2
Nvec_v1g246829	NVE10636	v1g246829	Nvec_vc1.1_XM_001625972.3
Nvec_v1g246830	NVE10637	v1g246830	Nvec_vc1.1_XM_048720432.1
Nvec_v1g246830	NVE10638	v1g246830	Nvec_vc1.1_XM_048720432.1
Nvec_NVE10639	NVE10639		Nvec_vc1.1_XM_032373587.2
Nvec_v1g13724	NVE10640	v1g13724	Nvec_vc1.1_XM_001625953.3
Nvec_v1g128014	NVE10641	v1g128014	Nvec_vc1.1_XM_032373579.1
Nvec_v1g128042	NVE10641	v1g128042	Nvec_vc1.1_XM_032373579.1
Nvec_v1g173323	NVE10642	v1g173323	Nvec_vc1.1_XM_001625954.3
Nvec_v1g128033	NVE10643	v1g128033	Nvec_vc1.1_XM_001625955.3
Nvec_NVE10644	NVE10644		Nvec_NVE10644
Nvec_v1g246834	NVE10645	v1g246834	Nvec_vc1.1_XM_001625957.2
Nvec_v1g173328	NVE10646	v1g173328	Nvec_vc1.1_XM_001625975.3
Nvec_v1g127970	NVE10647	v1g127970	Nvec_vc1.1_XM_001625958.3
Nvec_v1g128053	NVE10648	v1g128053	Nvec_vc1.1_XM_032373556.2
Nvec_v1g216000	NVE10649	v1g216000	Nvec_vc1.1_XM_032373555.2
Nvec_v1g173335	NVE10650	v1g173335	Nvec_vc1.1_XM_048720585.1
Nvec_v1g216003	NVE10651	v1g216003	Nvec_vc1.1_XM_001625977.1
Nvec_v1g216004	NVE10652	v1g216004	Nvec_vc1.1_XM_032373576.2
Nvec_v1g128015	NVE10653	v1g128015	Nvec_vc1.1_XM_048721206.1
Nvec_v1g128004	NVE10653	v1g128004	Nvec_vc1.1_XM_048721206.1
Nvec_v1g14438	NVE10654	v1g14438	Nvec_vc1.1_XM_001625964.3
Nvec_v1g216007	NVE10655	v1g216007	Nvec_vc1.1_XM_032373577.2
Nvec_v1g246842	NVE10656	v1g246842	Nvec_vc1.1_XM_048721204.1
Nvec_v1g215949	NVE10598	v1g215949	Nvec_vc1.1_XM_048731055.1
Nvec_v1g215950	NVE10599	v1g215950	Nvec_vc1.1_XM_032373611.2
Nvec_v1g127924	NVE10600	v1g127924	Nvec_vc1.1_XM_048731060.1
Nvec_v1g127934	NVE10600	v1g127934	Nvec_vc1.1_XM_048731060.1
Nvec_v1g246817	NVE10601	v1g246817	Nvec_v1g246817
Nvec_v1g127920	NVE10601	v1g127920	Nvec_v1g127920
Nvec_v1g246818	NVE10602	v1g246818	Nvec_v1g246818
Nvec_v1g127923	NVE10603	v1g127923	Nvec_v1g127923
Nvec_v1g215963	NVE10604	v1g215963	Nvec_vc1.1_XM_001630858.3
Nvec_NVE10605	NVE10605		Nvec_NVE10605
Nvec_NVE10606	NVE10606		Nvec_vc1.1_XM_048734394.1
Nvec_NVE10607	NVE10607		Nvec_vc1.1_XM_048734394.1
Nvec_v1g246845	NVE10693	v1g246845	Nvec_vc1.1_XM_048729916.1
Nvec_NVE10694	NVE10694		Nvec_vc1.1_XM_048721970.1
Nvec_v1g237443	NVE10695	v1g237443	Nvec_vc1.1_XM_001625903.3
Nvec_v1g128202	NVE10696	v1g128202	Nvec_vc1.1_XM_032373525.2
Nvec_v1g128248	NVE10697	v1g128248	Nvec_vc1.1_XM_032373527.2
Nvec_NVE10698	NVE10698		Nvec_vc1.1_XM_032373529.2
Nvec_v1g55147	NVE10699	v1g55147	Nvec_vc1.1_XM_032373526.2
Nvec_NVE10700	NVE10700		Nvec_vc1.1_XM_032373523.2
Nvec_NVE10701	NVE10701		Nvec_vc1.1_XM_032373522.2
Nvec_v1g216042	NVE10702	v1g216042	Nvec_vc1.1_XM_048722128.1
Nvec_v1g128245	NVE10703	v1g128245	Nvec_vc1.1_XM_001625922.3
Nvec_v1g216044	NVE10704	v1g216044	Nvec_vc1.1_XM_032373517.2
Nvec_v1g216045	NVE10705	v1g216045	Nvec_vc1.1_XM_032373531.2
Nvec_v1g11296	NVE10706	v1g11296	Nvec_vc1.1_XM_001625909.3
Nvec_NVE10707	NVE10707		Nvec_vc1.1_XM_032373513.2
Nvec_v1g128198	NVE10708	v1g128198	Nvec_vc1.1_XM_001625923.3
Nvec_v1g216049	NVE10709	v1g216049	Nvec_vc1.1_XM_032373516.2
Nvec_v1g216049	NVE10709	v1g216049	Nvec_vc1.1_XM_032380511.2
Nvec_v1g216049	NVE10710	v1g216049	Nvec_vc1.1_XM_032373516.2
Nvec_v1g216049	NVE10710	v1g216049	Nvec_vc1.1_XM_032380511.2
Nvec_v1g128215	NVE10711	v1g128215	Nvec_vc1.1_XM_032373514.2
Nvec_v1g128256	NVE10711	v1g128256	Nvec_vc1.1_XM_032373514.2
Nvec_v1g216053	NVE10712	v1g216053	Nvec_vc1.1_XM_032373519.2
Nvec_v1g216054	NVE10713	v1g216054	Nvec_vc1.1_XM_032373521.2
Nvec_v1g18799	NVE10714	v1g18799	Nvec_vc1.1_XM_048722139.1
Nvec_v1g246855	NVE10715	v1g246855	Nvec_vc1.1_XM_001625926.3
Nvec_v1g216057	NVE10716	v1g216057	Nvec_vc1.1_XM_001625915.3
Nvec_NVE10717	NVE10717		Nvec_vc1.1_XM_032373510.2
Nvec_v1g128230	NVE10718	v1g128230	Nvec_vc1.1_XM_032373511.2
Nvec_NVE10719	NVE10719		Nvec_NVE10719
Nvec_v1g216064	NVE10720	v1g216064	Nvec_vc1.1_XM_001625916.3
Nvec_v1g128201	NVE10721	v1g128201	Nvec_vc1.1_XM_032373506.2
Nvec_v1g128208	NVE10722	v1g128208	Nvec_vc1.1_XM_032373504.2
Nvec_v1g216070	NVE10722	v1g216070	Nvec_vc1.1_XM_032373504.2
Nvec_v1g16006	NVE10723	v1g16006	Nvec_vc1.1_XM_001625918.3
Nvec_NVE10724	NVE10724		Nvec_NVE10724
Nvec_NVE10667	NVE10667		Nvec_vc1.1_XM_048722224.1
Nvec_NVE10668	NVE10668		Nvec_vc1.1_XM_048722235.1
Nvec_NVE10668	NVE10668		Nvec_vc1.1_XM_048722237.1
Nvec_NVE10669	NVE10669		Nvec_vc1.1_XM_048722224.1
Nvec_NVE10670	NVE10670		Nvec_NVE10670
Nvec_NVE10671	NVE10671		Nvec_vc1.1_XM_032373534.2
Nvec_v1g128074	NVE10672	v1g128074	Nvec_vc1.1_XM_048722228.1
Nvec_v1g128140	NVE10672	v1g128140	Nvec_vc1.1_XM_048722251.1
Nvec_v1g128140	NVE10672	v1g128140	Nvec_vc1.1_XM_048722228.1
Nvec_NVE10673	NVE10673		Nvec_vc1.1_XM_048722258.1
Nvec_NVE10674	NVE10674		Nvec_vc1.1_XM_048722219.1
Nvec_NVE10675	NVE10675		Nvec_vc1.1_XM_048720826.1
Nvec_NVE10676	NVE10676		Nvec_vc1.1_XM_032373538.2
